region_4,region_4,exchange_1,parameter,value
73EE,75FI,biomassTransport,capaExcResi,0
74FI,75FI,biomassTransport,capaExcResi,0
75FI,75FI,biomassTransport,capaExcResi,0
77LT,75FI,biomassTransport,capaExcResi,0
79NO,75FI,biomassTransport,capaExcResi,0
81NO,75FI,biomassTransport,capaExcResi,0
82NO,75FI,biomassTransport,capaExcResi,0
83NO,75FI,biomassTransport,capaExcResi,0
84NO,75FI,biomassTransport,capaExcResi,0
86SE,75FI,biomassTransport,capaExcResi,0
89SE,75FI,biomassTransport,capaExcResi,0
90UK,75FI,biomassTransport,capaExcResi,0
92UK,75FI,biomassTransport,capaExcResi,0
93UK,75FI,biomassTransport,capaExcResi,0
94UK,75FI,biomassTransport,capaExcResi,0
95UK,75FI,biomassTransport,capaExcResi,0
55IT,75FI,biomassTransport,capaExcResi,0
57SI,75FI,biomassTransport,capaExcResi,0
67MK,75FI,biomassTransport,capaExcResi,0
85NO,75FI,biomassTransport,capaExcResi,0
88SE,75FI,biomassTransport,capaExcResi,0
98IT,75FI,biomassTransport,capaExcResi,0
01ES,86SE,biomassTransport,capaExcResi,0
02ES,86SE,biomassTransport,capaExcResi,0
03ES,86SE,biomassTransport,capaExcResi,0
04ES,86SE,biomassTransport,capaExcResi,0
05ES,86SE,biomassTransport,capaExcResi,0
06ES,86SE,biomassTransport,capaExcResi,0
07ES,86SE,biomassTransport,capaExcResi,0
08ES,86SE,biomassTransport,capaExcResi,0
09ES,86SE,biomassTransport,capaExcResi,0
10ES,86SE,biomassTransport,capaExcResi,0
12PT,86SE,biomassTransport,capaExcResi,0
14FR,86SE,biomassTransport,capaExcResi,0
15FR,86SE,biomassTransport,capaExcResi,0
16FR,86SE,biomassTransport,capaExcResi,0
17FR,86SE,biomassTransport,capaExcResi,0
18FR,86SE,biomassTransport,capaExcResi,0
19FR,86SE,biomassTransport,capaExcResi,0
20FR,86SE,biomassTransport,capaExcResi,0
21FR,86SE,biomassTransport,capaExcResi,0
22FR,86SE,biomassTransport,capaExcResi,0
23FR,86SE,biomassTransport,capaExcResi,0
24FR,86SE,biomassTransport,capaExcResi,0
25FR,86SE,biomassTransport,capaExcResi,0
26FR,86SE,biomassTransport,capaExcResi,0
27FR,86SE,biomassTransport,capaExcResi,0
28BE,86SE,biomassTransport,capaExcResi,0
29LU,86SE,biomassTransport,capaExcResi,0
30NL,86SE,biomassTransport,capaExcResi,0
31DE,86SE,biomassTransport,capaExcResi,0
32DE,86SE,biomassTransport,capaExcResi,0
33DE,86SE,biomassTransport,capaExcResi,0
34DE,86SE,biomassTransport,capaExcResi,0
35DE,86SE,biomassTransport,capaExcResi,0
36DE,86SE,biomassTransport,capaExcResi,0
37DE,86SE,biomassTransport,capaExcResi,0
39CZ,86SE,biomassTransport,capaExcResi,0
40CZ,86SE,biomassTransport,capaExcResi,0
41PL,86SE,biomassTransport,capaExcResi,0
42PL,86SE,biomassTransport,capaExcResi,0
43PL,86SE,biomassTransport,capaExcResi,0
44PL,86SE,biomassTransport,capaExcResi,0
46SK,86SE,biomassTransport,capaExcResi,0
47CH,86SE,biomassTransport,capaExcResi,0
48CH,86SE,biomassTransport,capaExcResi,0
49AT,86SE,biomassTransport,capaExcResi,0
50AT,86SE,biomassTransport,capaExcResi,0
51AT,86SE,biomassTransport,capaExcResi,0
52IT,86SE,biomassTransport,capaExcResi,0
53IT,86SE,biomassTransport,capaExcResi,0
54IT,86SE,biomassTransport,capaExcResi,0
58HU,86SE,biomassTransport,capaExcResi,0
59RO,86SE,biomassTransport,capaExcResi,0
60RO,86SE,biomassTransport,capaExcResi,0
61RO,86SE,biomassTransport,capaExcResi,0
62HR,86SE,biomassTransport,capaExcResi,0
63BA,86SE,biomassTransport,capaExcResi,0
64ME,86SE,biomassTransport,capaExcResi,0
65RS,86SE,biomassTransport,capaExcResi,0
66BG,86SE,biomassTransport,capaExcResi,0
68GR,86SE,biomassTransport,capaExcResi,0
73EE,86SE,biomassTransport,capaExcResi,0
74FI,86SE,biomassTransport,capaExcResi,0
75FI,86SE,biomassTransport,capaExcResi,0
77LT,86SE,biomassTransport,capaExcResi,0
79NO,86SE,biomassTransport,capaExcResi,0
81NO,86SE,biomassTransport,capaExcResi,0
82NO,86SE,biomassTransport,capaExcResi,0
83NO,86SE,biomassTransport,capaExcResi,0
84NO,86SE,biomassTransport,capaExcResi,0
86SE,86SE,biomassTransport,capaExcResi,0
89SE,86SE,biomassTransport,capaExcResi,0
90UK,86SE,biomassTransport,capaExcResi,0
92UK,86SE,biomassTransport,capaExcResi,0
93UK,86SE,biomassTransport,capaExcResi,0
94UK,86SE,biomassTransport,capaExcResi,0
95UK,86SE,biomassTransport,capaExcResi,0
55IT,86SE,biomassTransport,capaExcResi,0
57SI,86SE,biomassTransport,capaExcResi,0
67MK,86SE,biomassTransport,capaExcResi,0
88SE,86SE,biomassTransport,capaExcResi,0
98IT,86SE,biomassTransport,capaExcResi,0
01ES,87SE,biomassTransport,capaExcResi,0
02ES,87SE,biomassTransport,capaExcResi,0
03ES,87SE,biomassTransport,capaExcResi,0
