region_4,region_4,exchange_1,exchange_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,source
36DE,35DE,gasGrid,dir,capaExcResiDir,36.871,costOprExc,0.0583,lossExc,0.007,
50AT,49AT,gasGrid,dir,capaExcResiDir,98.324,costOprExc,0.0521,lossExc,0.0063,
70AL,55IT,gasGrid,dir,capaExcResiDir,12.108,costOprExc,0.094,lossExc,0.0113,
46SK,58HU,gasGrid,dir,capaExcResiDir,4.938,costOprExc,0.0483,lossExc,0.0058,
50AT,57SI,gasGrid,dir,capaExcResiDir,4.374,costOprExc,0.0493,lossExc,0.006,
30NL,28BE,gasGrid,dir,capaExcResiDir,21.124,costOprExc,0.0469,lossExc,0.0057,
28BE,30NL,gasGrid,dir,capaExcResiDir,33.034,costOprExc,0.0469,lossExc,0.0057,
29LU,25FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0468,lossExc,0.0057,
51AT,58HU,gasGrid,dir,capaExcResiDir,18.243,costOprExc,0.0761,lossExc,0.0092,
14FR,04ES,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0813,lossExc,0.0098,
88SE,89SE,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0954,lossExc,0.0115,
32DE,75FI,gasGrid,dir,capaExcResiDir,66.594,costOprExc,0.3452,lossExc,0.0417,
66BG,61RO,gasGrid,dir,capaExcResiDir,28.341,costOprExc,0.1263,lossExc,0.0152,
58HU,65RS,gasGrid,dir,capaExcResiDir,5.521,costOprExc,0.0977,lossExc,0.0118,
66BG,67MK,gasGrid,dir,capaExcResiDir,0.884,costOprExc,0.0893,lossExc,0.0108,
73EE,78LV,gasGrid,dir,capaExcResiDir,2.45,costOprExc,0.0566,lossExc,0.0068,
95UK,96IE,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0553,lossExc,0.0067,
28BE,29LU,gasGrid,dir,capaExcResiDir,1.897,costOprExc,0.0325,lossExc,0.0039,
29LU,28BE,gasGrid,dir,capaExcResiDir,1.897,costOprExc,0.0325,lossExc,0.0039,
40CZ,43PL,gasGrid,dir,capaExcResiDir,25.67,costOprExc,0.0562,lossExc,0.0068,
72DK,89SE,gasGrid,dir,capaExcResiDir,15.704,costOprExc,0.0467,lossExc,0.0056,
62HR,57SI,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0544,lossExc,0.0066,
44PL,39CZ,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0847,lossExc,0.0102,
20FR,47CH,gasGrid,dir,capaExcResiDir,1.454,costOprExc,0.0666,lossExc,0.008,
06ES,14FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0718,lossExc,0.0087,
58HU,62HR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.1163,lossExc,0.014,
43PL,40CZ,gasGrid,dir,capaExcResiDir,36.871,costOprExc,0.0562,lossExc,0.0068,
25FR,29LU,gasGrid,dir,capaExcResiDir,1.897,costOprExc,0.0468,lossExc,0.0057,
05ES,14FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0866,lossExc,0.0105,
57SI,62HR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0544,lossExc,0.0066,
79NO,81NO,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0653,lossExc,0.0079,
37DE,49AT,gasGrid,dir,capaExcResiDir,13.185,costOprExc,0.0627,lossExc,0.0076,
25FR,36DE,gasGrid,dir,capaExcResiDir,49.581,costOprExc,0.0658,lossExc,0.0079,
36DE,25FR,gasGrid,dir,capaExcResiDir,73.278,costOprExc,0.0658,lossExc,0.0079,
36DE,47CH,gasGrid,dir,capaExcResiDir,15.761,costOprExc,0.0528,lossExc,0.0064,
31DE,30NL,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0885,lossExc,0.0107,
33DE,28BE,gasGrid,dir,capaExcResiDir,8.834,costOprExc,0.0566,lossExc,0.0068,
49AT,37DE,gasGrid,dir,capaExcResiDir,1.882,costOprExc,0.0627,lossExc,0.0076,
30NL,31DE,gasGrid,dir,capaExcResiDir,15.09,costOprExc,0.0885,lossExc,0.0107,
37DE,39CZ,gasGrid,dir,capaExcResiDir,35.262,costOprExc,0.0779,lossExc,0.0094,
38DK,31DE,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0842,lossExc,0.0102,
34DE,44PL,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0907,lossExc,0.011,
32DE,44PL,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0777,lossExc,0.0094,
47CH,36DE,gasGrid,dir,capaExcResiDir,0.884,costOprExc,0.0528,lossExc,0.0064,
51AT,46SK,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.085,lossExc,0.0103,
78LV,77LT,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0577,lossExc,0.007,
44PL,32DE,gasGrid,dir,capaExcResiDir,39.958,costOprExc,0.0777,lossExc,0.0094,
77LT,78LV,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0577,lossExc,0.007,
28BE,27FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0426,lossExc,0.0051,
47CH,49AT,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0858,lossExc,0.0104,
79NO,31DE,gasGrid,dir,capaExcResiDir,29.06,costOprExc,0.1776,lossExc,0.0214,
47CH,48CH,gasGrid,undir,capaExcResi,49.411,costOprExc,0.0247,lossExc,0.003,
50AT,51AT,gasGrid,undir,capaExcResi,67.143,costOprExc,0.0313,lossExc,0.0038,
37DE,50AT,gasGrid,undir,capaExcResi,43.38,costOprExc,0.089,lossExc,0.0107,
34DE,39CZ,gasGrid,undir,capaExcResi,69.474,costOprExc,0.0604,lossExc,0.0073,
40CZ,46SK,gasGrid,undir,capaExcResi,39.243,costOprExc,0.0684,lossExc,0.0083,
57SI,62HR,gasGrid,undir,capaExcResi,2.088,costOprExc,0.0544,lossExc,0.0066,
28BE,30NL,gasGrid,undir,capaExcResi,15.825,costOprExc,0.0469,lossExc,0.0057,
52IT,57SI,gasGrid,undir,capaExcResi,2.201,costOprExc,0.109,lossExc,0.0132,
