timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0331,DE,s2002,electricity,dem,68.9351843269656
h0332,DE,s2002,electricity,dem,65.3250634478447
h0333,DE,s2002,electricity,dem,62.3847612500425
h0334,DE,s2002,electricity,dem,60.5636142720205
h0335,DE,s2002,electricity,dem,56.8052269093831
h0336,DE,s2002,electricity,dem,53.6845689423502
h0337,DE,s2002,electricity,dem,53.8337553163051
h0338,DE,s2002,electricity,dem,52.882979217404
h0339,DE,s2002,electricity,dem,52.9280163053161
h0340,DE,s2002,electricity,dem,53.7702896569645
h0341,DE,s2002,electricity,dem,55.7167415800414
h0342,DE,s2002,electricity,dem,60.7037992723491
h0343,DE,s2002,electricity,dem,65.8982992723491
h0344,DE,s2002,electricity,dem,68.6404723492721
h0345,DE,s2002,electricity,dem,70.0134723492721
h0346,DE,s2002,electricity,dem,71.3076316899315
h0347,DE,s2002,electricity,dem,72.2994407558656
h0348,DE,s2002,electricity,dem,71.8150355360853
h0349,DE,s2002,electricity,dem,70.6341921294919
h0350,DE,s2002,electricity,dem,69.4121660305908
h0351,DE,s2002,electricity,dem,68.8048418547667
h0352,DE,s2002,electricity,dem,69.2595025690524
h0353,DE,s2002,electricity,dem,71.6998294921293
h0354,DE,s2002,electricity,dem,72.4964064152062
h0355,DE,s2002,electricity,dem,71.0640657558656
h0356,DE,s2002,electricity,dem,67.4539448767447
h0357,DE,s2002,electricity,dem,64.5136426789425
h0358,DE,s2002,electricity,dem,62.6924957009205
h0359,DE,s2002,electricity,dem,58.9341083382831
h0360,DE,s2002,electricity,dem,55.8134503712502
h0361,DE,s2002,electricity,dem,53.9664332475051
h0362,DE,s2002,electricity,dem,53.015657148604
h0363,DE,s2002,electricity,dem,53.0606942365161
h0364,DE,s2002,electricity,dem,53.9029675881645
h0365,DE,s2002,electricity,dem,55.8494195112414
h0366,DE,s2002,electricity,dem,60.8364772035491
h0367,DE,s2002,electricity,dem,66.0309772035491
h0368,DE,s2002,electricity,dem,68.7731502804722
h0369,DE,s2002,electricity,dem,70.1461502804721
h0370,DE,s2002,electricity,dem,71.4403096211315
h0371,DE,s2002,electricity,dem,72.4321186870656
h0372,DE,s2002,electricity,dem,71.9477134672853
h0373,DE,s2002,electricity,dem,70.7668700606919
h0374,DE,s2002,electricity,dem,69.5448439617908
h0375,DE,s2002,electricity,dem,68.9375197859667
h0376,DE,s2002,electricity,dem,69.3921805002524
h0377,DE,s2002,electricity,dem,71.8325074233293
h0378,DE,s2002,electricity,dem,72.6290843464062
h0379,DE,s2002,electricity,dem,71.1967436870656
h0380,DE,s2002,electricity,dem,67.5866228079447
h0381,DE,s2002,electricity,dem,64.6463206101425
h0382,DE,s2002,electricity,dem,62.8251736321205
h0383,DE,s2002,electricity,dem,59.0667862694831
h0384,DE,s2002,electricity,dem,55.9461283024502
h0385,DE,s2002,electricity,dem,52.5555982938051
h0386,DE,s2002,electricity,dem,51.604822194904
h0387,DE,s2002,electricity,dem,51.6498592828161
h0388,DE,s2002,electricity,dem,52.4921326344645
h0389,DE,s2002,electricity,dem,54.4385845575414
h0390,DE,s2002,electricity,dem,59.4256422498491
h0391,DE,s2002,electricity,dem,64.6201422498491
h0392,DE,s2002,electricity,dem,67.3623153267722
h0393,DE,s2002,electricity,dem,68.7353153267721
h0394,DE,s2002,electricity,dem,70.0294746674315
h0395,DE,s2002,electricity,dem,71.0212837333656
h0396,DE,s2002,electricity,dem,70.5368785135853
h0397,DE,s2002,electricity,dem,69.3560351069919
h0398,DE,s2002,electricity,dem,68.1340090080908
h0399,DE,s2002,electricity,dem,67.5266848322667
h0400,DE,s2002,electricity,dem,67.9813455465524
h0401,DE,s2002,electricity,dem,70.4216724696293
h0402,DE,s2002,electricity,dem,71.2182493927062
h0403,DE,s2002,electricity,dem,69.7859087333656
h0404,DE,s2002,electricity,dem,66.1757878542447
h0405,DE,s2002,electricity,dem,63.2354856564425
h0406,DE,s2002,electricity,dem,61.4143386784205
h0407,DE,s2002,electricity,dem,57.6559513157831
h0408,DE,s2002,electricity,dem,54.5352933487502
h0409,DE,s2002,electricity,dem,50.9648651424051
h0410,DE,s2002,electricity,dem,50.014089043504
h0411,DE,s2002,electricity,dem,50.0591261314161
h0412,DE,s2002,electricity,dem,50.9013994830645
h0413,DE,s2002,electricity,dem,52.8478514061414
h0414,DE,s2002,electricity,dem,57.8349090984491
h0415,DE,s2002,electricity,dem,63.0294090984491
h0416,DE,s2002,electricity,dem,65.7715821753722
h0417,DE,s2002,electricity,dem,67.1445821753721
h0418,DE,s2002,electricity,dem,68.4387415160315
h0419,DE,s2002,electricity,dem,69.4305505819656
h0420,DE,s2002,electricity,dem,68.9461453621854
h0421,DE,s2002,electricity,dem,67.7653019555919
h0422,DE,s2002,electricity,dem,66.5432758566908
h0423,DE,s2002,electricity,dem,65.9359516808667
h0424,DE,s2002,electricity,dem,66.3906123951524
h0425,DE,s2002,electricity,dem,68.8309393182293
h0426,DE,s2002,electricity,dem,69.6275162413062
h0427,DE,s2002,electricity,dem,68.1951755819656
h0428,DE,s2002,electricity,dem,64.5850547028447
h0429,DE,s2002,electricity,dem,61.6447525050425
h0430,DE,s2002,electricity,dem,59.8236055270205
h0431,DE,s2002,electricity,dem,56.0652181643831
h0432,DE,s2002,electricity,dem,52.9445601973502
h0433,DE,s2002,electricity,dem,41.7170977831051
h0434,DE,s2002,electricity,dem,40.766321684204
h0435,DE,s2002,electricity,dem,40.8113587721161
h0436,DE,s2002,electricity,dem,41.6536321237645
h0437,DE,s2002,electricity,dem,43.6000840468414
h0438,DE,s2002,electricity,dem,48.5871417391491
h0439,DE,s2002,electricity,dem,53.7816417391491
h0440,DE,s2002,electricity,dem,56.5238148160722
h0441,DE,s2002,electricity,dem,57.8968148160721
h0442,DE,s2002,electricity,dem,59.1909741567315
h0443,DE,s2002,electricity,dem,60.1827832226656
h0444,DE,s2002,electricity,dem,59.6983780028853
h0445,DE,s2002,electricity,dem,58.5175345962919
h0446,DE,s2002,electricity,dem,57.2955084973908
h0447,DE,s2002,electricity,dem,56.6881843215667
h0448,DE,s2002,electricity,dem,57.1428450358524
h0449,DE,s2002,electricity,dem,59.5831719589293
h0450,DE,s2002,electricity,dem,60.3797488820062
h0451,DE,s2002,electricity,dem,58.9474082226656
h0452,DE,s2002,electricity,dem,55.3372873435447
h0453,DE,s2002,electricity,dem,52.3969851457425
h0454,DE,s2002,electricity,dem,50.5758381677205
h0455,DE,s2002,electricity,dem,46.8174508050831
h0456,DE,s2002,electricity,dem,43.6967928380502
h0457,DE,s2002,electricity,dem,37.2760637912051
h0458,DE,s2002,electricity,dem,36.325287692304
h0459,DE,s2002,electricity,dem,36.3703247802162
h0460,DE,s2002,electricity,dem,37.2125981318645
h0461,DE,s2002,electricity,dem,39.1590500549414
h0462,DE,s2002,electricity,dem,44.1461077472491
h0463,DE,s2002,electricity,dem,49.3406077472491
h0464,DE,s2002,electricity,dem,52.0827808241722
h0465,DE,s2002,electricity,dem,53.4557808241722
h0466,DE,s2002,electricity,dem,54.7499401648315
h0467,DE,s2002,electricity,dem,55.7417492307656
h0468,DE,s2002,electricity,dem,55.2573440109854
h0469,DE,s2002,electricity,dem,54.0765006043919
h0470,DE,s2002,electricity,dem,52.8544745054908
h0471,DE,s2002,electricity,dem,52.2471503296667
h0472,DE,s2002,electricity,dem,52.7018110439524
h0473,DE,s2002,electricity,dem,55.1421379670293
h0474,DE,s2002,electricity,dem,55.9387148901062
h0475,DE,s2002,electricity,dem,54.5063742307656
h0476,DE,s2002,electricity,dem,50.8962533516447
h0477,DE,s2002,electricity,dem,47.9559511538425
h0478,DE,s2002,electricity,dem,46.1348041758205
h0479,DE,s2002,electricity,dem,42.3764168131831
h0480,DE,s2002,electricity,dem,39.2557588461502
h0481,DE,s2002,electricity,dem,47.9558338458051
h0482,DE,s2002,electricity,dem,47.005057746904
h0483,DE,s2002,electricity,dem,47.0500948348161
h0484,DE,s2002,electricity,dem,47.8923681864645
h0485,DE,s2002,electricity,dem,49.8388201095414
h0486,DE,s2002,electricity,dem,54.8258778018491
h0487,DE,s2002,electricity,dem,60.0203778018491
h0488,DE,s2002,electricity,dem,62.7625508787722
h0489,DE,s2002,electricity,dem,64.1355508787721
h0490,DE,s2002,electricity,dem,65.4297102194315
h0491,DE,s2002,electricity,dem,66.4215192853656
h0492,DE,s2002,electricity,dem,65.9371140655854
h0493,DE,s2002,electricity,dem,64.7562706589919
h0494,DE,s2002,electricity,dem,63.5342445600908
h0495,DE,s2002,electricity,dem,62.9269203842667
h0496,DE,s2002,electricity,dem,63.3815810985524
h0497,DE,s2002,electricity,dem,65.8219080216293
h0498,DE,s2002,electricity,dem,66.6184849447062
h0499,DE,s2002,electricity,dem,65.1861442853656
h0500,DE,s2002,electricity,dem,61.5760234062447
h0501,DE,s2002,electricity,dem,58.6357212084425
h0502,DE,s2002,electricity,dem,56.8145742304205
h0503,DE,s2002,electricity,dem,53.0561868677831
