timestep_2,region_2,region_2,exchange_1,exchange_2,id,parameter_1,value_1,parameter_2,value_2
all,NO,UK,powerGrid,hvdc,1,expExcUp,0.5,costExpExc,2030
all,NO,UK,powerGrid,hvdc,2,expExcUp,1,costExpExc,1530
all,NO,UK,powerGrid,hvdc,3,expExcUp,1.5,costExpExc,1296.67
all,NO,UK,powerGrid,hvdc,4,expExcUp,2,costExpExc,1175
all,PL,SE,powerGrid,hvdc,1,expExcUp,0.5,costExpExc,1400
all,PL,SE,powerGrid,hvdc,2,expExcUp,1,costExpExc,1400
all,PL,SE,powerGrid,hvdc,3,expExcUp,1.5,costExpExc,1400
all,PL,SK,powerGrid,hvac,1,expExcUp,0.5,costExpExc,1100
all,PL,SK,powerGrid,hvac,2,expExcUp,1.5,costExpExc,551.33
all,PL,SK,powerGrid,hvac,3,expExcUp,1,costExpExc,551
all,RO,RS,powerGrid,hvac,1,expExcUp,1,costExpExc,169
all,RO,RS,powerGrid,hvac,2,expExcUp,2,costExpExc,139
all,RO,RS,powerGrid,hvac,3,expExcUp,1.5,costExpExc,138.67
all,RO,RS,powerGrid,hvac,4,expExcUp,0.5,costExpExc,114
all,RO,RS,powerGrid,hvac,5,expExcUp,0.622,costExpExc,64.31
all,FR,LU,powerGrid,hvac,,expExcFix,0,,
all,DK,SE,powerGrid,hvdc,,expExcFix,0,,
all,FR,IT,powerGrid,hvdc,,expExcFix,0,,
