timestep_1,region_1,region_2,region_3,region_4,region_1,region_2,region_3,region_4,exchange_1,id_1,parameter,value
30th,EU,PL,pl,41PL,EU,PL,pl,42PL,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,41PL,EU,PL,pl,43PL,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,41PL,EU,PL,pl,44PL,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,41PL,EU,PL,pl,45PL,h2Grid,,expExcFixDir,0.0
30th,EU,LT,lt,77LT,EU,PL,pl,41PL,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,42PL,EU,PL,pl,43PL,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,42PL,EU,SK,sk,46SK,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,43PL,EU,PL,pl,44PL,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,44PL,EU,PL,pl,45PL,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,45PL,EU,SE,se_4,89SE,h2Grid,,expExcFixDir,0.0
30th,EU,AT,at,51AT,EU,SK,sk,46SK,h2Grid,,expExcFixDir,0.0
30th,EU,HU,hu,58HU,EU,SK,sk,46SK,h2Grid,,expExcFixDir,0.0
30th,EU,AT,at,49AT,nonEU,CH,ch,47CH,h2Grid,,expExcFixDir,0.0
30th,EU,AT,at,49AT,nonEU,CH,ch,48CH,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_n,52IT,nonEU,CH,ch,48CH,h2Grid,,expExcFixDir,0.0
30th,EU,AT,at,49AT,EU,AT,at,50AT,h2Grid,,expExcFixDir,0.0
30th,EU,AT,at,49AT,EU,IT,it_n,52IT,h2Grid,,expExcFixDir,0.0
30th,EU,AT,at,49AT,EU,SI,si,57SI,h2Grid,,expExcFixDir,0.0
30th,EU,AT,at,50AT,EU,AT,at,51AT,h2Grid,,expExcFixDir,0.0
30th,EU,AT,at,50AT,EU,SI,si,57SI,h2Grid,,expExcFixDir,0.0
30th,EU,AT,at,51AT,EU,HU,hu,58HU,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_cn,53IT,EU,IT,it_n,52IT,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_n,52IT,EU,SI,si,57SI,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_cn,53IT,EU,IT,it_cs,54IT,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr_co,99FR,EU,IT,it_cn,53IT,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_cs,54IT,EU,IT,it_s,55IT,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_cs,54IT,nonEU,BA,ba,63BA,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_s,55IT,EU,IT,it_sic,56IT,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_s,55IT,nonEU,AL,al,70AL,h2Grid,,expExcFixDir,0.0
30th,EU,HU,hu,58HU,EU,SI,si,57SI,h2Grid,,expExcFixDir,0.0
30th,EU,HR,hr,62HR,EU,SI,si,57SI,h2Grid,,expExcFixDir,0.0
30th,EU,HU,hu,58HU,EU,RO,ro,59RO,h2Grid,,expExcFixDir,0.0
30th,EU,HR,hr,62HR,EU,HU,hu,58HU,h2Grid,,expExcFixDir,0.0
30th,EU,HU,hu,58HU,nonEU,RS,rs,65RS,h2Grid,,expExcFixDir,0.0
30th,EU,RO,ro,59RO,EU,RO,ro,60RO,h2Grid,,expExcFixDir,0.0
30th,EU,RO,ro,59RO,EU,RO,ro,61RO,h2Grid,,expExcFixDir,0.0
30th,EU,RO,ro,59RO,nonEU,RS,rs,65RS,h2Grid,,expExcFixDir,0.0
30th,EU,RO,ro,60RO,EU,RO,ro,61RO,h2Grid,,expExcFixDir,0.0
30th,EU,RO,ro,60RO,nonEU,RS,rs,65RS,h2Grid,,expExcFixDir,0.0
30th,EU,BG,bg,66BG,EU,RO,ro,60RO,h2Grid,,expExcFixDir,0.0
30th,EU,BG,bg,66BG,EU,RO,ro,61RO,h2Grid,,expExcFixDir,0.0
30th,EU,HR,hr,62HR,nonEU,BA,ba,63BA,h2Grid,,expExcFixDir,0.0
30th,EU,HR,hr,62HR,nonEU,RS,rs,65RS,h2Grid,,expExcFixDir,0.0
30th,nonEU,BA,ba,63BA,nonEU,ME,me,64ME,h2Grid,,expExcFixDir,0.0
30th,nonEU,BA,ba,63BA,nonEU,RS,rs,65RS,h2Grid,,expExcFixDir,0.0
30th,nonEU,ME,me,64ME,nonEU,RS,rs,65RS,h2Grid,,expExcFixDir,0.0
30th,EU,BG,bg,66BG,nonEU,RS,rs,65RS,h2Grid,,expExcFixDir,0.0
30th,nonEU,MK,mk,67MK,nonEU,RS,rs,65RS,h2Grid,,expExcFixDir,0.0
30th,nonEU,AL,al,70AL,nonEU,RS,rs,65RS,h2Grid,,expExcFixDir,0.0
30th,EU,BG,bg,66BG,nonEU,MK,mk,67MK,h2Grid,,expExcFixDir,0.0
30th,EU,BG,bg,66BG,EU,GR,gr,68GR,h2Grid,,expExcFixDir,0.0
30th,EU,GR,gr,68GR,nonEU,MK,mk,67MK,h2Grid,,expExcFixDir,0.0
30th,nonEU,AL,al,70AL,nonEU,MK,mk,67MK,h2Grid,,expExcFixDir,0.0
30th,EU,GR,gr,68GR,EU,GR,gr,69GR,h2Grid,,expExcFixDir,0.0
30th,EU,GR,gr,68GR,nonEU,AL,al,70AL,h2Grid,,expExcFixDir,0.0
30th,EU,DK,dk_e,72DK,EU,SE,se_4,89SE,h2Grid,,expExcFixDir,0.0
30th,EU,EE,ee,73EE,EU,FI,fi,75FI,h2Grid,,expExcFixDir,0.0
30th,EU,EE,ee,73EE,EU,LV,lv,78LV,h2Grid,,expExcFixDir,0.0
30th,EU,FI,fi,74FI,EU,FI,fi,75FI,h2Grid,,expExcFixDir,0.0
30th,EU,FI,fi,74FI,nonEU,NO,no_n,85NO,h2Grid,,expExcFixDir,0.0
30th,EU,FI,fi,74FI,EU,SE,se_1,86SE,h2Grid,,expExcFixDir,0.0
30th,EU,LT,lt,77LT,EU,LV,lv,78LV,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_s,79NO,nonEU,NO,no_s,80NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_s,79NO,nonEU,NO,no_s,81NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_s,80NO,nonEU,NO,no_s,81NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_s,80NO,nonEU,NO,no_s,82NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_s,81NO,nonEU,NO,no_s,82NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_m,83NO,nonEU,NO,no_s,81NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_m,83NO,nonEU,NO,no_s,82NO,h2Grid,,expExcFixDir,0.0
30th,EU,SE,se_3,88SE,nonEU,NO,no_s,82NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_m,83NO,nonEU,NO,no_n,84NO,h2Grid,,expExcFixDir,0.0
30th,EU,SE,se_2,87SE,nonEU,NO,no_m,83NO,h2Grid,,expExcFixDir,0.0
30th,nonEU,NO,no_n,84NO,nonEU,NO,no_n,85NO,h2Grid,,expExcFixDir,0.0
30th,EU,SE,se_1,86SE,nonEU,NO,no_n,84NO,h2Grid,,expExcFixDir,0.0
30th,EU,SE,se_2,87SE,nonEU,NO,no_n,84NO,h2Grid,,expExcFixDir,0.0
30th,EU,SE,se_1,86SE,EU,SE,se_2,87SE,h2Grid,,expExcFixDir,0.0
30th,EU,SE,se_2,87SE,EU,SE,se_3,88SE,h2Grid,,expExcFixDir,0.0
30th,EU,SE,se_3,88SE,EU,SE,se_4,89SE,h2Grid,,expExcFixDir,0.0
30th,nonEU,UK,uk,90UK,nonEU,UK,uk,91UK,h2Grid,,expExcFixDir,0.0
30th,nonEU,UK,uk,90UK,nonEU,UK,uk,92UK,h2Grid,,expExcFixDir,0.0
30th,nonEU,UK,uk,91UK,nonEU,UK,uk,92UK,h2Grid,,expExcFixDir,0.0
30th,nonEU,UK,uk,92UK,nonEU,UK,uk,93UK,h2Grid,,expExcFixDir,0.0
30th,nonEU,UK,uk,93UK,nonEU,UK,uk,94UK,h2Grid,,expExcFixDir,0.0
30th,nonEU,UK,ni,95UK,nonEU,UK,uk,93UK,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr_co,99FR,EU,IT,it_sar,98IT,h2Grid,,expExcFixDir,0.0
