timestep_5,region_3,technology_3,parameter,value
h0028,07ES,onshore_b,avaConv,0.4806737
h0029,07ES,onshore_b,avaConv,0.47916914
h0030,07ES,onshore_b,avaConv,0.48221877
h0031,07ES,onshore_b,avaConv,0.47983978
h0032,07ES,onshore_b,avaConv,0.47031801
h0033,07ES,onshore_b,avaConv,0.45839065
h0034,07ES,onshore_b,avaConv,0.44105828
h0035,07ES,onshore_b,avaConv,0.41794753
h0036,07ES,onshore_b,avaConv,0.40460325
h0037,07ES,onshore_b,avaConv,0.40717388
h0038,07ES,onshore_b,avaConv,0.4118968
h0039,07ES,onshore_b,avaConv,0.41187093
h0040,07ES,onshore_b,avaConv,0.41372439
h0041,07ES,onshore_b,avaConv,0.41408558
h0042,07ES,onshore_b,avaConv,0.42172705
h0043,07ES,onshore_b,avaConv,0.44090707
h0044,07ES,onshore_b,avaConv,0.46540747
h0045,07ES,onshore_b,avaConv,0.47999545
h0046,07ES,onshore_b,avaConv,0.48607195
h0047,07ES,onshore_b,avaConv,0.48793261
h0048,07ES,onshore_b,avaConv,0.49115073
h0001,08ES,onshore_b,avaConv,0.15624268
h0002,08ES,onshore_b,avaConv,0.14741125
h0003,08ES,onshore_b,avaConv,0.13656178
h0004,08ES,onshore_b,avaConv,0.12567222
h0005,08ES,onshore_b,avaConv,0.11445585
h0006,08ES,onshore_b,avaConv,0.10675557
h0007,08ES,onshore_b,avaConv,0.09827683
h0008,08ES,onshore_b,avaConv,0.08013307
h0009,08ES,onshore_b,avaConv,0.06090682
h0010,08ES,onshore_b,avaConv,0.0533572
h0011,08ES,onshore_b,avaConv,0.05319303
h0012,08ES,onshore_b,avaConv,0.05602786
h0013,08ES,onshore_b,avaConv,0.06017521
h0014,08ES,onshore_b,avaConv,0.06563097
h0015,08ES,onshore_b,avaConv,0.0732591
h0016,08ES,onshore_b,avaConv,0.08263772
h0017,08ES,onshore_b,avaConv,0.09276358
h0018,08ES,onshore_b,avaConv,0.10041385
h0019,08ES,onshore_b,avaConv,0.10518966
h0020,08ES,onshore_b,avaConv,0.11070512
h0021,08ES,onshore_b,avaConv,0.12707569
h0022,08ES,onshore_b,avaConv,0.15428264
h0023,08ES,onshore_b,avaConv,0.16664378
h0024,08ES,onshore_b,avaConv,0.16373904
h0025,08ES,onshore_b,avaConv,0.24510838
h0026,08ES,onshore_b,avaConv,0.23662666
h0027,08ES,onshore_b,avaConv,0.23148227
h0028,08ES,onshore_b,avaConv,0.22525338
h0029,08ES,onshore_b,avaConv,0.22009114
h0030,08ES,onshore_b,avaConv,0.2179798
h0031,08ES,onshore_b,avaConv,0.21582242
h0032,08ES,onshore_b,avaConv,0.21419292
h0033,08ES,onshore_b,avaConv,0.20789255
h0034,08ES,onshore_b,avaConv,0.19670824
h0035,08ES,onshore_b,avaConv,0.19142475
h0036,08ES,onshore_b,avaConv,0.19190935
h0037,08ES,onshore_b,avaConv,0.19894967
h0038,08ES,onshore_b,avaConv,0.21022373
h0039,08ES,onshore_b,avaConv,0.22276898
h0040,08ES,onshore_b,avaConv,0.23213538
h0041,08ES,onshore_b,avaConv,0.23374377
h0042,08ES,onshore_b,avaConv,0.2304221
h0043,08ES,onshore_b,avaConv,0.23507158
