timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0070,BA,electricity,scr2099,dem,1.4637021810719903
h0071,BA,electricity,scr2099,dem,1.3681654866287636
h0072,BA,electricity,scr2099,dem,1.264099740003183
h0073,BA,electricity,scr2099,dem,1.092173768590464
h0074,BA,electricity,scr2099,dem,0.9912113732077895
h0075,BA,electricity,scr2099,dem,0.9401944954368313
h0076,BA,electricity,scr2099,dem,0.908711139107195
h0077,BA,electricity,scr2099,dem,0.8825321708616862
h0078,BA,electricity,scr2099,dem,0.8766616976068659
h0079,BA,electricity,scr2099,dem,0.9079677705088167
h0080,BA,electricity,scr2099,dem,0.9040421257709981
h0081,BA,electricity,scr2099,dem,0.9657123737609412
h0082,BA,electricity,scr2099,dem,1.01288099348935
h0083,BA,electricity,scr2099,dem,1.089101086066207
h0084,BA,electricity,scr2099,dem,1.111651565920765
h0085,BA,electricity,scr2099,dem,1.0757718148041175
h0086,BA,electricity,scr2099,dem,1.1234637401200223
h0087,BA,electricity,scr2099,dem,1.0553370460702949
h0088,BA,electricity,scr2099,dem,1.0595710209825673
h0089,BA,electricity,scr2099,dem,1.1933886080504688
h0090,BA,electricity,scr2099,dem,1.2181537306632326
h0091,BA,electricity,scr2099,dem,1.2368889135843415
h0092,BA,electricity,scr2099,dem,1.033340372798978
h0093,BA,electricity,scr2099,dem,1.093551667072035
h0094,BA,electricity,scr2099,dem,1.0599690376778794
h0095,BA,electricity,scr2099,dem,1.0531273517042021
h0096,BA,electricity,scr2099,dem,0.9715480448755602
h0001,BE,electricity,scr2099,dem,30.11416590779799
h0002,BE,electricity,scr2099,dem,28.752432650054914
h0003,BE,electricity,scr2099,dem,26.989800601807794
h0004,BE,electricity,scr2099,dem,20.880516140832988
h0005,BE,electricity,scr2099,dem,16.55959177022288
h0006,BE,electricity,scr2099,dem,15.802601395153564
h0007,BE,electricity,scr2099,dem,18.116858702373094
h0008,BE,electricity,scr2099,dem,21.73370720190576
h0009,BE,electricity,scr2099,dem,22.607986413578914
h0010,BE,electricity,scr2099,dem,26.84613737296798
h0011,BE,electricity,scr2099,dem,27.963476327130927
h0012,BE,electricity,scr2099,dem,28.64627594558648
h0013,BE,electricity,scr2099,dem,26.46188805391406
h0014,BE,electricity,scr2099,dem,25.164552655936774
h0015,BE,electricity,scr2099,dem,23.218885256906347
h0016,BE,electricity,scr2099,dem,21.374732948273504
h0017,BE,electricity,scr2099,dem,19.93409651319888
h0018,BE,electricity,scr2099,dem,19.11455537230377
h0019,BE,electricity,scr2099,dem,19.179676657172983
h0020,BE,electricity,scr2099,dem,19.23024483006875
h0021,BE,electricity,scr2099,dem,20.381704991956433
h0022,BE,electricity,scr2099,dem,19.638613310848626
h0023,BE,electricity,scr2099,dem,20.17617702105926
h0024,BE,electricity,scr2099,dem,18.22989702446393
h0025,BE,electricity,scr2099,dem,17.877120719064955
h0026,BE,electricity,scr2099,dem,14.169665289663913
h0027,BE,electricity,scr2099,dem,12.659848623492529
h0028,BE,electricity,scr2099,dem,13.064558687717215
h0029,BE,electricity,scr2099,dem,13.962550115550288
h0030,BE,electricity,scr2099,dem,15.998581992160288
h0031,BE,electricity,scr2099,dem,15.056921623738043
h0032,BE,electricity,scr2099,dem,13.078398882061418
h0033,BE,electricity,scr2099,dem,13.717744130650821
h0034,BE,electricity,scr2099,dem,13.819633160798144
h0035,BE,electricity,scr2099,dem,15.655278356166123
h0036,BE,electricity,scr2099,dem,12.730124757094067
h0037,BE,electricity,scr2099,dem,12.334384825262495
h0038,BE,electricity,scr2099,dem,14.05629437053418
h0039,BE,electricity,scr2099,dem,13.246805807586588
h0040,BE,electricity,scr2099,dem,11.81166345221205
h0041,BE,electricity,scr2099,dem,8.155080663837694
h0042,BE,electricity,scr2099,dem,8.87045074665784
h0043,BE,electricity,scr2099,dem,8.68182859300966
h0044,BE,electricity,scr2099,dem,9.050039444990338
h0045,BE,electricity,scr2099,dem,8.757352896822027
h0046,BE,electricity,scr2099,dem,8.231386901151533
h0047,BE,electricity,scr2099,dem,8.17831670829435
h0048,BE,electricity,scr2099,dem,7.604359383483267
h0049,BE,electricity,scr2099,dem,7.570799334288964
h0050,BE,electricity,scr2099,dem,6.939964958098081
h0051,BE,electricity,scr2099,dem,6.550170069805292
h0052,BE,electricity,scr2099,dem,6.27202778780407
h0053,BE,electricity,scr2099,dem,6.047180681261187
h0054,BE,electricity,scr2099,dem,6.374297386991035
h0055,BE,electricity,scr2099,dem,6.027551070475472
h0056,BE,electricity,scr2099,dem,7.043615790518729
h0057,BE,electricity,scr2099,dem,7.23025928315262
h0058,BE,electricity,scr2099,dem,8.661982043951767
h0059,BE,electricity,scr2099,dem,8.968988435937076
h0060,BE,electricity,scr2099,dem,9.793478253297431
h0061,BE,electricity,scr2099,dem,10.05573420366276
h0062,BE,electricity,scr2099,dem,9.752833241258879
h0063,BE,electricity,scr2099,dem,9.746236074899532
h0064,BE,electricity,scr2099,dem,8.747187945909593
h0065,BE,electricity,scr2099,dem,8.862759969169673
h0066,BE,electricity,scr2099,dem,8.515968242858532
h0067,BE,electricity,scr2099,dem,8.828640418590473
h0068,BE,electricity,scr2099,dem,8.045328251972364
h0069,BE,electricity,scr2099,dem,7.267526858504278
h0070,BE,electricity,scr2099,dem,6.865240634871002
h0071,BE,electricity,scr2099,dem,6.789472017849539
h0072,BE,electricity,scr2099,dem,6.978879100946173
h0073,BE,electricity,scr2099,dem,6.710644602022089
h0074,BE,electricity,scr2099,dem,6.527648555202704
h0075,BE,electricity,scr2099,dem,6.223028108554869
h0076,BE,electricity,scr2099,dem,5.904319164277865
h0077,BE,electricity,scr2099,dem,5.986513281550241
h0078,BE,electricity,scr2099,dem,5.736184314796125
h0079,BE,electricity,scr2099,dem,6.514465351306608
h0080,BE,electricity,scr2099,dem,6.52309987083631
h0081,BE,electricity,scr2099,dem,7.855468095431421
h0082,BE,electricity,scr2099,dem,8.549800336729621
