timestep_3,region_1,scenario_1,technology_1,parameter,value
h0250,DE,s1998,wind,avaConv,0.349058872800998
h0251,DE,s1998,wind,avaConv,0.314577432266347
h0252,DE,s1998,wind,avaConv,0.280908274755968
h0253,DE,s1998,wind,avaConv,0.261035980385692
h0254,DE,s1998,wind,avaConv,0.21920380943282
h0255,DE,s1998,wind,avaConv,0.145968923840633
h0256,DE,s1998,wind,avaConv,0.172681613344144
h0257,DE,s1998,wind,avaConv,0.266795079640131
h0258,DE,s1998,wind,avaConv,0.35850205305053
h0259,DE,s1998,wind,avaConv,0.393041527981682
h0260,DE,s1998,wind,avaConv,0.413888822008118
h0261,DE,s1998,wind,avaConv,0.420438381767941
h0262,DE,s1998,wind,avaConv,0.42369849929305
h0263,DE,s1998,wind,avaConv,0.425519910890059
h0264,DE,s1998,wind,avaConv,0.424605862475223
h0265,DE,s1998,wind,avaConv,0.41591653439711
h0266,DE,s1998,wind,avaConv,0.390615720026116
h0267,DE,s1998,wind,avaConv,0.36558599186138
h0268,DE,s1998,wind,avaConv,0.346153525421458
h0269,DE,s1998,wind,avaConv,0.332563832150886
h0270,DE,s1998,wind,avaConv,0.335236058796657
h0271,DE,s1998,wind,avaConv,0.359505380311743
h0272,DE,s1998,wind,avaConv,0.376028807789247
h0273,DE,s1998,wind,avaConv,0.431495437737149
h0274,DE,s1998,wind,avaConv,0.430139471588858
h0275,DE,s1998,wind,avaConv,0.356322103880522
h0276,DE,s1998,wind,avaConv,0.39782790115143
h0277,DE,s1998,wind,avaConv,0.394589657205348
h0278,DE,s1998,wind,avaConv,0.289492225368909
h0279,DE,s1998,wind,avaConv,0.129645793875267
h0280,DE,s1998,wind,avaConv,0.0954557112706093
h0281,DE,s1998,wind,avaConv,0.139480835767876
h0282,DE,s1998,wind,avaConv,0.186079325815522
h0283,DE,s1998,wind,avaConv,0.192872894674125
h0284,DE,s1998,wind,avaConv,0.186006827515539
h0285,DE,s1998,wind,avaConv,0.173568347216491
h0286,DE,s1998,wind,avaConv,0.159057809508532
h0287,DE,s1998,wind,avaConv,0.154888898266094
h0288,DE,s1998,wind,avaConv,0.155201771248169
h0289,DE,s1998,wind,avaConv,0.146218918694884
h0290,DE,s1998,wind,avaConv,0.143537744746202
h0291,DE,s1998,wind,avaConv,0.156359393799364
h0292,DE,s1998,wind,avaConv,0.169176934981363
h0293,DE,s1998,wind,avaConv,0.171185153687083
h0294,DE,s1998,wind,avaConv,0.174329882842193
h0295,DE,s1998,wind,avaConv,0.185115644068892
h0296,DE,s1998,wind,avaConv,0.191628505909443
h0297,DE,s1998,wind,avaConv,0.236604386041122
h0298,DE,s1998,wind,avaConv,0.289171632773624
h0299,DE,s1998,wind,avaConv,0.266239641965478
h0300,DE,s1998,wind,avaConv,0.261576990093716
h0301,DE,s1998,wind,avaConv,0.259871343925735
h0302,DE,s1998,wind,avaConv,0.22336476063399
h0303,DE,s1998,wind,avaConv,0.150746322156138
h0304,DE,s1998,wind,avaConv,0.14996100456865
h0305,DE,s1998,wind,avaConv,0.20285594698091
h0306,DE,s1998,wind,avaConv,0.249731750447801
h0307,DE,s1998,wind,avaConv,0.286676231003487
h0308,DE,s1998,wind,avaConv,0.298057634151738
h0309,DE,s1998,wind,avaConv,0.301961281564064
h0310,DE,s1998,wind,avaConv,0.307751597452671
h0311,DE,s1998,wind,avaConv,0.329429827264729
h0312,DE,s1998,wind,avaConv,0.32852301746118
h0313,DE,s1998,wind,avaConv,0.331388137919131
h0314,DE,s1998,wind,avaConv,0.34252554033996
h0315,DE,s1998,wind,avaConv,0.359996510442303
h0316,DE,s1998,wind,avaConv,0.389731535937544
h0317,DE,s1998,wind,avaConv,0.423507904672637
h0318,DE,s1998,wind,avaConv,0.466934961613338
h0319,DE,s1998,wind,avaConv,0.51166456521808
h0320,DE,s1998,wind,avaConv,0.537374922841049
h0321,DE,s1998,wind,avaConv,0.617151110299817
h0322,DE,s1998,wind,avaConv,0.676830047141696
h0323,DE,s1998,wind,avaConv,0.667190952700522
h0324,DE,s1998,wind,avaConv,0.668301836748906
h0325,DE,s1998,wind,avaConv,0.688670203882214
h0326,DE,s1998,wind,avaConv,0.686027587692
h0327,DE,s1998,wind,avaConv,0.640888823577361
h0328,DE,s1998,wind,avaConv,0.624928869973822
h0329,DE,s1998,wind,avaConv,0.676402340644724
h0330,DE,s1998,wind,avaConv,0.726977898218995
h0331,DE,s1998,wind,avaConv,0.72280428935024
h0332,DE,s1998,wind,avaConv,0.715749338154651
h0333,DE,s1998,wind,avaConv,0.728640105345511
h0334,DE,s1998,wind,avaConv,0.75556973987892
h0335,DE,s1998,wind,avaConv,0.737853787430462
