timestep_3,region_1,scenario_1,technology_1,parameter,value
h0250,DE,s1996,wind,avaConv,0.492844573292511
h0251,DE,s1996,wind,avaConv,0.465888653364107
h0252,DE,s1996,wind,avaConv,0.461315375644078
h0253,DE,s1996,wind,avaConv,0.45182928281815
h0254,DE,s1996,wind,avaConv,0.400386548391976
h0255,DE,s1996,wind,avaConv,0.301806388526083
h0256,DE,s1996,wind,avaConv,0.280602013966232
h0257,DE,s1996,wind,avaConv,0.341866241446748
h0258,DE,s1996,wind,avaConv,0.406073973318011
h0259,DE,s1996,wind,avaConv,0.423416519512458
h0260,DE,s1996,wind,avaConv,0.427458635059235
h0261,DE,s1996,wind,avaConv,0.427736217740106
h0262,DE,s1996,wind,avaConv,0.425383024257034
h0263,DE,s1996,wind,avaConv,0.428321020861925
h0264,DE,s1996,wind,avaConv,0.438895687916442
h0265,DE,s1996,wind,avaConv,0.453730315795643
h0266,DE,s1996,wind,avaConv,0.452063875554041
h0267,DE,s1996,wind,avaConv,0.449937692961513
h0268,DE,s1996,wind,avaConv,0.400352645101157
h0269,DE,s1996,wind,avaConv,0.362724110769791
h0270,DE,s1996,wind,avaConv,0.348112473382092
h0271,DE,s1996,wind,avaConv,0.361264978821793
h0272,DE,s1996,wind,avaConv,0.343373386363297
h0273,DE,s1996,wind,avaConv,0.340515764376003
h0274,DE,s1996,wind,avaConv,0.329158435130925
h0275,DE,s1996,wind,avaConv,0.260292984270144
h0276,DE,s1996,wind,avaConv,0.207698946131559
h0277,DE,s1996,wind,avaConv,0.160292098260868
h0278,DE,s1996,wind,avaConv,0.13753248912608
h0279,DE,s1996,wind,avaConv,0.126661035711042
h0280,DE,s1996,wind,avaConv,0.142712146866738
h0281,DE,s1996,wind,avaConv,0.179858663522002
h0282,DE,s1996,wind,avaConv,0.216492617322598
h0283,DE,s1996,wind,avaConv,0.219914555976287
h0284,DE,s1996,wind,avaConv,0.218169694484265
h0285,DE,s1996,wind,avaConv,0.215582838751273
h0286,DE,s1996,wind,avaConv,0.207209847180261
h0287,DE,s1996,wind,avaConv,0.219338979209515
h0288,DE,s1996,wind,avaConv,0.226829773139876
h0289,DE,s1996,wind,avaConv,0.225185640778213
h0290,DE,s1996,wind,avaConv,0.224750345121476
h0291,DE,s1996,wind,avaConv,0.221165867273687
h0292,DE,s1996,wind,avaConv,0.223420804451985
h0293,DE,s1996,wind,avaConv,0.24336589937769
h0294,DE,s1996,wind,avaConv,0.27483403515239
h0295,DE,s1996,wind,avaConv,0.30086498924032
h0296,DE,s1996,wind,avaConv,0.319285302720676
h0297,DE,s1996,wind,avaConv,0.348768861320429
h0298,DE,s1996,wind,avaConv,0.370998640600363
h0299,DE,s1996,wind,avaConv,0.355930661727516
h0300,DE,s1996,wind,avaConv,0.332140981563378
h0301,DE,s1996,wind,avaConv,0.280492433073011
h0302,DE,s1996,wind,avaConv,0.20553774126599
h0303,DE,s1996,wind,avaConv,0.135318471931341
h0304,DE,s1996,wind,avaConv,0.112068842611176
h0305,DE,s1996,wind,avaConv,0.11657783752375
h0306,DE,s1996,wind,avaConv,0.111439612581181
h0307,DE,s1996,wind,avaConv,0.105347893143476
h0308,DE,s1996,wind,avaConv,0.0982802319480992
h0309,DE,s1996,wind,avaConv,0.0888904139479978
h0310,DE,s1996,wind,avaConv,0.0815337203257088
h0311,DE,s1996,wind,avaConv,0.0674887919981553
h0312,DE,s1996,wind,avaConv,0.0526103137050083
h0313,DE,s1996,wind,avaConv,0.0440623575325505
h0314,DE,s1996,wind,avaConv,0.0476079362468166
h0315,DE,s1996,wind,avaConv,0.0558993373490766
h0316,DE,s1996,wind,avaConv,0.0689796345139997
h0317,DE,s1996,wind,avaConv,0.0824072807645397
h0318,DE,s1996,wind,avaConv,0.0960123177746769
h0319,DE,s1996,wind,avaConv,0.106761930006644
h0320,DE,s1996,wind,avaConv,0.114560466327718
h0321,DE,s1996,wind,avaConv,0.144227021274513
h0322,DE,s1996,wind,avaConv,0.181662213746659
h0323,DE,s1996,wind,avaConv,0.176529791778947
h0324,DE,s1996,wind,avaConv,0.178833688917991
h0325,DE,s1996,wind,avaConv,0.179340911374992
h0326,DE,s1996,wind,avaConv,0.16562118244753
h0327,DE,s1996,wind,avaConv,0.130310248058259
h0328,DE,s1996,wind,avaConv,0.140398652288696
h0329,DE,s1996,wind,avaConv,0.229831780056393
h0330,DE,s1996,wind,avaConv,0.30126087421031
h0331,DE,s1996,wind,avaConv,0.320611433671397
h0332,DE,s1996,wind,avaConv,0.336984222403665
h0333,DE,s1996,wind,avaConv,0.332108833010621
h0334,DE,s1996,wind,avaConv,0.311343052146332
h0335,DE,s1996,wind,avaConv,0.296475614232066
h0336,DE,s1996,wind,avaConv,0.275111952545641
h0337,DE,s1996,wind,avaConv,0.270464092889483
h0338,DE,s1996,wind,avaConv,0.264765926241564
h0339,DE,s1996,wind,avaConv,0.263431040974216
h0340,DE,s1996,wind,avaConv,0.257182790348181
h0341,DE,s1996,wind,avaConv,0.249477805184779
h0342,DE,s1996,wind,avaConv,0.248241314668311
h0343,DE,s1996,wind,avaConv,0.256582128702178
h0344,DE,s1996,wind,avaConv,0.260546844395367
h0345,DE,s1996,wind,avaConv,0.293039790266877
h0346,DE,s1996,wind,avaConv,0.330104285233652
h0347,DE,s1996,wind,avaConv,0.329908974510917
h0348,DE,s1996,wind,avaConv,0.300185879002535
h0349,DE,s1996,wind,avaConv,0.25428822220275
h0350,DE,s1996,wind,avaConv,0.198636432362407
h0351,DE,s1996,wind,avaConv,0.123019695414633
h0352,DE,s1996,wind,avaConv,0.0853156214868417
h0353,DE,s1996,wind,avaConv,0.126989773366003
h0354,DE,s1996,wind,avaConv,0.152950216450747
h0355,DE,s1996,wind,avaConv,0.151969605639921
h0356,DE,s1996,wind,avaConv,0.142978846802366
h0357,DE,s1996,wind,avaConv,0.133594039450842
h0358,DE,s1996,wind,avaConv,0.122562234058039
h0359,DE,s1996,wind,avaConv,0.108848645686269
h0360,DE,s1996,wind,avaConv,0.0987535818518756
h0361,DE,s1996,wind,avaConv,0.0936210921297767
h0362,DE,s1996,wind,avaConv,0.0868538062854066
h0363,DE,s1996,wind,avaConv,0.0817648423987998
h0364,DE,s1996,wind,avaConv,0.0726243035565459
h0365,DE,s1996,wind,avaConv,0.0663227634371802
h0366,DE,s1996,wind,avaConv,0.0601914589295635
h0367,DE,s1996,wind,avaConv,0.0610339851486615
h0368,DE,s1996,wind,avaConv,0.0616486015725744
h0369,DE,s1996,wind,avaConv,0.0708353994491688
h0370,DE,s1996,wind,avaConv,0.0878517542769444
h0371,DE,s1996,wind,avaConv,0.0775805291900792
h0372,DE,s1996,wind,avaConv,0.0646761032976538
h0373,DE,s1996,wind,avaConv,0.0497643669842117
h0374,DE,s1996,wind,avaConv,0.0329861006652718
h0375,DE,s1996,wind,avaConv,0.0091756217935096
h0376,DE,s1996,wind,avaConv,0.00745025389694231
h0377,DE,s1996,wind,avaConv,0.0119335969277736
h0378,DE,s1996,wind,avaConv,0.0190426699083716
h0379,DE,s1996,wind,avaConv,0.0255581552520889
h0380,DE,s1996,wind,avaConv,0.0313944881713406
h0381,DE,s1996,wind,avaConv,0.0338181223238346
h0382,DE,s1996,wind,avaConv,0.0325196357161762
h0383,DE,s1996,wind,avaConv,0.0333003475515005
h0384,DE,s1996,wind,avaConv,0.0365570143098412
h0385,DE,s1996,wind,avaConv,0.0347917768278974
h0386,DE,s1996,wind,avaConv,0.0289010231737302
h0387,DE,s1996,wind,avaConv,0.0238285429497841
h0388,DE,s1996,wind,avaConv,0.0206833740226748
h0389,DE,s1996,wind,avaConv,0.0221770807928464
h0390,DE,s1996,wind,avaConv,0.0264357106375079
h0391,DE,s1996,wind,avaConv,0.0347163445769324
h0392,DE,s1996,wind,avaConv,0.0442219413232936
h0393,DE,s1996,wind,avaConv,0.0625691465024249
h0394,DE,s1996,wind,avaConv,0.0807465656346873
h0395,DE,s1996,wind,avaConv,0.0664210022472087
h0396,DE,s1996,wind,avaConv,0.0541379433471257
h0397,DE,s1996,wind,avaConv,0.0413213478308068
h0398,DE,s1996,wind,avaConv,0.0282703027524909
h0399,DE,s1996,wind,avaConv,0.0200165019097287
h0400,DE,s1996,wind,avaConv,0.0162755101351321
h0401,DE,s1996,wind,avaConv,0.0188046791317243
h0402,DE,s1996,wind,avaConv,0.0256049366770886
h0403,DE,s1996,wind,avaConv,0.0335542217207545
h0404,DE,s1996,wind,avaConv,0.0403149625273356
h0405,DE,s1996,wind,avaConv,0.0417042924140884
h0406,DE,s1996,wind,avaConv,0.0384470372423417
h0407,DE,s1996,wind,avaConv,0.0334143365311916
h0408,DE,s1996,wind,avaConv,0.0284638133993747
h0409,DE,s1996,wind,avaConv,0.0250195279840428
h0410,DE,s1996,wind,avaConv,0.0223618142112228
h0411,DE,s1996,wind,avaConv,0.0203912656897748
h0412,DE,s1996,wind,avaConv,0.0210076387553262
h0413,DE,s1996,wind,avaConv,0.0214810023989616
h0414,DE,s1996,wind,avaConv,0.0243101292207169
h0415,DE,s1996,wind,avaConv,0.0287312326848946
h0416,DE,s1996,wind,avaConv,0.0346817866685488
h0417,DE,s1996,wind,avaConv,0.0510063608675008
h0418,DE,s1996,wind,avaConv,0.0596827690945493
h0419,DE,s1996,wind,avaConv,0.0628973941529145
h0420,DE,s1996,wind,avaConv,0.0582411607097776
h0421,DE,s1996,wind,avaConv,0.048229924582577
h0422,DE,s1996,wind,avaConv,0.0389535094566797
h0423,DE,s1996,wind,avaConv,0.0329289211056988
h0424,DE,s1996,wind,avaConv,0.0232253991767352
h0425,DE,s1996,wind,avaConv,0.0323779924667749
h0426,DE,s1996,wind,avaConv,0.0511717727739903
h0427,DE,s1996,wind,avaConv,0.0695125768029643
h0428,DE,s1996,wind,avaConv,0.081820524101335
h0429,DE,s1996,wind,avaConv,0.0847748267173659
h0430,DE,s1996,wind,avaConv,0.0832086613776495
h0431,DE,s1996,wind,avaConv,0.0767744073657579
h0432,DE,s1996,wind,avaConv,0.0736946548223032
h0433,DE,s1996,wind,avaConv,0.0791781623997632
h0434,DE,s1996,wind,avaConv,0.0942186851466151
h0435,DE,s1996,wind,avaConv,0.110035028993682
h0436,DE,s1996,wind,avaConv,0.132221167672866
h0437,DE,s1996,wind,avaConv,0.153308169676472
h0438,DE,s1996,wind,avaConv,0.178990691340593
h0439,DE,s1996,wind,avaConv,0.202860019850131
h0440,DE,s1996,wind,avaConv,0.218314770252939
h0441,DE,s1996,wind,avaConv,0.23535084882931
h0442,DE,s1996,wind,avaConv,0.262224064964475
h0443,DE,s1996,wind,avaConv,0.275340250259011
h0444,DE,s1996,wind,avaConv,0.287580117646712
h0445,DE,s1996,wind,avaConv,0.293412301713097
h0446,DE,s1996,wind,avaConv,0.307298279189203
h0447,DE,s1996,wind,avaConv,0.309635656389115
h0448,DE,s1996,wind,avaConv,0.20528018360105
h0449,DE,s1996,wind,avaConv,0.230837004130707
h0450,DE,s1996,wind,avaConv,0.314539424762979
h0451,DE,s1996,wind,avaConv,0.353096513269669
h0452,DE,s1996,wind,avaConv,0.378990973915998
h0453,DE,s1996,wind,avaConv,0.400860501824579
h0454,DE,s1996,wind,avaConv,0.420049920214701
h0455,DE,s1996,wind,avaConv,0.439810177351211
h0456,DE,s1996,wind,avaConv,0.45555676558344
h0457,DE,s1996,wind,avaConv,0.512347870937053
h0458,DE,s1996,wind,avaConv,0.571752384130211
h0459,DE,s1996,wind,avaConv,0.601528457246816
h0460,DE,s1996,wind,avaConv,0.635772321130995
h0461,DE,s1996,wind,avaConv,0.621444475496233
h0462,DE,s1996,wind,avaConv,0.626305451452678
h0463,DE,s1996,wind,avaConv,0.660874789873892
h0464,DE,s1996,wind,avaConv,0.656547180457289
h0465,DE,s1996,wind,avaConv,0.733510412942822
h0466,DE,s1996,wind,avaConv,0.824620233718395
h0467,DE,s1996,wind,avaConv,0.910808437867275
h0468,DE,s1996,wind,avaConv,0.91813135706454
h0469,DE,s1996,wind,avaConv,0.912952025937232
h0470,DE,s1996,wind,avaConv,0.911797921425583
h0471,DE,s1996,wind,avaConv,0.894041425058602
h0472,DE,s1996,wind,avaConv,0.812999666219269
h0473,DE,s1996,wind,avaConv,0.744549289676774
h0474,DE,s1996,wind,avaConv,0.767277194865842
h0475,DE,s1996,wind,avaConv,0.776890378489881
h0476,DE,s1996,wind,avaConv,0.747801581600738
h0477,DE,s1996,wind,avaConv,0.705581806987171
h0478,DE,s1996,wind,avaConv,0.647808761430338
h0479,DE,s1996,wind,avaConv,0.63316391267719
h0480,DE,s1996,wind,avaConv,0.614129832510285
h0481,DE,s1996,wind,avaConv,0.612050789826681
h0482,DE,s1996,wind,avaConv,0.603720844722611
h0483,DE,s1996,wind,avaConv,0.595996173972857
h0484,DE,s1996,wind,avaConv,0.582567939903192
h0485,DE,s1996,wind,avaConv,0.579720726800185
h0486,DE,s1996,wind,avaConv,0.587705108501124
h0487,DE,s1996,wind,avaConv,0.585740022750623
h0488,DE,s1996,wind,avaConv,0.586108301667404
h0489,DE,s1996,wind,avaConv,0.664217293766312
h0490,DE,s1996,wind,avaConv,0.67119965309523
h0491,DE,s1996,wind,avaConv,0.742281147597416
h0492,DE,s1996,wind,avaConv,0.758684887981877
h0493,DE,s1996,wind,avaConv,0.782188388905855
h0494,DE,s1996,wind,avaConv,0.787486774113571
h0495,DE,s1996,wind,avaConv,0.73907285276642
h0496,DE,s1996,wind,avaConv,0.597923183516027
h0497,DE,s1996,wind,avaConv,0.569949152510802
h0498,DE,s1996,wind,avaConv,0.618191679423363
h0499,DE,s1996,wind,avaConv,0.621330343000038
h0500,DE,s1996,wind,avaConv,0.60204313289714
h0501,DE,s1996,wind,avaConv,0.586982720454177
h0502,DE,s1996,wind,avaConv,0.565202840979518
h0503,DE,s1996,wind,avaConv,0.537417541860977
h0504,DE,s1996,wind,avaConv,0.514925263640074
h0505,DE,s1996,wind,avaConv,0.504032843713905
h0506,DE,s1996,wind,avaConv,0.492379827578462
h0507,DE,s1996,wind,avaConv,0.498794520239947
h0508,DE,s1996,wind,avaConv,0.502571699522616
h0509,DE,s1996,wind,avaConv,0.549091833753851
h0510,DE,s1996,wind,avaConv,0.560902449635235
