timestep_2,carrier_1,region_4,parameter,value,comment,source
2040,spaceHeat,39CZ,capaDem,17.70580774,,
2040,spaceHeat,40CZ,capaDem,12.9568629,,
2040,spaceHeat,41PL,capaDem,19.42448255,,
2040,spaceHeat,42PL,capaDem,12.3534002,,
2040,spaceHeat,43PL,capaDem,16.70261359,,
2040,spaceHeat,44PL,capaDem,17.87895817,,
2040,spaceHeat,45PL,capaDem,11.99006193,,
2040,spaceHeat,46SK,capaDem,16.48293811,,
2040,spaceHeat,47CH,capaDem,3.387435794,,
2040,spaceHeat,48CH,capaDem,21.57473927,,
2040,spaceHeat,49AT,capaDem,5.318603271,,
2040,spaceHeat,50AT,capaDem,9.776203565,,
2040,spaceHeat,51AT,capaDem,15.13169066,,
2040,spaceHeat,52IT,capaDem,99.68392521,,
2040,spaceHeat,53IT,capaDem,20.80543352,,
2040,spaceHeat,54IT,capaDem,41.34641657,,
2040,spaceHeat,55IT,capaDem,19.24740158,,
2040,spaceHeat,56IT,capaDem,13.68240353,,
2040,spaceHeat,57SI,capaDem,7.141250474,,
2040,spaceHeat,58HU,capaDem,25.9314371,,
2040,spaceHeat,59RO,capaDem,6.776403125,,
2040,spaceHeat,60RO,capaDem,9.934881335,,
2040,spaceHeat,61RO,capaDem,6.434784318,,
2040,spaceHeat,62HR,capaDem,8.144204528,,
2040,spaceHeat,63BA,capaDem,2.869812172,,
2040,spaceHeat,64ME,capaDem,0.545956551,,
2040,spaceHeat,65RS,capaDem,6.381251335,,
2040,spaceHeat,66BG,capaDem,20.40210318,,
2040,spaceHeat,67MK,capaDem,1.808306453,,
2040,spaceHeat,68GR,capaDem,5.383321426,,
2040,spaceHeat,69GR,capaDem,8.927759517,,
2040,spaceHeat,70AL,capaDem,2.846451077,,
2040,spaceHeat,72DK,capaDem,12.25948602,,
2040,spaceHeat,73EE,capaDem,8.115615324,,
2040,spaceHeat,74FI,capaDem,3.43347823,,
2040,spaceHeat,75FI,capaDem,28.55188733,,
2040,spaceHeat,77LT,capaDem,9.830312641,,
2040,spaceHeat,78LV,capaDem,10.77628732,,
2040,spaceHeat,79NO,capaDem,1.48607912,,
2040,spaceHeat,80NO,capaDem,2.982216051,,
2040,spaceHeat,81NO,capaDem,4.312541008,,
2040,spaceHeat,82NO,capaDem,8.27512104,,
2040,spaceHeat,83NO,capaDem,2.269355101,,
2040,spaceHeat,84NO,capaDem,1.922814199,,
2040,spaceHeat,85NO,capaDem,0.238525325,,
2040,spaceHeat,86SE,capaDem,0.950842664,,
2040,spaceHeat,87SE,capaDem,4.018973961,,
2040,spaceHeat,88SE,capaDem,25.45275332,,
2040,spaceHeat,89SE,capaDem,7.670281236,,
2040,spaceHeat,90UK,capaDem,62.63088363,,
2040,spaceHeat,91UK,capaDem,15.10754625,,
2040,spaceHeat,92UK,capaDem,61.20035883,,
2040,spaceHeat,93UK,capaDem,14.6746136,,
2040,spaceHeat,94UK,capaDem,7.28322937,,
2040,spaceHeat,95UK,capaDem,4.622107524,,
2040,spaceHeat,96IE,capaDem,9.259690938,,
2040,spaceHeat,98IT,capaDem,5.645310895,,
2040,spaceHeat,99FR,capaDem,0.943670026,,
