technology_3,region_2,parameter,value,source
bioBoilerSpace,LU,effConv,0.877028296,
bioBoilerSpace,LU,costExpConv,429.0267024,
bioBoilerSpace,LU,costOprConv,26.87609806,
heatpumpAirSpace,LU,lifeConv,18.01006003,
heatpumpAirSpace,LU,costExpConv,1663.76882,
heatpumpAirSpace,LU,costOprConv,22.58921992,
heatpumpGroundSpace,LU,lifeConv,20,
heatpumpGroundSpace,LU,costExpConv,2877.243335,
heatpumpGroundSpace,LU,costOprConv,19.40350805,
resistiveHeatSpace,LU,lifeConv,30,
resistiveHeatSpace,LU,effConv,1,
resistiveHeatSpace,LU,costExpConv,427.0358459,
resistiveHeatSpace,LU,costOprConv,1.935605893,
gasBoilerSpace,LV,lifeConv,23.95751118,
gasBoilerSpace,LV,effConv,1.013745067,
gasBoilerSpace,LV,costExpConv,175.8181425,
gasBoilerSpace,LV,costOprConv,6.837003422,
bioBoilerSpace,LV,lifeConv,20,
bioBoilerSpace,LV,effConv,0.894582934,
bioBoilerSpace,LV,costExpConv,299.159934,
bioBoilerSpace,LV,costOprConv,12.69045933,
heatpumpAirSpace,LV,lifeConv,19.16600894,
heatpumpAirSpace,LV,costExpConv,916.4522514,
heatpumpAirSpace,LV,costOprConv,15.09775615,
heatpumpGroundSpace,LV,lifeConv,20,
heatpumpGroundSpace,LV,costExpConv,1591.473813,
heatpumpGroundSpace,LV,costOprConv,11.15753557,
resistiveHeatSpace,LV,lifeConv,30,
resistiveHeatSpace,LV,effConv,1,
resistiveHeatSpace,LV,costExpConv,345.3462129,
resistiveHeatSpace,LV,costOprConv,0.801089615,
gasBoilerSpace,ME,lifeConv,22.62329342,
gasBoilerSpace,ME,effConv,1.005739761,
gasBoilerSpace,ME,costExpConv,304.0404348,
gasBoilerSpace,ME,costOprConv,13.45555305,
bioBoilerSpace,ME,lifeConv,20,
bioBoilerSpace,ME,effConv,0.884693575,
bioBoilerSpace,ME,costExpConv,399.2383908,
bioBoilerSpace,ME,costOprConv,24.2693667,
heatpumpAirSpace,ME,lifeConv,18.09863474,
heatpumpAirSpace,ME,costExpConv,1531.0064,
heatpumpAirSpace,ME,costOprConv,21.13629236,
heatpumpGroundSpace,ME,lifeConv,20,
heatpumpGroundSpace,ME,costExpConv,3119.581276,
heatpumpGroundSpace,ME,costOprConv,17.59777395,
resistiveHeatSpace,ME,lifeConv,30,
resistiveHeatSpace,ME,effConv,1,
resistiveHeatSpace,ME,costExpConv,374.555592,
resistiveHeatSpace,ME,costOprConv,1.702255499,
gasBoilerSpace,MK,lifeConv,22.62329342,
gasBoilerSpace,MK,effConv,1.005739761,
gasBoilerSpace,MK,costExpConv,304.0404348,
gasBoilerSpace,MK,costOprConv,13.45555305,
bioBoilerSpace,MK,lifeConv,20,
bioBoilerSpace,MK,effConv,0.884693575,
bioBoilerSpace,MK,costExpConv,399.2383908,
bioBoilerSpace,MK,costOprConv,24.2693667,
heatpumpAirSpace,MK,lifeConv,18.09863474,
heatpumpAirSpace,MK,costExpConv,1465.156663,
heatpumpAirSpace,MK,costOprConv,21.13629236,
heatpumpGroundSpace,MK,lifeConv,20,
heatpumpGroundSpace,MK,costExpConv,2844.884515,
heatpumpGroundSpace,MK,costOprConv,17.59777395,
resistiveHeatSpace,MK,lifeConv,30,
resistiveHeatSpace,MK,effConv,1,
resistiveHeatSpace,MK,costExpConv,374.555592,
resistiveHeatSpace,MK,costOprConv,1.702255499,
gasBoilerSpace,NL,lifeConv,21.9294668,
gasBoilerSpace,NL,effConv,1.001576801,
gasBoilerSpace,NL,costExpConv,375.3799835,
gasBoilerSpace,NL,costOprConv,17.18730862,
bioBoilerSpace,NL,lifeConv,20,
bioBoilerSpace,NL,effConv,0.87787623,
bioBoilerSpace,NL,costExpConv,454.4754791,
bioBoilerSpace,NL,costOprConv,30.63530038,
heatpumpAirSpace,NL,lifeConv,17.54357344,
heatpumpAirSpace,NL,costExpConv,1913.292612,
heatpumpAirSpace,NL,costOprConv,24.38140415,
heatpumpGroundSpace,NL,lifeConv,20,
heatpumpGroundSpace,NL,costExpConv,3429.84849,
heatpumpGroundSpace,NL,costOprConv,21.13844807,
resistiveHeatSpace,NL,lifeConv,30,
resistiveHeatSpace,NL,effConv,1,
resistiveHeatSpace,NL,costExpConv,388.0249537,
resistiveHeatSpace,NL,costOprConv,2.203487866,
gasBoilerSpace,NO,lifeConv,24.06658214,
gasBoilerSpace,NO,effConv,1.014399493,
gasBoilerSpace,NO,costExpConv,178.5027099,
gasBoilerSpace,NO,costOprConv,6.942973184,
bioBoilerSpace,NO,lifeConv,20,
bioBoilerSpace,NO,effConv,0.893411337,
bioBoilerSpace,NO,costExpConv,301.7172086,
bioBoilerSpace,NO,costOprConv,12.34739721,
heatpumpAirSpace,NO,lifeConv,19.25326571,
heatpumpAirSpace,NO,costExpConv,1021.317591,
heatpumpAirSpace,NO,costOprConv,15.16012112,
heatpumpGroundSpace,NO,lifeConv,20,
heatpumpGroundSpace,NO,costExpConv,2141.000855,
heatpumpGroundSpace,NO,costOprConv,11.2608271,
