i,lowCost,bestObj,gap,curCost,time_ges,time_top,time_sub,actMethod,dynPar_prx
184,50959.86944897051,51554.99178805877,0.01154344746159186,52025.31833780171,4.083333333333333,0.00825,0.008466666666666667,prx,"[1001.08, 839.67]"
185,50960.222529041486,51554.99178805877,0.011536598850841906,51908.55065797263,4.1,0.008783333333333334,0.008883333333333333,prx,"[811.94, 811.94]"
186,50962.12265938541,51554.99178805877,0.011499742471313468,52109.94765809538,4.116666666666666,0.007833333333333333,0.009183333333333333,prx,"[405.97, 103.23]"
187,50962.740652766064,51554.99178805877,0.011487755399660071,51740.70789205534,4.133333333333334,0.007583333333333333,0.0062,prx,"[405.97, 556.94]"
188,50963.418651132706,51554.99178805877,0.011474604425464774,51821.398215469526,4.15,0.007783333333333334,0.00555,prx,"[405.97, 445.4]"
189,50964.323344177734,51554.99178805877,0.011457056308131208,51784.53820850611,4.166666666666667,0.00755,0.0114,prx,"[495.66, 495.66]"
190,50973.1415064484,51554.99178805877,0.011286012497147446,51897.864654883,4.183333333333334,0.0086,0.007583333333333333,prx,"[495.66, 406.43]"
191,50973.71803850753,51554.99178805877,0.01127482964095572,51752.98048581672,4.2,0.008033333333333333,0.0060999999999999995,prx,"[653.2, 653.2]"
192,50975.223153691775,51411.20310182783,0.008480251809562356,51411.20310182783,4.216666666666667,0.0081,0.006750000000000001,prx,"[1630.69, 1630.69]"
193,50976.26837224487,51411.20310182783,0.008459921249489133,51456.91088285264,4.233333333333333,0.0086,0.00555,prx,"[1630.69, 2918.18]"
194,50976.80287579133,51379.36565639477,0.007835106087055066,51379.36565639477,4.25,0.007416666666666667,0.006616666666666667,prx,"[3500.83, 3500.83]"
195,50979.35820433965,51379.36565639477,0.007785371558111764,51433.17391195512,4.266666666666667,0.007483333333333333,0.0061333333333333335,prx,"[3500.83, 6057.83]"
196,50980.713344252785,51379.36565639477,0.0077589963801425466,51460.94084570359,4.283333333333333,0.0076166666666666666,0.007166666666666667,prx,"[3500.83, 5564.94]"
197,50980.95391477033,51379.36565639477,0.007754314140210772,51450.77221529046,4.3,0.0073,0.007833333333333333,prx,"[3500.83, 5743.16]"
198,50983.12508053423,51379.36565639477,0.0077120565970091315,51500.500320481195,4.316666666666666,0.008033333333333333,0.00635,prx,"[3500.83, 4854.32]"
199,50986.82867748612,51379.36565639477,0.007639973244002007,51520.82421213209,4.333333333333333,0.007233333333333333,0.0084,prx,"[3500.83, 4454.5]"
200,50987.02555101596,51379.36565639477,0.007636141481438874,51390.20509668591,4.35,0.00835,0.007166666666666667,prx,"[3500.83, 6806.06]"
