region_1,region_2,region_3,region_4,carrier_1,technology_1,technology_2,technology_3,id_1,parameter,value
EU,ES,es,05ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,ES,es,06ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,ES,es,06ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,ES,es,07ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,ES,es,07ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,ES,es,08ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,ES,es,08ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,ES,es,09ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,ES,es,09ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,ES,es,10ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,ES,es,10ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,ES,es,11ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,ES,es,11ES,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,FI,fi,74FI,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,FI,fi,74FI,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,FI,fi,75FI,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,FI,fi,75FI,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,FR,fr,14FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,FR,fr,14FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,FR,fr,15FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,FR,fr,15FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,FR,fr,16FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
EU,FR,fr,16FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
EU,FR,fr,17FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,FR,fr,17FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,FR,fr,18FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,FR,fr,18FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,FR,fr,19FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
EU,FR,fr,19FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
EU,FR,fr,20FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,FR,fr,20FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,FR,fr,21FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
EU,FR,fr,21FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
EU,FR,fr,22FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,FR,fr,22FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,FR,fr,23FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,FR,fr,23FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,FR,fr,24FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,FR,fr,24FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,FR,fr,25FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,FR,fr,25FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,FR,fr,26FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,FR,fr,26FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,FR,fr,27FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,FR,fr,27FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,FR,fr_co,99FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,FR,fr_co,99FR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,GR,gr,68GR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,GR,gr,68GR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,GR,gr,69GR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
EU,GR,gr,69GR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
EU,HR,hr,62HR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
EU,HR,hr,62HR,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
EU,HU,hu,58HU,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,HU,hu,58HU,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,IE,ie,96IE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,IE,ie,96IE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,IT,it_cn,53IT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,IT,it_cn,53IT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,IT,it_cs,54IT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,IT,it_cs,54IT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,IT,it_n,52IT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,IT,it_n,52IT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,IT,it_s,55IT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,IT,it_s,55IT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,IT,it_sar,98IT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,IT,it_sar,98IT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,IT,it_sic,56IT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,IT,it_sic,56IT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,LT,lt,77LT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,LT,lt,77LT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,LU,lu,29LU,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,LU,lu,29LU,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,LV,lv,78LV,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,LV,lv,78LV,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,NL,nl,30NL,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,NL,nl,30NL,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,PL,pl,41PL,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,PL,pl,41PL,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,PL,pl,42PL,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,PL,pl,42PL,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,PL,pl,43PL,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,PL,pl,43PL,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,PL,pl,44PL,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
EU,PL,pl,44PL,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
EU,PL,pl,45PL,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,PL,pl,45PL,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,PT,pt,12PT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,PT,pt,12PT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,PT,pt,13PT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,PT,pt,13PT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,RO,ro,59RO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,RO,ro,59RO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,RO,ro,60RO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
EU,RO,ro,60RO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
EU,RO,ro,61RO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,RO,ro,61RO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,SE,se_1,86SE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,SE,se_1,86SE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,SE,se_2,87SE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,SE,se_2,87SE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,SE,se_3,88SE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,SE,se_3,88SE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,SE,se_4,89SE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,SE,se_4,89SE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,SI,si,57SI,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,SI,si,57SI,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,SK,sk,46SK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
EU,SK,sk,46SK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
nonEU,AL,al,70AL,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
nonEU,AL,al,70AL,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
nonEU,BA,ba,63BA,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
nonEU,BA,ba,63BA,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
nonEU,CH,ch,47CH,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
nonEU,CH,ch,47CH,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
nonEU,CH,ch,48CH,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
nonEU,CH,ch,48CH,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
nonEU,ME,me,64ME,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
nonEU,ME,me,64ME,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
nonEU,MK,mk,67MK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
nonEU,MK,mk,67MK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
nonEU,NO,no_m,83NO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
nonEU,NO,no_m,83NO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
nonEU,NO,no_n,84NO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
nonEU,NO,no_n,84NO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
nonEU,NO,no_n,85NO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
nonEU,NO,no_n,85NO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
nonEU,NO,no_s,79NO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
nonEU,NO,no_s,79NO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
nonEU,NO,no_s,80NO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
nonEU,NO,no_s,80NO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
nonEU,NO,no_s,81NO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
nonEU,NO,no_s,81NO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
nonEU,NO,no_s,82NO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
nonEU,NO,no_s,82NO,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
nonEU,RS,rs,65RS,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
nonEU,RS,rs,65RS,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
nonEU,UK,ni,95UK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
nonEU,UK,ni,95UK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
nonEU,UK,uk,90UK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
nonEU,UK,uk,90UK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
nonEU,UK,uk,91UK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
nonEU,UK,uk,91UK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
nonEU,UK,uk,92UK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
nonEU,UK,uk,92UK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
nonEU,UK,uk,93UK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
nonEU,UK,uk,93UK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
nonEU,UK,uk,94UK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,0.9999999999999999
nonEU,UK,uk,94UK,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,0.9999999999999999
