timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0344,BE,s2016,electricity,dem,11.5805831681956
h0345,BE,s2016,electricity,dem,11.8319993769868
h0346,BE,s2016,electricity,dem,11.9515543220418
h0347,BE,s2016,electricity,dem,12.065040585778
h0348,BE,s2016,electricity,dem,11.8973647616022
h0349,BE,s2016,electricity,dem,11.8046724539099
h0350,BE,s2016,electricity,dem,11.6484911352286
h0351,BE,s2016,electricity,dem,11.6013510253385
h0352,BE,s2016,electricity,dem,11.6545144868769
h0353,BE,s2016,electricity,dem,12.124470530833
h0354,BE,s2016,electricity,dem,12.3519952561077
h0355,BE,s2016,electricity,dem,11.9865323440198
h0356,BE,s2016,electricity,dem,11.4635653110527
h0357,BE,s2016,electricity,dem,10.9357040473165
h0358,BE,s2016,electricity,dem,11.0475392121516
h0359,BE,s2016,electricity,dem,11.0099870143494
h0360,BE,s2016,electricity,dem,10.4329389374264
h0361,BE,s2016,electricity,dem,9.01278321123736
h0362,BE,s2016,electricity,dem,8.64982167277583
h0363,BE,s2016,electricity,dem,8.4377241453033
h0364,BE,s2016,electricity,dem,8.41994529914945
h0365,BE,s2016,electricity,dem,8.73016782662198
h0366,BE,s2016,electricity,dem,9.54895216728131
h0367,BE,s2016,electricity,dem,10.2278862332154
h0368,BE,s2016,electricity,dem,10.6244164529956
h0369,BE,s2016,electricity,dem,10.8758326617868
h0370,BE,s2016,electricity,dem,10.9953876068418
h0371,BE,s2016,electricity,dem,11.108873870578
h0372,BE,s2016,electricity,dem,10.9411980464022
h0373,BE,s2016,electricity,dem,10.8485057387099
h0374,BE,s2016,electricity,dem,10.6923244200286
h0375,BE,s2016,electricity,dem,10.6451843101385
h0376,BE,s2016,electricity,dem,10.6983477716769
h0377,BE,s2016,electricity,dem,11.168303815633
h0378,BE,s2016,electricity,dem,11.3958285409077
h0379,BE,s2016,electricity,dem,11.0303656288198
h0380,BE,s2016,electricity,dem,10.5073985958527
h0381,BE,s2016,electricity,dem,9.97953733211648
h0382,BE,s2016,electricity,dem,10.0913724969516
h0383,BE,s2016,electricity,dem,10.0538202991494
h0384,BE,s2016,electricity,dem,9.47677222222637
h0385,BE,s2016,electricity,dem,9.04175058513736
h0386,BE,s2016,electricity,dem,8.67878904667583
h0387,BE,s2016,electricity,dem,8.4666915192033
h0388,BE,s2016,electricity,dem,8.44891267304945
h0389,BE,s2016,electricity,dem,8.75913520052198
h0390,BE,s2016,electricity,dem,9.57791954118131
h0391,BE,s2016,electricity,dem,10.2568536071154
h0392,BE,s2016,electricity,dem,10.6533838268956
h0393,BE,s2016,electricity,dem,10.9048000356868
h0394,BE,s2016,electricity,dem,11.0243549807418
h0395,BE,s2016,electricity,dem,11.137841244478
h0396,BE,s2016,electricity,dem,10.9701654203022
h0397,BE,s2016,electricity,dem,10.8774731126099
h0398,BE,s2016,electricity,dem,10.7212917939286
h0399,BE,s2016,electricity,dem,10.6741516840385
h0400,BE,s2016,electricity,dem,10.7273151455769
h0401,BE,s2016,electricity,dem,11.197271189533
h0402,BE,s2016,electricity,dem,11.4247959148077
h0403,BE,s2016,electricity,dem,11.0593330027198
h0404,BE,s2016,electricity,dem,10.5363659697527
h0405,BE,s2016,electricity,dem,10.0085047060165
h0406,BE,s2016,electricity,dem,10.1203398708516
h0407,BE,s2016,electricity,dem,10.0827876730494
h0408,BE,s2016,electricity,dem,9.50573959612637
h0409,BE,s2016,electricity,dem,10.6633677045374
h0410,BE,s2016,electricity,dem,10.3004061660758
h0411,BE,s2016,electricity,dem,10.0883086386033
h0412,BE,s2016,electricity,dem,10.0705297924495
h0413,BE,s2016,electricity,dem,10.380752319922
h0414,BE,s2016,electricity,dem,11.1995366605813
h0415,BE,s2016,electricity,dem,11.8784707265154
h0416,BE,s2016,electricity,dem,12.2750009462956
