timestep_6,region_1,technology_1,scenario_1,parameter,value
h0054,FR,wind,scr2094,avaConv,0.1663696960130855
h0055,FR,wind,scr2094,avaConv,0.1149065472489456
h0056,FR,wind,scr2094,avaConv,0.20991481059059525
h0057,FR,wind,scr2094,avaConv,0.22726265107907667
h0058,FR,wind,scr2094,avaConv,0.25159840593586086
h0059,FR,wind,scr2094,avaConv,0.21681814601174898
h0060,FR,wind,scr2094,avaConv,0.10507259293526415
h0061,FR,wind,scr2094,avaConv,0.07030726545015696
h0062,FR,wind,scr2094,avaConv,0.06755763132044816
h0063,FR,wind,scr2094,avaConv,0.11744066504615146
h0064,FR,wind,scr2094,avaConv,0.1277426265287528
h0065,FR,wind,scr2094,avaConv,0.2124087380084973
h0066,FR,wind,scr2094,avaConv,0.19774972510686756
h0067,FR,wind,scr2094,avaConv,0.2242531301942387
h0068,FR,wind,scr2094,avaConv,0.15408770683191492
h0069,FR,wind,scr2094,avaConv,0.1882783795354171
h0070,FR,wind,scr2094,avaConv,0.22661512339153878
h0071,FR,wind,scr2094,avaConv,0.26929591725996577
h0072,FR,wind,scr2094,avaConv,0.2396128797729356
h0073,FR,wind,scr2094,avaConv,0.2431736780702573
h0074,FR,wind,scr2094,avaConv,0.257598685424876
h0075,FR,wind,scr2094,avaConv,0.3348449259968083
h0076,FR,wind,scr2094,avaConv,0.28348129346500656
h0077,FR,wind,scr2094,avaConv,0.2432745265883659
h0078,FR,wind,scr2094,avaConv,0.1625614393437259
h0079,FR,wind,scr2094,avaConv,0.16116030176715307
h0080,FR,wind,scr2094,avaConv,0.051827446215290104
h0081,FR,wind,scr2094,avaConv,0.10482429774313977
h0082,FR,wind,scr2094,avaConv,0.14099535548428838
h0083,FR,wind,scr2094,avaConv,0.12246768529759534
h0084,FR,wind,scr2094,avaConv,0.0401407840227886
h0085,FR,wind,scr2094,avaConv,0.021967985402405257
h0086,FR,wind,scr2094,avaConv,0.12381326754726484
h0087,FR,wind,scr2094,avaConv,0.12179237084445953
h0088,FR,wind,scr2094,avaConv,0.08111042478722862
h0089,FR,wind,scr2094,avaConv,0.005930673775393441
h0090,FR,wind,scr2094,avaConv,0.0033774952572561273
h0091,FR,wind,scr2094,avaConv,0.13282392347809402
h0092,FR,wind,scr2094,avaConv,0.2539666384066729
h0093,FR,wind,scr2094,avaConv,0.2910149953425515
h0094,FR,wind,scr2094,avaConv,0.30873813191277727
h0095,FR,wind,scr2094,avaConv,0.20110391604719657
h0096,FR,wind,scr2094,avaConv,0.25422742302203394
h0001,IT,wind,scr2094,avaConv,0.5042994012341643
h0002,IT,wind,scr2094,avaConv,0.34635623184487596
h0003,IT,wind,scr2094,avaConv,0.44165172020073235
h0004,IT,wind,scr2094,avaConv,0.5696582692978667
h0005,IT,wind,scr2094,avaConv,0.5133590246423823
h0006,IT,wind,scr2094,avaConv,0.5120495602989973
h0007,IT,wind,scr2094,avaConv,0.44025662279213895
h0008,IT,wind,scr2094,avaConv,0.4372188537571615
h0009,IT,wind,scr2094,avaConv,0.3576734277423956
h0010,IT,wind,scr2094,avaConv,0.4233549873666727
h0011,IT,wind,scr2094,avaConv,0.4989199105985103
h0012,IT,wind,scr2094,avaConv,0.6713122286588313
h0013,IT,wind,scr2094,avaConv,0.4465095837080015
h0014,IT,wind,scr2094,avaConv,0.5478127582299734
h0015,IT,wind,scr2094,avaConv,0.4908490732052468
h0016,IT,wind,scr2094,avaConv,0.5128810145816423
h0017,IT,wind,scr2094,avaConv,0.47069121528544194
h0018,IT,wind,scr2094,avaConv,0.41010208588241115
h0019,IT,wind,scr2094,avaConv,0.34650730862168255
h0020,IT,wind,scr2094,avaConv,0.3763214349329986
h0021,IT,wind,scr2094,avaConv,0.26577501699692013
h0022,IT,wind,scr2094,avaConv,0.4650137447629194
h0023,IT,wind,scr2094,avaConv,0.622042656465053
h0024,IT,wind,scr2094,avaConv,0.922231448622962
h0025,IT,wind,scr2094,avaConv,0.6722985028307344
h0026,IT,wind,scr2094,avaConv,0.6411530902602665
h0027,IT,wind,scr2094,avaConv,0.4726520554772347
h0028,IT,wind,scr2094,avaConv,0.7713754277292916
h0029,IT,wind,scr2094,avaConv,0.471172904710546
h0030,IT,wind,scr2094,avaConv,0.31955668810489357
h0031,IT,wind,scr2094,avaConv,0.2561724694213618
h0032,IT,wind,scr2094,avaConv,0.3076650935712495
h0033,IT,wind,scr2094,avaConv,0.5458466886495629
h0034,IT,wind,scr2094,avaConv,0.463841646401392
h0035,IT,wind,scr2094,avaConv,0.49599163399540785
h0036,IT,wind,scr2094,avaConv,0.24486803154578324
h0037,IT,wind,scr2094,avaConv,0.17819170319660002
h0038,IT,wind,scr2094,avaConv,0.12597669339689646
h0039,IT,wind,scr2094,avaConv,0.19567109925557982
h0040,IT,wind,scr2094,avaConv,0.1652394901030223
h0041,IT,wind,scr2094,avaConv,0.16556833720017583
h0042,IT,wind,scr2094,avaConv,0.0892924185217043
h0043,IT,wind,scr2094,avaConv,0.06156308496230629
h0044,IT,wind,scr2094,avaConv,0.2123903714888105
h0045,IT,wind,scr2094,avaConv,0.2854494560333179
h0046,IT,wind,scr2094,avaConv,0.3310176207309366
h0047,IT,wind,scr2094,avaConv,0.18281730736690766
h0048,IT,wind,scr2094,avaConv,0.2122667594802567
h0049,IT,wind,scr2094,avaConv,0.17216962685992568
h0050,IT,wind,scr2094,avaConv,0.12619728185377135
h0051,IT,wind,scr2094,avaConv,0.11280284399598844
h0052,IT,wind,scr2094,avaConv,0.17966328291680944
h0053,IT,wind,scr2094,avaConv,0.22479033211292776
h0054,IT,wind,scr2094,avaConv,0.1412209213226217
h0055,IT,wind,scr2094,avaConv,0.06174861570064805
h0056,IT,wind,scr2094,avaConv,0.14277143328644631
h0057,IT,wind,scr2094,avaConv,0.18565760698741915
h0058,IT,wind,scr2094,avaConv,0.23420509124133698
h0059,IT,wind,scr2094,avaConv,0.10361277609614777
h0060,IT,wind,scr2094,avaConv,0.06763974407553891
h0061,IT,wind,scr2094,avaConv,0.09133930298064302
h0062,IT,wind,scr2094,avaConv,0.19584828856631797
h0063,IT,wind,scr2094,avaConv,0.18936624562181406
h0064,IT,wind,scr2094,avaConv,0.16489691256106223
h0065,IT,wind,scr2094,avaConv,0.11565886861574279
h0066,IT,wind,scr2094,avaConv,0.17081280142291042
h0067,IT,wind,scr2094,avaConv,0.17109125723980606
h0068,IT,wind,scr2094,avaConv,0.22280785617323554
h0069,IT,wind,scr2094,avaConv,0.21087772522675866
h0070,IT,wind,scr2094,avaConv,0.24952053331948876
h0071,IT,wind,scr2094,avaConv,0.1869733908355938
h0072,IT,wind,scr2094,avaConv,0.14546759881595517
h0073,IT,wind,scr2094,avaConv,0.11049391961044197
h0074,IT,wind,scr2094,avaConv,0.06349492001396081
h0075,IT,wind,scr2094,avaConv,0.09492245967865615
h0076,IT,wind,scr2094,avaConv,0.07535768396114573
h0077,IT,wind,scr2094,avaConv,0.09271591116512676
h0078,IT,wind,scr2094,avaConv,0.05860548910108634
h0079,IT,wind,scr2094,avaConv,0.06420076581669551
h0080,IT,wind,scr2094,avaConv,0.10495247542141165
h0081,IT,wind,scr2094,avaConv,0.08664212860622458
h0082,IT,wind,scr2094,avaConv,0.05949765425907127
h0083,IT,wind,scr2094,avaConv,0.010285872405290223
h0084,IT,wind,scr2094,avaConv,0.046013991803917347
h0085,IT,wind,scr2094,avaConv,0.26416637788865366
h0086,IT,wind,scr2094,avaConv,0.2679313159366307
h0087,IT,wind,scr2094,avaConv,0.2459098448020337
h0088,IT,wind,scr2094,avaConv,0.0378159478923568
h0089,IT,wind,scr2094,avaConv,0.025976840101914034
h0090,IT,wind,scr2094,avaConv,0.012620701013066955
h0091,IT,wind,scr2094,avaConv,0.00021223701482712617
h0092,IT,wind,scr2094,avaConv,0.007341015937131337
h0093,IT,wind,scr2094,avaConv,0.11628066618976526
h0094,IT,wind,scr2094,avaConv,0.1765359557611363
