timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0023,FR,electricity,scr2094,dem,123.00060737325062
h0024,FR,electricity,scr2094,dem,132.25815538832322
h0025,FR,electricity,scr2094,dem,119.72009781729523
h0026,FR,electricity,scr2094,dem,104.4855574433994
h0027,FR,electricity,scr2094,dem,107.49965639489918
h0028,FR,electricity,scr2094,dem,114.96125918066828
h0029,FR,electricity,scr2094,dem,103.69901304203832
h0030,FR,electricity,scr2094,dem,77.74989530401918
h0031,FR,electricity,scr2094,dem,79.49579050854786
h0032,FR,electricity,scr2094,dem,100.46493383621485
h0033,FR,electricity,scr2094,dem,124.19145663033927
h0034,FR,electricity,scr2094,dem,110.36692363998377
h0035,FR,electricity,scr2094,dem,81.53227877239084
h0036,FR,electricity,scr2094,dem,56.11796628600523
h0037,FR,electricity,scr2094,dem,44.606795244487145
h0038,FR,electricity,scr2094,dem,48.67081096416402
h0039,FR,electricity,scr2094,dem,50.15702729649006
h0040,FR,electricity,scr2094,dem,47.74349751628205
h0041,FR,electricity,scr2094,dem,36.569330185613865
h0042,FR,electricity,scr2094,dem,35.650655538522
h0043,FR,electricity,scr2094,dem,32.88360008688842
h0044,FR,electricity,scr2094,dem,38.34990788390721
h0045,FR,electricity,scr2094,dem,37.381716384176414
h0046,FR,electricity,scr2094,dem,38.919573292064214
h0047,FR,electricity,scr2094,dem,36.643939133160046
h0048,FR,electricity,scr2094,dem,36.023016517209186
h0049,FR,electricity,scr2094,dem,34.82846458442275
h0050,FR,electricity,scr2094,dem,32.48494898027903
h0051,FR,electricity,scr2094,dem,30.725980984547558
h0052,FR,electricity,scr2094,dem,28.187083221400897
h0053,FR,electricity,scr2094,dem,27.727365802062685
h0054,FR,electricity,scr2094,dem,27.802253355194964
h0055,FR,electricity,scr2094,dem,29.976651914967125
h0056,FR,electricity,scr2094,dem,33.61627929797258
h0057,FR,electricity,scr2094,dem,32.6108361457609
h0058,FR,electricity,scr2094,dem,36.16643375173862
h0059,FR,electricity,scr2094,dem,35.09497459116106
h0060,FR,electricity,scr2094,dem,41.502409412613474
h0061,FR,electricity,scr2094,dem,42.43499558138976
h0062,FR,electricity,scr2094,dem,45.23307715505889
h0063,FR,electricity,scr2094,dem,44.527601905868806
h0064,FR,electricity,scr2094,dem,38.58335624019979
h0065,FR,electricity,scr2094,dem,37.722301123683735
h0066,FR,electricity,scr2094,dem,34.59847982946509
h0067,FR,electricity,scr2094,dem,40.53913938575657
h0068,FR,electricity,scr2094,dem,40.157284662134686
h0069,FR,electricity,scr2094,dem,41.442354618795946
h0070,FR,electricity,scr2094,dem,39.02229871633334
h0071,FR,electricity,scr2094,dem,37.954449699455665
h0072,FR,electricity,scr2094,dem,37.53843357085698
h0073,FR,electricity,scr2094,dem,33.88620974625201
h0074,FR,electricity,scr2094,dem,30.942429965323882
h0075,FR,electricity,scr2094,dem,27.316842417391456
h0076,FR,electricity,scr2094,dem,25.2888183031158
h0077,FR,electricity,scr2094,dem,24.414634762306015
h0078,FR,electricity,scr2094,dem,24.63734520127826
h0079,FR,electricity,scr2094,dem,27.743397254414095
h0080,FR,electricity,scr2094,dem,27.405225586301082
h0081,FR,electricity,scr2094,dem,32.62218847359689
h0082,FR,electricity,scr2094,dem,33.56356409977978
h0083,FR,electricity,scr2094,dem,40.505398338398194
h0084,FR,electricity,scr2094,dem,41.29133869829835
h0085,FR,electricity,scr2094,dem,44.562846307090624
h0086,FR,electricity,scr2094,dem,44.18860199721978
h0087,FR,electricity,scr2094,dem,39.17800502012385
h0088,FR,electricity,scr2094,dem,38.36873522492655
h0089,FR,electricity,scr2094,dem,34.45264923352575
h0090,FR,electricity,scr2094,dem,37.7717552233114
h0091,FR,electricity,scr2094,dem,37.50886791037425
h0092,FR,electricity,scr2094,dem,42.13499001973993
h0093,FR,electricity,scr2094,dem,42.87543364712526
h0094,FR,electricity,scr2094,dem,40.2867874488406
h0095,FR,electricity,scr2094,dem,38.80071149521892
