timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0040,DE,electricity,scr2008,dem,106.36407883527538
h0041,DE,electricity,scr2008,dem,103.86997439098529
h0042,DE,electricity,scr2008,dem,97.46787969441412
h0043,DE,electricity,scr2008,dem,77.78584615865067
h0044,DE,electricity,scr2008,dem,60.32812286081381
h0045,DE,electricity,scr2008,dem,59.86832390070228
h0046,DE,electricity,scr2008,dem,53.267210126678236
h0047,DE,electricity,scr2008,dem,56.06999162259186
h0048,DE,electricity,scr2008,dem,50.29970196903221
h0049,DE,electricity,scr2008,dem,49.898775169028525
h0050,DE,electricity,scr2008,dem,44.9773238373062
h0051,DE,electricity,scr2008,dem,39.28014204220318
h0052,DE,electricity,scr2008,dem,37.60181658291815
h0053,DE,electricity,scr2008,dem,33.7875224774286
h0054,DE,electricity,scr2008,dem,39.43809265538981
h0055,DE,electricity,scr2008,dem,38.97959433805677
h0056,DE,electricity,scr2008,dem,50.219241494724116
h0057,DE,electricity,scr2008,dem,57.52785576565877
h0058,DE,electricity,scr2008,dem,66.83482317775872
h0059,DE,electricity,scr2008,dem,69.31487472076506
h0060,DE,electricity,scr2008,dem,62.68357860202127
h0061,DE,electricity,scr2008,dem,64.08379104438814
h0062,DE,electricity,scr2008,dem,57.84497236607794
h0063,DE,electricity,scr2008,dem,65.08400385216515
h0064,DE,electricity,scr2008,dem,62.6297190497782
h0065,DE,electricity,scr2008,dem,66.84956025186382
h0066,DE,electricity,scr2008,dem,65.38645980766519
h0067,DE,electricity,scr2008,dem,58.67344006028182
h0068,DE,electricity,scr2008,dem,57.863112995154495
h0069,DE,electricity,scr2008,dem,51.151796928961815
h0070,DE,electricity,scr2008,dem,55.16599287939333
h0071,DE,electricity,scr2008,dem,50.95797207814287
h0072,DE,electricity,scr2008,dem,50.95629339775982
h0073,DE,electricity,scr2008,dem,46.13504254852465
h0074,DE,electricity,scr2008,dem,39.98798235508319
h0075,DE,electricity,scr2008,dem,37.80441646075842
h0076,DE,electricity,scr2008,dem,33.49091816469768
h0077,DE,electricity,scr2008,dem,36.48886039138869
h0078,DE,electricity,scr2008,dem,36.26245278546232
h0079,DE,electricity,scr2008,dem,44.926424703520496
h0080,DE,electricity,scr2008,dem,52.283237569340244
h0081,DE,electricity,scr2008,dem,61.76445579145084
h0082,DE,electricity,scr2008,dem,66.45882506503119
h0083,DE,electricity,scr2008,dem,60.76134427353567
h0084,DE,electricity,scr2008,dem,63.59223505558609
h0085,DE,electricity,scr2008,dem,59.20973469423406
h0086,DE,electricity,scr2008,dem,68.44049299701507
h0087,DE,electricity,scr2008,dem,66.19378849747501
h0088,DE,electricity,scr2008,dem,70.64006533777064
h0089,DE,electricity,scr2008,dem,68.9669465061921
h0090,DE,electricity,scr2008,dem,65.6866599341183
h0091,DE,electricity,scr2008,dem,68.67293188335233
h0092,DE,electricity,scr2008,dem,81.53652110802521
h0093,DE,electricity,scr2008,dem,98.64358525070595
h0094,DE,electricity,scr2008,dem,95.54050335459944
h0095,DE,electricity,scr2008,dem,82.69992361173644
h0096,DE,electricity,scr2008,dem,69.3355771332234
h0001,FR,electricity,scr2008,dem,122.16136125810706
h0002,FR,electricity,scr2008,dem,137.36038751756746
h0003,FR,electricity,scr2008,dem,143.79062693240024
h0004,FR,electricity,scr2008,dem,149.86022979917698
h0005,FR,electricity,scr2008,dem,145.4463312105106
h0006,FR,electricity,scr2008,dem,152.5322871486263
h0007,FR,electricity,scr2008,dem,144.96444449499847
h0008,FR,electricity,scr2008,dem,139.75213083778394
h0009,FR,electricity,scr2008,dem,126.41312850737614
