timestep_2,region_4,technology_3,parameter,value,source,see heatInputs
2020,03ES,gasEngineProLow,capaConvResi,0.14976,,
2025,03ES,gasEngineProLow,capaConvResi,0.1248,,
2030,03ES,gasEngineProLow,capaConvResi,0.09984,,
2035,03ES,gasEngineProLow,capaConvResi,0.07488,,
2040,03ES,gasEngineProLow,capaConvResi,0.04992,,
2045,03ES,gasEngineProLow,capaConvResi,0.02496,,
2020,03ES,oilBoilerProLow,capaConvResi,0.01394,,
2025,03ES,oilBoilerProLow,capaConvResi,0.01162,,
2030,03ES,oilBoilerProLow,capaConvResi,0.00929,,
2035,03ES,oilBoilerProLow,capaConvResi,0.00697,,
2040,03ES,oilBoilerProLow,capaConvResi,0.00464,,
2045,03ES,oilBoilerProLow,capaConvResi,0.00232,,
2020,03ES,oilPlantProLowStock,capaConvResi,0.01029,,
2025,03ES,oilPlantProLowStock,capaConvResi,0.00857,,
2030,03ES,oilPlantProLowStock,capaConvResi,0.00686,,
2035,03ES,oilPlantProLowStock,capaConvResi,0.00514,,
2040,03ES,oilPlantProLowStock,capaConvResi,0.00343,,
2045,03ES,oilPlantProLowStock,capaConvResi,0.00171,,
2020,03ES,bioBoilerProMed,capaConvResi,0.01715,,
2025,03ES,bioBoilerProMed,capaConvResi,0.01429,,
2030,03ES,bioBoilerProMed,capaConvResi,0.01143,,
2035,03ES,bioBoilerProMed,capaConvResi,0.00857,,
2040,03ES,bioBoilerProMed,capaConvResi,0.00571,,
2045,03ES,bioBoilerProMed,capaConvResi,0.00285,,
2020,03ES,bioGasEngineProMed,capaConvResi,0.07559,,
2025,03ES,bioGasEngineProMed,capaConvResi,0.06299,,
2030,03ES,bioGasEngineProMed,capaConvResi,0.05039,,
2035,03ES,bioGasEngineProMed,capaConvResi,0.03779,,
2040,03ES,bioGasEngineProMed,capaConvResi,0.02519,,
2045,03ES,bioGasEngineProMed,capaConvResi,0.01259,,
2020,03ES,ccgtGasBackProMed,capaConvResi,0.00724,,
2025,03ES,ccgtGasBackProMed,capaConvResi,0.00603,,
2030,03ES,ccgtGasBackProMed,capaConvResi,0.00482,,
2035,03ES,ccgtGasBackProMed,capaConvResi,0.00362,,
2040,03ES,ccgtGasBackProMed,capaConvResi,0.00241,,
2045,03ES,ccgtGasBackProMed,capaConvResi,0.0012,,
2020,03ES,coalBoilerProMed,capaConvResi,0.00606,,
2025,03ES,coalBoilerProMed,capaConvResi,0.00505,,
2030,03ES,coalBoilerProMed,capaConvResi,0.00404,,
2035,03ES,coalBoilerProMed,capaConvResi,0.00303,,
2040,03ES,coalBoilerProMed,capaConvResi,0.00202,,
2045,03ES,coalBoilerProMed,capaConvResi,0.00101,,
2020,03ES,eBoilerProMed,capaConvResi,0.00911,,
2025,03ES,eBoilerProMed,capaConvResi,0.00759,,
2030,03ES,eBoilerProMed,capaConvResi,0.00607,,
2035,03ES,eBoilerProMed,capaConvResi,0.00455,,
2040,03ES,eBoilerProMed,capaConvResi,0.00303,,
2045,03ES,eBoilerProMed,capaConvResi,0.00151,,
2020,03ES,gasBoilerProMed,capaConvResi,0.04702,,
