timestep_2,region_4,technology_1,technology_2,technology_3,parameter,value
all,01ES,engineMed,,,capaConvUp,0.3524
all,02ES,engineMed,,,capaConvUp,0.3855
all,03ES,engineMed,,,capaConvUp,0.3131
all,04ES,engineMed,,,capaConvUp,0.7461
all,05ES,engineMed,,,capaConvUp,0.3061
all,06ES,engineMed,,,capaConvUp,2.2259
all,07ES,engineMed,,,capaConvUp,0.8993
all,08ES,engineMed,,,capaConvUp,0.2716
all,09ES,engineMed,,,capaConvUp,0.4345
all,10ES,engineMed,,,capaConvUp,0.2495
all,11ES,engineMed,,,capaConvUp,1.5231
all,12PT,engineMed,,,capaConvUp,0.7591
all,13PT,engineMed,,,capaConvUp,0.4014
all,14FR,engineMed,,,capaConvUp,0.1313
all,15FR,engineMed,,,capaConvUp,0.0467
all,16FR,engineMed,,,capaConvUp,0.1058
all,17FR,engineMed,,,capaConvUp,0.1239
all,18FR,engineMed,,,capaConvUp,0.0608
all,19FR,engineMed,,,capaConvUp,0.1032
all,20FR,engineMed,,,capaConvUp,0.084
all,21FR,engineMed,,,capaConvUp,0.1779
all,22FR,engineMed,,,capaConvUp,0.0087
all,23FR,engineMed,,,capaConvUp,0.8237
all,24FR,engineMed,,,capaConvUp,0.0407
all,25FR,engineMed,,,capaConvUp,0.1526
all,26FR,engineMed,,,capaConvUp,0.1536
all,27FR,engineMed,,,capaConvUp,0.0275
all,28BE,engineMed,,,capaConvUp,2.2066
all,29LU,engineMed,,,capaConvUp,0.0227
all,30NL,engineMed,,,capaConvUp,0.4978
all,31DE,engineMed,,,capaConvUp,1.0681
all,32DE,engineMed,,,capaConvUp,0.482
all,33DE,engineMed,,,capaConvUp,1.8195
all,34DE,engineMed,,,capaConvUp,0.811
all,35DE,engineMed,,,capaConvUp,1.2819
all,36DE,engineMed,,,capaConvUp,1.371
all,37DE,engineMed,,,capaConvUp,1.521
all,38DK,engineMed,,,capaConvUp,0.3158
all,39CZ,engineMed,,,capaConvUp,0.6729
all,40CZ,engineMed,,,capaConvUp,0.5737
all,41PL,engineMed,,,capaConvUp,0.7394
all,42PL,engineMed,,,capaConvUp,0.4106
all,43PL,engineMed,,,capaConvUp,0.6546
all,44PL,engineMed,,,capaConvUp,0.7254
all,45PL,engineMed,,,capaConvUp,0.4866
all,46SK,engineMed,,,capaConvUp,0.2914
all,47CH,engineMed,,,capaConvUp,3.3637
all,48CH,engineMed,,,capaConvUp,0.3485
all,49AT,engineMed,,,capaConvUp,0.7688
all,50AT,engineMed,,,capaConvUp,1.4235
all,51AT,engineMed,,,capaConvUp,0.9515
all,52IT,engineMed,,,capaConvUp,1.6018
all,53IT,engineMed,,,capaConvUp,0.2989
all,54IT,engineMed,,,capaConvUp,0.5601
all,55IT,engineMed,,,capaConvUp,0.2145
all,56IT,engineMed,,,capaConvUp,0.1503
all,57SI,engineMed,,,capaConvUp,0.1403
all,58HU,engineMed,,,capaConvUp,0.1551
all,59RO,engineMed,,,capaConvUp,0.1122
all,60RO,engineMed,,,capaConvUp,0.1774
all,61RO,engineMed,,,capaConvUp,0.0813
all,62HR,engineMed,,,capaConvUp,0.1742
all,63BA,engineMed,,,capaConvUp,0.094
all,65RS,engineMed,,,capaConvUp,0.1973
all,66BG,engineMed,,,capaConvUp,0.0878
all,67MK,engineMed,,,capaConvUp,0.0566
all,68GR,engineMed,,,capaConvUp,0.0474
all,69GR,engineMed,,,capaConvUp,0.0854
all,70AL,engineMed,,,capaConvUp,0.0803
all,72DK,engineMed,,,capaConvUp,0.1294
all,73EE,engineMed,,,capaConvUp,0.0454
all,74FI,engineMed,,,capaConvUp,0.4542
all,75FI,engineMed,,,capaConvUp,5.5915
all,77LT,engineMed,,,capaConvUp,0.078
all,78LV,engineMed,,,capaConvUp,0.086
all,79NO,engineMed,,,capaConvUp,0.1412
all,80NO,engineMed,,,capaConvUp,0.3274
all,81NO,engineMed,,,capaConvUp,0.6722
all,82NO,engineMed,,,capaConvUp,1.2725
all,83NO,engineMed,,,capaConvUp,0.3343
all,84NO,engineMed,,,capaConvUp,0.2793
all,85NO,engineMed,,,capaConvUp,0.0405
all,86SE,engineMed,,,capaConvUp,0.131
all,87SE,engineMed,,,capaConvUp,0.8047
all,88SE,engineMed,,,capaConvUp,2.7429
all,89SE,engineMed,,,capaConvUp,0.7468
all,90UK,engineMed,,,capaConvUp,1.2724
all,91UK,engineMed,,,capaConvUp,0.3156
all,92UK,engineMed,,,capaConvUp,1.8529
all,93UK,engineMed,,,capaConvUp,0.5009
all,94UK,engineMed,,,capaConvUp,0.1996
all,95UK,engineMed,,,capaConvUp,0.1509
all,96IE,engineMed,,,capaConvUp,0.458
all,98IT,engineMed,,,capaConvUp,0.0769
