timestep_2,region_4,technology_3,parameter,value,source
2040,02ES,oilPlantProLowStock,capaConvResi,0.00563,
2045,02ES,oilPlantProLowStock,capaConvResi,0.00282,
2020,02ES,bioBoilerProMedStock,capaConvResi,0.00506,
2025,02ES,bioBoilerProMedStock,capaConvResi,0.00422,
2030,02ES,bioBoilerProMedStock,capaConvResi,0.00337,
2035,02ES,bioBoilerProMedStock,capaConvResi,0.00253,
2040,02ES,bioBoilerProMedStock,capaConvResi,0.00169,
2045,02ES,bioBoilerProMedStock,capaConvResi,0.00085,
2020,02ES,bioGasEngineProMedStock,capaConvResi,0.07867,
2025,02ES,bioGasEngineProMedStock,capaConvResi,0.06556,
2030,02ES,bioGasEngineProMedStock,capaConvResi,0.05245,
2035,02ES,bioGasEngineProMedStock,capaConvResi,0.03934,
2040,02ES,bioGasEngineProMedStock,capaConvResi,0.02623,
2045,02ES,bioGasEngineProMedStock,capaConvResi,0.01312,
2020,02ES,ccgtGasBackProMedStock,capaConvResi,0.00906,
2025,02ES,ccgtGasBackProMedStock,capaConvResi,0.00755,
2030,02ES,ccgtGasBackProMedStock,capaConvResi,0.00604,
2035,02ES,ccgtGasBackProMedStock,capaConvResi,0.00453,
2040,02ES,ccgtGasBackProMedStock,capaConvResi,0.00302,
2045,02ES,ccgtGasBackProMedStock,capaConvResi,0.00151,
2020,02ES,coalBoilerProMedStock,capaConvResi,0.01394,
2025,02ES,coalBoilerProMedStock,capaConvResi,0.01162,
2030,02ES,coalBoilerProMedStock,capaConvResi,0.0093,
2035,02ES,coalBoilerProMedStock,capaConvResi,0.00697,
2040,02ES,coalBoilerProMedStock,capaConvResi,0.00465,
2045,02ES,coalBoilerProMedStock,capaConvResi,0.00233,
2020,02ES,eBoilerProMed,capaConvResi,0.01123,
2025,02ES,eBoilerProMed,capaConvResi,0.00936,
2030,02ES,eBoilerProMed,capaConvResi,0.00749,
2035,02ES,eBoilerProMed,capaConvResi,0.00562,
2040,02ES,eBoilerProMed,capaConvResi,0.00375,
2045,02ES,eBoilerProMed,capaConvResi,0.00188,
