timestep_2,carrier_1,region_3,parameter,value,comment,source
2020,industryHeat_low,69GR,capaDem,0.388,,
2020,industryHeat_medium,69GR,capaDem,0.448,,
2020,spaceHeat,69GR,capaDem,10.849,,
2020,industryHeat_high,70AL,capaDem,0.571,,
2020,industryHeat_low,70AL,capaDem,0.321,,
2020,industryHeat_medium,70AL,capaDem,0.451,,
2020,spaceHeat,70AL,capaDem,3.788,,
2020,industryHeat_high,72DK,capaDem,0.086,,
2020,industryHeat_low,72DK,capaDem,0.197,,
2020,industryHeat_medium,72DK,capaDem,0.239,,
2020,spaceHeat,72DK,capaDem,8.677,,
2020,industryHeat_high,73EE,capaDem,0.069,,
2020,industryHeat_low,73EE,capaDem,0.123,,
2020,industryHeat_medium,73EE,capaDem,0.223,,
2020,spaceHeat,73EE,capaDem,4.045,,
2020,industryHeat_high,74FI,capaDem,0.122,,
2020,industryHeat_low,74FI,capaDem,0.239,,
2020,industryHeat_medium,74FI,capaDem,0.377,,
2020,spaceHeat,74FI,capaDem,3.712,,
2020,industryHeat_high,75FI,capaDem,0.901,,
2020,industryHeat_low,75FI,capaDem,3.034,,
2020,industryHeat_medium,75FI,capaDem,4.649,,
2020,spaceHeat,75FI,capaDem,22.913,,
2020,industryHeat_high,77LT,capaDem,0.178,,
2020,industryHeat_low,77LT,capaDem,0.437,,
2020,industryHeat_medium,77LT,capaDem,0.249,,
2020,spaceHeat,77LT,capaDem,5.384,,
2020,industryHeat_high,78LV,capaDem,0.171,,
2020,industryHeat_low,78LV,capaDem,0.2,,
2020,industryHeat_medium,78LV,capaDem,0.46,,
2020,spaceHeat,78LV,capaDem,5.412,,
2020,industryHeat_high,79NO,capaDem,0.014,,
2020,industryHeat_low,79NO,capaDem,0.025,,
2020,industryHeat_medium,79NO,capaDem,0.165,,
2020,spaceHeat,79NO,capaDem,1.313,,
2020,industryHeat_high,80NO,capaDem,0.033,,
2020,industryHeat_low,80NO,capaDem,0.06,,
2020,industryHeat_medium,80NO,capaDem,0.389,,
2020,spaceHeat,80NO,capaDem,3.048,,
2020,industryHeat_high,81NO,capaDem,0.067,,
2020,industryHeat_low,81NO,capaDem,0.124,,
2020,industryHeat_medium,81NO,capaDem,0.795,,
2020,spaceHeat,81NO,capaDem,4.738,,
2020,industryHeat_high,82NO,capaDem,0.127,,
2020,industryHeat_low,82NO,capaDem,0.235,,
2020,industryHeat_medium,82NO,capaDem,1.506,,
2020,spaceHeat,82NO,capaDem,8.111,,
2020,industryHeat_high,83NO,capaDem,0.033,,
2020,industryHeat_low,83NO,capaDem,0.062,,
2020,industryHeat_medium,83NO,capaDem,0.397,,
2020,spaceHeat,83NO,capaDem,2.516,,
2020,industryHeat_high,84NO,capaDem,0.028,,
2020,industryHeat_low,84NO,capaDem,0.052,,
2020,industryHeat_medium,84NO,capaDem,0.332,,
2020,spaceHeat,84NO,capaDem,2.401,,
2020,industryHeat_high,85NO,capaDem,0.001,,
2020,industryHeat_low,85NO,capaDem,0.004,,
2020,industryHeat_medium,85NO,capaDem,0.046,,
2020,spaceHeat,85NO,capaDem,0.334,,
2020,industryHeat_high,86SE,capaDem,0.033,,
2020,industryHeat_low,86SE,capaDem,0.037,,
2020,industryHeat_medium,86SE,capaDem,0.178,,
2020,spaceHeat,86SE,capaDem,1.448,,
2020,industryHeat_high,87SE,capaDem,0.161,,
2020,industryHeat_low,87SE,capaDem,0.208,,
2020,industryHeat_medium,87SE,capaDem,1.101,,
2020,spaceHeat,87SE,capaDem,4.588,,
2020,industryHeat_high,88SE,capaDem,0.774,,
2020,industryHeat_low,88SE,capaDem,0.931,,
2020,industryHeat_medium,88SE,capaDem,3.753,,
