timestep_2,technology_3,region_4,parameter_1,value_1,parameter_2,value_2,comment
2040,districtHeatSpace_b,59RO,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,59RO,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,60RO,shareExpOutUp,0.327414023,costExpConv,1346.237694,
2040,districtHeatSpace_b,60RO,shareExpOutUp,0.021556432,costExpConv,1052.385391,
2040,districtHeatSpace_c,60RO,shareExpOutUp,0.066981928,costExpConv,1489.271342,
2040,districtHeatSpace_a,61RO,shareExpOutUp,0.010912299,costExpConv,1003.96035,
2040,districtHeatSpace_b,61RO,shareExpOutUp,0.199207944,costExpConv,1406.99869,
2040,districtHeatSpace_c,61RO,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,62HR,shareExpOutUp,0.143142486,costExpConv,1491.920445,
2040,districtHeatSpace_b,62HR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,62HR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,66BG,shareExpOutUp,0.057588811,costExpConv,1115.353405,
2040,districtHeatSpace_b,66BG,shareExpOutUp,0.290313681,costExpConv,1305.903117,
2040,districtHeatSpace_c,66BG,shareExpOutUp,0.103871161,costExpConv,1670.826794,
2040,districtHeatSpace_a,68GR,shareExpOutUp,0.18344997,costExpConv,1570.238849,
2040,districtHeatSpace_b,68GR,shareExpOutUp,0.000519578,costExpConv,675.0406956,
2040,districtHeatSpace_c,68GR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,69GR,shareExpOutUp,0.205068568,costExpConv,1252.610753,
2040,districtHeatSpace_b,69GR,shareExpOutUp,0.000411908,costExpConv,659.2897886,
2040,districtHeatSpace_c,69GR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,72DK,shareExpOutUp,0.073943214,costExpConv,1653.768754,
2040,districtHeatSpace_b,72DK,shareExpOutUp,0.676384746,costExpConv,1050.989859,
2040,districtHeatSpace_c,72DK,shareExpOutUp,0.141919622,costExpConv,1490.030373,
2040,districtHeatSpace_a,73EE,shareExpOutUp,0.06379131,costExpConv,718.354551,
2040,districtHeatSpace_b,73EE,shareExpOutUp,0.163213223,costExpConv,543.9403033,
2040,districtHeatSpace_c,73EE,shareExpOutUp,0.473979996,costExpConv,347.4370826,
2040,districtHeatSpace_a,74FI,shareExpOutUp,0.549999014,costExpConv,1256.580889,
2040,districtHeatSpace_b,74FI,shareExpOutUp,0.033274779,costExpConv,480.063038,
2040,districtHeatSpace_c,74FI,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,75FI,shareExpOutUp,0.02498686,costExpConv,569.3652738,
2040,districtHeatSpace_b,75FI,shareExpOutUp,0.176556257,costExpConv,1202.562754,
2040,districtHeatSpace_c,75FI,shareExpOutUp,0.618561528,costExpConv,954.4589955,
2040,districtHeatSpace_a,77LT,shareExpOutUp,0.068528513,costExpConv,1178.861436,
2040,districtHeatSpace_b,77LT,shareExpOutUp,0.147402642,costExpConv,957.4459722,
2040,districtHeatSpace_c,77LT,shareExpOutUp,0.546015503,costExpConv,670.6128957,
2040,districtHeatSpace_a,78LV,shareExpOutUp,0.122324053,costExpConv,596.6462979,
2040,districtHeatSpace_b,78LV,shareExpOutUp,0.074344161,costExpConv,769.2120861,
2040,districtHeatSpace_c,78LV,shareExpOutUp,0.454193235,costExpConv,395.3601114,
2040,districtHeatSpace_a,86SE,shareExpOutUp,0.631765712,costExpConv,1339.449244,
2040,districtHeatSpace_b,86SE,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,86SE,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,87SE,shareExpOutUp,0.226634514,costExpConv,1226.412812,
2040,districtHeatSpace_b,87SE,shareExpOutUp,0.425301499,costExpConv,1531.788689,
2040,districtHeatSpace_c,87SE,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,88SE,shareExpOutUp,0.239381129,costExpConv,1277.139317,
2040,districtHeatSpace_b,88SE,shareExpOutUp,0.135635067,costExpConv,1502.772839,
2040,districtHeatSpace_c,88SE,shareExpOutUp,0.533724611,costExpConv,987.2939899,
2040,districtHeatSpace_a,89SE,shareExpOutUp,0.139054982,costExpConv,1462.981657,
2040,districtHeatSpace_b,89SE,shareExpOutUp,0.235547213,costExpConv,916.5043633,
2040,districtHeatSpace_c,89SE,shareExpOutUp,0.312892802,costExpConv,1228.529311,
2040,districtHeatSpace_a,96IE,shareExpOutUp,0.007625404,costExpConv,374.0856096,
2040,districtHeatSpace_b,96IE,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,96IE,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,98IT,shareExpOutUp,0.216018194,costExpConv,999.892864,
2040,districtHeatSpace_b,98IT,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,98IT,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,99FR,shareExpOutUp,0.129696671,costExpConv,1334.604881,
2040,districtHeatSpace_b,99FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_c,99FR,shareExpOutUp,0,costExpConv,0,
2040,districtHeatSpace_a,47CH,shareExpOutUp,0.323062053,costExpConv,1159.870296,
2040,districtHeatSpace_a,48CH,shareExpOutUp,0.265731471,costExpConv,1547.491117,
2040,districtHeatSpace_a,63BA,shareExpOutUp,0.45681737,costExpConv,1219.868674,
2040,districtHeatSpace_a,64ME,shareExpOutUp,0.457141707,costExpConv,1188.989868,
2040,districtHeatSpace_a,65RS,shareExpOutUp,0.525226046,costExpConv,1155.363143,
2040,districtHeatSpace_a,67MK,shareExpOutUp,0.594252127,costExpConv,1145.854992,
2040,districtHeatSpace_a,70AL,shareExpOutUp,0.474097025,costExpConv,1145.729852,
2040,districtHeatSpace_a,79NO,shareExpOutUp,0.288810744,costExpConv,1029.679007,
2040,districtHeatSpace_a,80NO,shareExpOutUp,0.288810744,costExpConv,1192.197348,
2040,districtHeatSpace_a,81NO,shareExpOutUp,0.288810744,costExpConv,1296.342163,
2040,districtHeatSpace_a,82NO,shareExpOutUp,0.324314356,costExpConv,1217.572216,
2040,districtHeatSpace_a,83NO,shareExpOutUp,0.107757288,costExpConv,1646.134709,
2040,districtHeatSpace_a,84NO,shareExpOutUp,0.288810744,costExpConv,1422.49558,
2040,districtHeatSpace_a,85NO,shareExpOutUp,0.107757288,costExpConv,2016.382791,
2040,districtHeatSpace_a,90UK,shareExpOutUp,0.374258028,costExpConv,1242.846922,
2040,districtHeatSpace_a,91UK,shareExpOutUp,0.269128403,costExpConv,1308.527214,
2040,districtHeatSpace_a,92UK,shareExpOutUp,0.379370131,costExpConv,1399.27877,
2040,districtHeatSpace_a,93UK,shareExpOutUp,0.33389114,costExpConv,1538.671113,
2040,districtHeatSpace_a,94UK,shareExpOutUp,0.307552038,costExpConv,1661.348919,
2040,districtHeatSpace_a,95UK,shareExpOutUp,0.321281302,costExpConv,1681.719441,
2040,districtHeatSpace_b,47CH,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,48CH,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,63BA,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,64ME,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,65RS,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,67MK,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,70AL,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,79NO,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,80NO,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,81NO,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,82NO,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,83NO,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,84NO,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,85NO,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,90UK,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,91UK,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,92UK,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,93UK,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,94UK,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_b,95UK,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,47CH,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,48CH,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,63BA,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,64ME,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,65RS,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,67MK,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,70AL,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,79NO,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,80NO,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,81NO,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,82NO,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,83NO,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,84NO,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,85NO,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,90UK,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,91UK,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,92UK,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,93UK,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,94UK,shareExpOutFix,0,costExpConv,0,
2040,districtHeatSpace_c,95UK,shareExpOutFix,0,costExpConv,0,
