technology_3,region_2,timestep_2,parameter,value,source
gasBoilerSpace,EE,2035,costOprConv,3.4367,
gasBoilerSpace,EE,2040,costOprConv,3.3711,
gasBoilerSpace,EE,2045,costOprConv,2.669,
gasBoilerSpace,EE,2050,costOprConv,1.9669,
districtHeatSpace,EE,2025,lifeConv,25,
districtHeatSpace,EE,2030,lifeConv,25,
districtHeatSpace,EE,2035,lifeConv,25,
districtHeatSpace,EE,2040,lifeConv,25,
districtHeatSpace,EE,2045,lifeConv,25,
districtHeatSpace,EE,2050,lifeConv,25,
districtHeatSpace,EE,,effConv,0.9,
districtHeatSpace,EE,2025,costExpConv,57.9015,
districtHeatSpace,EE,2030,costExpConv,56.4586,
districtHeatSpace,EE,2035,costExpConv,54.949,
districtHeatSpace,EE,2040,costExpConv,53.5178,
districtHeatSpace,EE,2045,costExpConv,52.1546,
districtHeatSpace,EE,2050,costExpConv,50.7915,
districtHeatSpace,EE,2025,costOprConv,0.7547,
districtHeatSpace,EE,2030,costOprConv,0.7619,
districtHeatSpace,EE,2035,costOprConv,0.7453,
districtHeatSpace,EE,2040,costOprConv,0.7296,
districtHeatSpace,EE,2045,costOprConv,0.7152,
districtHeatSpace,EE,2050,costOprConv,0.7009,
bioBoilerSpace,EE,2025,lifeConv,20,
bioBoilerSpace,EE,2030,lifeConv,20,
bioBoilerSpace,EE,2035,lifeConv,20,
bioBoilerSpace,EE,2040,lifeConv,20,
bioBoilerSpace,EE,2045,lifeConv,20,
bioBoilerSpace,EE,2050,lifeConv,20,
bioBoilerSpace,EE,,effConv,0.891,
bioBoilerSpace,EE,2025,costExpConv,232.4102,
bioBoilerSpace,EE,2030,costExpConv,233.8318,
bioBoilerSpace,EE,2035,costExpConv,228.3424,
bioBoilerSpace,EE,2040,costExpConv,223.181,
bioBoilerSpace,EE,2045,costExpConv,222.6337,
bioBoilerSpace,EE,2050,costExpConv,222.0864,
bioBoilerSpace,EE,2025,costOprConv,7.1064,
bioBoilerSpace,EE,2030,costOprConv,7.2556,
bioBoilerSpace,EE,2035,costOprConv,7.1469,
bioBoilerSpace,EE,2040,costOprConv,7.0476,
bioBoilerSpace,EE,2045,costOprConv,7.2844,
bioBoilerSpace,EE,2050,costOprConv,7.5211,
heatpumpAirSpace,EE,2025,lifeConv,19.5256,
heatpumpAirSpace,EE,2030,lifeConv,19.5256,
heatpumpAirSpace,EE,2035,lifeConv,19.5256,
heatpumpAirSpace,EE,2040,lifeConv,19.5256,
heatpumpAirSpace,EE,2045,lifeConv,19.5256,
heatpumpAirSpace,EE,2050,lifeConv,19.5256,
heatpumpAirSpace,EE,2025,costExpConv,2212.4942,
heatpumpAirSpace,EE,2030,costExpConv,2063.2062,
heatpumpAirSpace,EE,2035,costExpConv,2007.4848,
heatpumpAirSpace,EE,2040,costExpConv,1951.5698,
heatpumpAirSpace,EE,2045,costExpConv,1880.7098,
heatpumpAirSpace,EE,2050,costExpConv,1809.8498,
heatpumpAirSpace,EE,2025,costOprConv,43.5176,
heatpumpAirSpace,EE,2030,costOprConv,45.0925,
heatpumpAirSpace,EE,2035,costOprConv,45.6759,
heatpumpAirSpace,EE,2040,costOprConv,46.2869,
heatpumpAirSpace,EE,2045,costOprConv,46.7073,
heatpumpAirSpace,EE,2050,costOprConv,47.1276,
heatpumpGroundSpace,EE,2025,lifeConv,20,
heatpumpGroundSpace,EE,2030,lifeConv,20,
heatpumpGroundSpace,EE,2035,lifeConv,20,
heatpumpGroundSpace,EE,2040,lifeConv,20,
heatpumpGroundSpace,EE,2045,lifeConv,20,
heatpumpGroundSpace,EE,2050,lifeConv,20,
heatpumpGroundSpace,EE,2025,costExpConv,2545.4716,
heatpumpGroundSpace,EE,2030,costExpConv,2433.3774,
heatpumpGroundSpace,EE,2035,costExpConv,2401.953,
heatpumpGroundSpace,EE,2040,costExpConv,2370.422,
heatpumpGroundSpace,EE,2045,costExpConv,2308.1938,
heatpumpGroundSpace,EE,2050,costExpConv,2245.9656,
heatpumpGroundSpace,EE,2025,costOprConv,33.5994,
heatpumpGroundSpace,EE,2030,costOprConv,34.1844,
heatpumpGroundSpace,EE,2035,costOprConv,34.4393,
heatpumpGroundSpace,EE,2040,costOprConv,34.7268,
heatpumpGroundSpace,EE,2045,costOprConv,34.6442,
heatpumpGroundSpace,EE,2050,costOprConv,34.5616,
solarThermalResi_b,EE,2025,lifeConv,25,
solarThermalResi_b,EE,2030,lifeConv,30,
solarThermalResi_b,EE,2035,lifeConv,30,
solarThermalResi_b,EE,2040,lifeConv,30,
solarThermalResi_b,EE,2045,lifeConv,30,
solarThermalResi_b,EE,2050,lifeConv,30,
solarThermalResi_b,EE,2025,costExpConv,1717.2782,
solarThermalResi_b,EE,2030,costExpConv,1640.6841,
solarThermalResi_b,EE,2035,costExpConv,1607.8575,
solarThermalResi_b,EE,2040,costExpConv,1568.8658,
solarThermalResi_b,EE,2045,costExpConv,1529.941,
solarThermalResi_b,EE,2050,costExpConv,1491.0161,
solarThermalResi_b,EE,2025,costOprConv,10.1643,
solarThermalResi_b,EE,2030,costOprConv,10.386,
solarThermalResi_b,EE,2035,costOprConv,10.2719,
solarThermalResi_b,EE,2040,costOprConv,10.1191,
solarThermalResi_b,EE,2045,costOprConv,9.8659,
solarThermalResi_b,EE,2050,costOprConv,9.6128,
resistiveHeatSpace,EE,2025,lifeConv,30,
resistiveHeatSpace,EE,2030,lifeConv,30,
resistiveHeatSpace,EE,2035,lifeConv,30,
resistiveHeatSpace,EE,2040,lifeConv,30,
resistiveHeatSpace,EE,2045,lifeConv,30,
resistiveHeatSpace,EE,2050,lifeConv,30,
resistiveHeatSpace,EE,,effConv,1,
resistiveHeatSpace,EE,2025,costExpConv,693.1624,
resistiveHeatSpace,EE,2030,costExpConv,676.0058,
resistiveHeatSpace,EE,2035,costExpConv,659.4809,
resistiveHeatSpace,EE,2040,costExpConv,642.9559,
resistiveHeatSpace,EE,2045,costExpConv,627.2389,
resistiveHeatSpace,EE,2050,costExpConv,611.5219,
resistiveHeatSpace,EE,2025,costOprConv,1.208,
resistiveHeatSpace,EE,2030,costOprConv,1.1629,
resistiveHeatSpace,EE,2035,costOprConv,1.1376,
resistiveHeatSpace,EE,2040,costOprConv,1.1123,
resistiveHeatSpace,EE,2045,costOprConv,1.0871,
resistiveHeatSpace,EE,2050,costOprConv,1.0618,
gasBoilerSpace,ES,2025,lifeConv,23.2955,
gasBoilerSpace,ES,2030,lifeConv,23.2955,
gasBoilerSpace,ES,2035,lifeConv,23.2955,
gasBoilerSpace,ES,2040,lifeConv,23.2955,
gasBoilerSpace,ES,2045,lifeConv,23.2955,
gasBoilerSpace,ES,2050,lifeConv,23.2955,
gasBoilerSpace,ES,,effConv,1.0051,
gasBoilerSpace,ES,2025,costExpConv,138.0124,
gasBoilerSpace,ES,2030,costExpConv,135.6525,
gasBoilerSpace,ES,2035,costExpConv,133.2155,
gasBoilerSpace,ES,2040,costExpConv,130.7016,
gasBoilerSpace,ES,2045,costExpConv,127.6588,
gasBoilerSpace,ES,2050,costExpConv,124.616,
gasBoilerSpace,ES,2025,costOprConv,5.6677,
gasBoilerSpace,ES,2030,costOprConv,5.6638,
gasBoilerSpace,ES,2035,costOprConv,5.5475,
gasBoilerSpace,ES,2040,costOprConv,5.4283,
gasBoilerSpace,ES,2045,costOprConv,4.933,
gasBoilerSpace,ES,2050,costOprConv,4.4376,
districtHeatSpace,ES,2025,lifeConv,25,
districtHeatSpace,ES,2030,lifeConv,25,
districtHeatSpace,ES,2035,lifeConv,25,
districtHeatSpace,ES,2040,lifeConv,25,
districtHeatSpace,ES,2045,lifeConv,25,
districtHeatSpace,ES,2050,lifeConv,25,
districtHeatSpace,ES,,effConv,0.9,
districtHeatSpace,ES,2025,costExpConv,84.653,
districtHeatSpace,ES,2030,costExpConv,82.5124,
districtHeatSpace,ES,2035,costExpConv,80.3056,
districtHeatSpace,ES,2040,costExpConv,78.0789,
districtHeatSpace,ES,2045,costExpConv,75.9905,
districtHeatSpace,ES,2050,costExpConv,73.9022,
districtHeatSpace,ES,2025,costOprConv,1.3975,
districtHeatSpace,ES,2030,costOprConv,1.4216,
districtHeatSpace,ES,2035,costOprConv,1.3974,
districtHeatSpace,ES,2040,costOprConv,1.3729,
districtHeatSpace,ES,2045,costOprConv,1.3477,
districtHeatSpace,ES,2050,costOprConv,1.3226,
bioBoilerSpace,ES,2025,lifeConv,20,
bioBoilerSpace,ES,2030,lifeConv,20,
bioBoilerSpace,ES,2035,lifeConv,20,
bioBoilerSpace,ES,2040,lifeConv,20,
bioBoilerSpace,ES,2045,lifeConv,20,
bioBoilerSpace,ES,2050,lifeConv,20,
bioBoilerSpace,ES,,effConv,0.8863,
bioBoilerSpace,ES,2025,costExpConv,264.7162,
bioBoilerSpace,ES,2030,costExpConv,265.5169,
bioBoilerSpace,ES,2035,costExpConv,260.6794,
bioBoilerSpace,ES,2040,costExpConv,255.7088,
bioBoilerSpace,ES,2045,costExpConv,265.834,
bioBoilerSpace,ES,2050,costExpConv,275.9591,
bioBoilerSpace,ES,2025,costOprConv,12.9032,
bioBoilerSpace,ES,2030,costOprConv,13.0859,
bioBoilerSpace,ES,2035,costOprConv,12.9352,
bioBoilerSpace,ES,2040,costOprConv,12.7791,
bioBoilerSpace,ES,2045,costOprConv,13.7947,
bioBoilerSpace,ES,2050,costOprConv,14.8104,
heatpumpAirSpace,ES,2025,lifeConv,18.6364,
heatpumpAirSpace,ES,2030,lifeConv,18.6364,
heatpumpAirSpace,ES,2035,lifeConv,18.6364,
heatpumpAirSpace,ES,2040,lifeConv,18.6364,
heatpumpAirSpace,ES,2045,lifeConv,18.6364,
heatpumpAirSpace,ES,2050,lifeConv,18.6364,
heatpumpAirSpace,ES,2025,costExpConv,2837.8617,
heatpumpAirSpace,ES,2030,costExpConv,2679.8674,
heatpumpAirSpace,ES,2035,costExpConv,2618.2706,
heatpumpAirSpace,ES,2040,costExpConv,2557.1878,
heatpumpAirSpace,ES,2045,costExpConv,2475.4798,
heatpumpAirSpace,ES,2050,costExpConv,2393.7718,
heatpumpAirSpace,ES,2025,costOprConv,58.8983,
heatpumpAirSpace,ES,2030,costOprConv,60.9429,
heatpumpAirSpace,ES,2035,costOprConv,61.6246,
heatpumpAirSpace,ES,2040,costOprConv,62.2913,
heatpumpAirSpace,ES,2045,costOprConv,62.6201,
heatpumpAirSpace,ES,2050,costOprConv,62.9488,
heatpumpGroundSpace,ES,2025,lifeConv,20,
heatpumpGroundSpace,ES,2030,lifeConv,20,
heatpumpGroundSpace,ES,2035,lifeConv,20,
heatpumpGroundSpace,ES,2040,lifeConv,20,
heatpumpGroundSpace,ES,2045,lifeConv,20,
heatpumpGroundSpace,ES,2050,lifeConv,20,
heatpumpGroundSpace,ES,2025,costExpConv,3654.8049,
heatpumpGroundSpace,ES,2030,costExpConv,3525.2057,
heatpumpGroundSpace,ES,2035,costExpConv,3491.6479,
heatpumpGroundSpace,ES,2040,costExpConv,3458.4666,
heatpumpGroundSpace,ES,2045,costExpConv,3375.8346,
heatpumpGroundSpace,ES,2050,costExpConv,3293.2027,
heatpumpGroundSpace,ES,2025,costOprConv,50.5594,
heatpumpGroundSpace,ES,2030,costOprConv,51.289,
heatpumpGroundSpace,ES,2035,costOprConv,51.6507,
heatpumpGroundSpace,ES,2040,costOprConv,51.9906,
heatpumpGroundSpace,ES,2045,costOprConv,51.6535,
heatpumpGroundSpace,ES,2050,costOprConv,51.3164,
solarThermalResi_b,ES,2025,lifeConv,25,
solarThermalResi_b,ES,2030,lifeConv,30,
solarThermalResi_b,ES,2035,lifeConv,30,
solarThermalResi_b,ES,2040,lifeConv,30,
solarThermalResi_b,ES,2045,lifeConv,30,
solarThermalResi_b,ES,2050,lifeConv,30,
solarThermalResi_b,ES,2025,costExpConv,1644.8898,
solarThermalResi_b,ES,2030,costExpConv,1574.453,
solarThermalResi_b,ES,2035,costExpConv,1534.8861,
solarThermalResi_b,ES,2040,costExpConv,1497.5507,
solarThermalResi_b,ES,2045,costExpConv,1460.4452,
solarThermalResi_b,ES,2050,costExpConv,1423.3397,
solarThermalResi_b,ES,2025,costOprConv,10.6403,
solarThermalResi_b,ES,2030,costOprConv,10.7687,
solarThermalResi_b,ES,2035,costOprConv,10.5754,
solarThermalResi_b,ES,2040,costOprConv,10.3981,
solarThermalResi_b,ES,2045,costOprConv,10.1297,
solarThermalResi_b,ES,2050,costOprConv,9.8614,
resistiveHeatSpace,ES,2025,lifeConv,30,
resistiveHeatSpace,ES,2030,lifeConv,30,
resistiveHeatSpace,ES,2035,lifeConv,30,
resistiveHeatSpace,ES,2040,lifeConv,30,
resistiveHeatSpace,ES,2045,lifeConv,30,
resistiveHeatSpace,ES,2050,lifeConv,30,
resistiveHeatSpace,ES,,effConv,1,
resistiveHeatSpace,ES,2025,costExpConv,738.9704,
resistiveHeatSpace,ES,2030,costExpConv,720.68,
resistiveHeatSpace,ES,2035,costExpConv,703.063,
resistiveHeatSpace,ES,2040,costExpConv,685.446,
resistiveHeatSpace,ES,2045,costExpConv,668.6904,
resistiveHeatSpace,ES,2050,costExpConv,651.9347,
resistiveHeatSpace,ES,2025,costOprConv,2.9209,
resistiveHeatSpace,ES,2030,costOprConv,2.8031,
resistiveHeatSpace,ES,2035,costOprConv,2.7422,
resistiveHeatSpace,ES,2040,costOprConv,2.6813,
resistiveHeatSpace,ES,2045,costOprConv,2.6203,
resistiveHeatSpace,ES,2050,costOprConv,2.5594,
gasBoilerSpace,FI,2025,lifeConv,23.4917,
gasBoilerSpace,FI,2030,lifeConv,23.4917,
gasBoilerSpace,FI,2035,lifeConv,23.4917,
gasBoilerSpace,FI,2040,lifeConv,23.4917,
gasBoilerSpace,FI,2045,lifeConv,23.4917,
gasBoilerSpace,FI,2050,lifeConv,23.4917,
gasBoilerSpace,FI,,effConv,1.0063,
gasBoilerSpace,FI,2025,costExpConv,137.8367,
gasBoilerSpace,FI,2030,costExpConv,135.3608,
gasBoilerSpace,FI,2035,costExpConv,133.006,
gasBoilerSpace,FI,2040,costExpConv,130.4779,
gasBoilerSpace,FI,2045,costExpConv,127.4239,
gasBoilerSpace,FI,2050,costExpConv,124.3699,
gasBoilerSpace,FI,2025,costOprConv,5.4828,
gasBoilerSpace,FI,2030,costOprConv,5.4751,
gasBoilerSpace,FI,2035,costOprConv,5.3685,
gasBoilerSpace,FI,2040,costOprConv,5.2557,
gasBoilerSpace,FI,2045,costOprConv,4.6558,
gasBoilerSpace,FI,2050,costOprConv,4.0558,
districtHeatSpace,FI,2025,lifeConv,25,
districtHeatSpace,FI,2030,lifeConv,25,
districtHeatSpace,FI,2035,lifeConv,25,
districtHeatSpace,FI,2040,lifeConv,25,
districtHeatSpace,FI,2045,lifeConv,25,
districtHeatSpace,FI,2050,lifeConv,25,
districtHeatSpace,FI,,effConv,0.9,
districtHeatSpace,FI,2025,costExpConv,81.3334,
districtHeatSpace,FI,2030,costExpConv,79.2944,
districtHeatSpace,FI,2035,costExpConv,77.2669,
districtHeatSpace,FI,2040,costExpConv,75.1911,
districtHeatSpace,FI,2045,costExpConv,73.2127,
districtHeatSpace,FI,2050,costExpConv,71.2343,
districtHeatSpace,FI,2025,costOprConv,1.315,
districtHeatSpace,FI,2030,costOprConv,1.3303,
districtHeatSpace,FI,2035,costOprConv,1.3062,
districtHeatSpace,FI,2040,costOprConv,1.2813,
districtHeatSpace,FI,2045,costOprConv,1.2559,
districtHeatSpace,FI,2050,costOprConv,1.2305,
bioBoilerSpace,FI,2025,lifeConv,20,
bioBoilerSpace,FI,2030,lifeConv,20,
bioBoilerSpace,FI,2035,lifeConv,20,
bioBoilerSpace,FI,2040,lifeConv,20,
bioBoilerSpace,FI,2045,lifeConv,20,
bioBoilerSpace,FI,2050,lifeConv,20,
bioBoilerSpace,FI,,effConv,0.8848,
bioBoilerSpace,FI,2025,costExpConv,268.5004,
bioBoilerSpace,FI,2030,costExpConv,269.272,
bioBoilerSpace,FI,2035,costExpConv,264.3607,
bioBoilerSpace,FI,2040,costExpConv,259.1599,
bioBoilerSpace,FI,2045,costExpConv,265.3708,
bioBoilerSpace,FI,2050,costExpConv,271.5817,
bioBoilerSpace,FI,2025,costOprConv,12.2684,
bioBoilerSpace,FI,2030,costOprConv,12.4324,
bioBoilerSpace,FI,2035,costOprConv,12.2915,
bioBoilerSpace,FI,2040,costOprConv,12.1397,
bioBoilerSpace,FI,2045,costOprConv,12.8677,
bioBoilerSpace,FI,2050,costOprConv,13.5956,
heatpumpAirSpace,FI,2025,lifeConv,18.7934,
heatpumpAirSpace,FI,2030,lifeConv,18.7934,
heatpumpAirSpace,FI,2035,lifeConv,18.7934,
heatpumpAirSpace,FI,2040,lifeConv,18.7934,
heatpumpAirSpace,FI,2045,lifeConv,18.7934,
heatpumpAirSpace,FI,2050,lifeConv,18.7934,
heatpumpAirSpace,FI,2025,costExpConv,2687.6142,
heatpumpAirSpace,FI,2030,costExpConv,2534.2679,
heatpumpAirSpace,FI,2035,costExpConv,2475.3462,
heatpumpAirSpace,FI,2040,costExpConv,2417.3586,
heatpumpAirSpace,FI,2045,costExpConv,2339.117,
heatpumpAirSpace,FI,2050,costExpConv,2260.8755,
heatpumpAirSpace,FI,2025,costOprConv,57.2535,
heatpumpAirSpace,FI,2030,costOprConv,59.1997,
heatpumpAirSpace,FI,2035,costOprConv,59.886,
heatpumpAirSpace,FI,2040,costOprConv,60.5414,
heatpumpAirSpace,FI,2045,costOprConv,60.8539,
heatpumpAirSpace,FI,2050,costOprConv,61.1664,
heatpumpGroundSpace,FI,2025,lifeConv,20,
heatpumpGroundSpace,FI,2030,lifeConv,20,
heatpumpGroundSpace,FI,2035,lifeConv,20,
heatpumpGroundSpace,FI,2040,lifeConv,20,
heatpumpGroundSpace,FI,2045,lifeConv,20,
heatpumpGroundSpace,FI,2050,lifeConv,20,
heatpumpGroundSpace,FI,2025,costExpConv,3430.6301,
heatpumpGroundSpace,FI,2030,costExpConv,3305.5362,
heatpumpGroundSpace,FI,2035,costExpConv,3272.631,
heatpumpGroundSpace,FI,2040,costExpConv,3240.404,
heatpumpGroundSpace,FI,2045,costExpConv,3167.3124,
heatpumpGroundSpace,FI,2050,costExpConv,3094.2208,
heatpumpGroundSpace,FI,2025,costOprConv,49.0832,
heatpumpGroundSpace,FI,2030,costOprConv,49.8099,
heatpumpGroundSpace,FI,2035,costOprConv,50.1894,
heatpumpGroundSpace,FI,2040,costOprConv,50.5253,
heatpumpGroundSpace,FI,2045,costOprConv,50.3196,
heatpumpGroundSpace,FI,2050,costOprConv,50.1139,
solarThermalResi_b,FI,2025,lifeConv,25,
solarThermalResi_b,FI,2030,lifeConv,30,
solarThermalResi_b,FI,2035,lifeConv,30,
solarThermalResi_b,FI,2040,lifeConv,30,
solarThermalResi_b,FI,2045,lifeConv,30,
solarThermalResi_b,FI,2050,lifeConv,30,
solarThermalResi_b,FI,2025,costExpConv,1494.7184,
solarThermalResi_b,FI,2030,costExpConv,1429.731,
solarThermalResi_b,FI,2035,costExpConv,1390.9482,
solarThermalResi_b,FI,2040,costExpConv,1357.1372,
solarThermalResi_b,FI,2045,costExpConv,1323.4971,
solarThermalResi_b,FI,2050,costExpConv,1289.8571,
solarThermalResi_b,FI,2025,costOprConv,9.4216,
solarThermalResi_b,FI,2030,costOprConv,9.573,
solarThermalResi_b,FI,2035,costOprConv,9.3856,
solarThermalResi_b,FI,2040,costOprConv,9.2329,
solarThermalResi_b,FI,2045,costOprConv,9.0001,
solarThermalResi_b,FI,2050,costOprConv,8.7673,
resistiveHeatSpace,FI,2025,lifeConv,30,
resistiveHeatSpace,FI,2030,lifeConv,30,
resistiveHeatSpace,FI,2035,lifeConv,30,
resistiveHeatSpace,FI,2040,lifeConv,30,
resistiveHeatSpace,FI,2045,lifeConv,30,
resistiveHeatSpace,FI,2050,lifeConv,30,
resistiveHeatSpace,FI,,effConv,1,
resistiveHeatSpace,FI,2025,costExpConv,730.8841,
resistiveHeatSpace,FI,2030,costExpConv,712.7938,
resistiveHeatSpace,FI,2035,costExpConv,695.3696,
resistiveHeatSpace,FI,2040,costExpConv,677.9454,
resistiveHeatSpace,FI,2045,costExpConv,661.3731,
resistiveHeatSpace,FI,2050,costExpConv,644.8008,
resistiveHeatSpace,FI,2025,costOprConv,2.6185,
resistiveHeatSpace,FI,2030,costOprConv,2.5136,
resistiveHeatSpace,FI,2035,costOprConv,2.459,
resistiveHeatSpace,FI,2040,costOprConv,2.4043,
resistiveHeatSpace,FI,2045,costOprConv,2.3497,
resistiveHeatSpace,FI,2050,costOprConv,2.295,
gasBoilerSpace,FR,2025,lifeConv,23.9165,
gasBoilerSpace,FR,2030,lifeConv,23.9165,
gasBoilerSpace,FR,2035,lifeConv,23.9165,
gasBoilerSpace,FR,2040,lifeConv,23.9165,
gasBoilerSpace,FR,2045,lifeConv,23.9165,
gasBoilerSpace,FR,2050,lifeConv,23.9165,
gasBoilerSpace,FR,,effConv,1.009,
gasBoilerSpace,FR,2025,costExpConv,127.1685,
gasBoilerSpace,FR,2030,costExpConv,124.7321,
gasBoilerSpace,FR,2035,costExpConv,122.6254,
gasBoilerSpace,FR,2040,costExpConv,120.3034,
gasBoilerSpace,FR,2045,costExpConv,117.4985,
gasBoilerSpace,FR,2050,costExpConv,114.6936,
gasBoilerSpace,FR,2025,costOprConv,4.7236,
gasBoilerSpace,FR,2030,costOprConv,4.7108,
gasBoilerSpace,FR,2035,costOprConv,4.6251,
gasBoilerSpace,FR,2040,costOprConv,4.5318,
gasBoilerSpace,FR,2045,costOprConv,3.8306,
gasBoilerSpace,FR,2050,costOprConv,3.1293,
districtHeatSpace,FR,2025,lifeConv,25,
districtHeatSpace,FR,2030,lifeConv,25,
districtHeatSpace,FR,2035,lifeConv,25,
districtHeatSpace,FR,2040,lifeConv,25,
districtHeatSpace,FR,2045,lifeConv,25,
districtHeatSpace,FR,2050,lifeConv,25,
districtHeatSpace,FR,,effConv,0.9,
districtHeatSpace,FR,2025,costExpConv,71.7844,
districtHeatSpace,FR,2030,costExpConv,69.9948,
districtHeatSpace,FR,2035,costExpConv,68.2719,
districtHeatSpace,FR,2040,costExpConv,66.4809,
districtHeatSpace,FR,2045,costExpConv,64.7625,
districtHeatSpace,FR,2050,costExpConv,63.0441,
districtHeatSpace,FR,2025,costOprConv,1.0759,
districtHeatSpace,FR,2030,costOprConv,1.085,
districtHeatSpace,FR,2035,costOprConv,1.0641,
districtHeatSpace,FR,2040,costOprConv,1.0423,
districtHeatSpace,FR,2045,costOprConv,1.0211,
districtHeatSpace,FR,2050,costOprConv,1,
bioBoilerSpace,FR,2025,lifeConv,20,
bioBoilerSpace,FR,2030,lifeConv,20,
bioBoilerSpace,FR,2035,lifeConv,20,
bioBoilerSpace,FR,2040,lifeConv,20,
bioBoilerSpace,FR,2045,lifeConv,20,
bioBoilerSpace,FR,2050,lifeConv,20,
bioBoilerSpace,FR,,effConv,0.8867,
bioBoilerSpace,FR,2025,costExpConv,258.2977,
bioBoilerSpace,FR,2030,costExpConv,259.3349,
bioBoilerSpace,FR,2035,costExpConv,254.3374,
bioBoilerSpace,FR,2040,costExpConv,249.0037,
bioBoilerSpace,FR,2045,costExpConv,251.1472,
bioBoilerSpace,FR,2050,costExpConv,253.2907,
bioBoilerSpace,FR,2025,costOprConv,10.0946,
bioBoilerSpace,FR,2030,costOprConv,10.2478,
bioBoilerSpace,FR,2035,costOprConv,10.1276,
bioBoilerSpace,FR,2040,costOprConv,9.9963,
bioBoilerSpace,FR,2045,costOprConv,10.4311,
bioBoilerSpace,FR,2050,costOprConv,10.8659,
heatpumpAirSpace,FR,2025,lifeConv,19.1332,
heatpumpAirSpace,FR,2030,lifeConv,19.1332,
heatpumpAirSpace,FR,2035,lifeConv,19.1332,
heatpumpAirSpace,FR,2040,lifeConv,19.1332,
heatpumpAirSpace,FR,2045,lifeConv,19.1332,
heatpumpAirSpace,FR,2050,lifeConv,19.1332,
heatpumpAirSpace,FR,2025,costExpConv,2453.5555,
heatpumpAirSpace,FR,2030,costExpConv,2302.3544,
heatpumpAirSpace,FR,2035,costExpConv,2245.5653,
heatpumpAirSpace,FR,2040,costExpConv,2189.4278,
heatpumpAirSpace,FR,2045,costExpConv,2114.8516,
heatpumpAirSpace,FR,2050,costExpConv,2040.2754,
heatpumpAirSpace,FR,2025,costOprConv,51.5265,
heatpumpAirSpace,FR,2030,costOprConv,53.2826,
heatpumpAirSpace,FR,2035,costOprConv,53.9494,
heatpumpAirSpace,FR,2040,costOprConv,54.5839,
heatpumpAirSpace,FR,2045,costOprConv,54.9244,
heatpumpAirSpace,FR,2050,costOprConv,55.2649,
heatpumpGroundSpace,FR,2025,lifeConv,20,
heatpumpGroundSpace,FR,2030,lifeConv,20,
heatpumpGroundSpace,FR,2035,lifeConv,20,
heatpumpGroundSpace,FR,2040,lifeConv,20,
heatpumpGroundSpace,FR,2045,lifeConv,20,
heatpumpGroundSpace,FR,2050,lifeConv,20,
heatpumpGroundSpace,FR,2025,costExpConv,3009.8314,
heatpumpGroundSpace,FR,2030,costExpConv,2891.4151,
heatpumpGroundSpace,FR,2035,costExpConv,2859.4109,
heatpumpGroundSpace,FR,2040,costExpConv,2827.8627,
heatpumpGroundSpace,FR,2045,costExpConv,2763.0652,
heatpumpGroundSpace,FR,2050,costExpConv,2698.2678,
heatpumpGroundSpace,FR,2025,costOprConv,42.7167,
heatpumpGroundSpace,FR,2030,costOprConv,43.39,
heatpumpGroundSpace,FR,2035,costOprConv,43.7478,
heatpumpGroundSpace,FR,2040,costOprConv,44.0634,
heatpumpGroundSpace,FR,2045,costOprConv,43.9619,
heatpumpGroundSpace,FR,2050,costOprConv,43.8604,
solarThermalResi_b,FR,2025,lifeConv,25,
solarThermalResi_b,FR,2030,lifeConv,30,
solarThermalResi_b,FR,2035,lifeConv,30,
solarThermalResi_b,FR,2040,lifeConv,30,
solarThermalResi_b,FR,2045,lifeConv,30,
solarThermalResi_b,FR,2050,lifeConv,30,
solarThermalResi_b,FR,2025,costExpConv,1476.3034,
solarThermalResi_b,FR,2030,costExpConv,1411.0782,
solarThermalResi_b,FR,2035,costExpConv,1371.7336,
solarThermalResi_b,FR,2040,costExpConv,1338.4298,
solarThermalResi_b,FR,2045,costExpConv,1305.2357,
solarThermalResi_b,FR,2050,costExpConv,1272.0417,
solarThermalResi_b,FR,2025,costOprConv,8.9902,
solarThermalResi_b,FR,2030,costOprConv,9.1749,
solarThermalResi_b,FR,2035,costOprConv,8.9947,
solarThermalResi_b,FR,2040,costOprConv,8.8545,
solarThermalResi_b,FR,2045,costOprConv,8.6348,
solarThermalResi_b,FR,2050,costOprConv,8.415,
resistiveHeatSpace,FR,2025,lifeConv,30,
resistiveHeatSpace,FR,2030,lifeConv,30,
resistiveHeatSpace,FR,2035,lifeConv,30,
resistiveHeatSpace,FR,2040,lifeConv,30,
resistiveHeatSpace,FR,2045,lifeConv,30,
resistiveHeatSpace,FR,2050,lifeConv,30,
resistiveHeatSpace,FR,,effConv,1,
resistiveHeatSpace,FR,2025,costExpConv,713.3773,
resistiveHeatSpace,FR,2030,costExpConv,695.7203,
resistiveHeatSpace,FR,2035,costExpConv,678.7135,
resistiveHeatSpace,FR,2040,costExpConv,661.7067,
resistiveHeatSpace,FR,2045,costExpConv,645.5313,
resistiveHeatSpace,FR,2050,costExpConv,629.3559,
resistiveHeatSpace,FR,2025,costOprConv,1.9639,
resistiveHeatSpace,FR,2030,costOprConv,1.8867,
resistiveHeatSpace,FR,2035,costOprConv,1.8457,
resistiveHeatSpace,FR,2040,costOprConv,1.8047,
resistiveHeatSpace,FR,2045,costOprConv,1.7637,
resistiveHeatSpace,FR,2050,costOprConv,1.7227,
