region_4,technology_3,carrier_1,parameter,value,source
14FR,gasEngineProLowStock,,effConv,1.045,
14FR,oilBoilerProLowStock,,effConv,0.964166667,
14FR,hardcoalPlantProLowStock,,effConv,0.85,
14FR,oilPlantProLowStock,,effConv,0.775,
14FR,bioBoilerProMedStock,,effConv,0.98,
14FR,bioGasEngineProMedStock,,effConv,0.875,
14FR,ccgtGasBackProMedStock,,effConv,0.99,
14FR,coalBoilerProMedStock,,effConv,0.7,
14FR,eBoilerProMed,,effConv,0.930833333,
14FR,gasBoilerProMedStock,,effConv,0.7,
14FR,gasEngineProMedStock,,effConv,1.045,
14FR,oilBoilerProMedStock,,effConv,0.954166667,
14FR,hardcoalPlantProMedStock,,effConv,0.85,
14FR,oilPlantProMedStock,,effConv,0.846002329,
14FR,districtHeatSpace,,effConv,0.8,
14FR,bioBoilerSpaceStock,,effConv,0.622687077,
14FR,gasBoilerSpaceStock,,effConv,0.957726617,
14FR,oilLiquidBoilerSpaceStock,,effConv,0.72,
14FR,resistiveHeatSpaceStock,,effConv,0.94,
14FR,coalBoilerSpaceStock,,effConv,0.98,
15FR,coalBoilerProHighStock,,effConv,0.7,
15FR,eBoilerProHigh,,effConv,1,
15FR,gasBoilerProHighStock,,effConv,0.7,
15FR,oilBoilerProHighStock,,effConv,0.98,
15FR,bioBoilerProLowStock,,effConv,0.7,
15FR,ccgtGasBackProLowStock,,effConv,0.99,
15FR,coalBoilerProLowStock,,effConv,0.7,
15FR,districtHeatPro,,effConv,0.8,
15FR,gasBoilerProLowStock,,effConv,0.7,
15FR,eBoilerProLow,,effConv,0.99,
15FR,gasEngineProLowStock,,effConv,1.045,
15FR,oilBoilerProLowStock,,effConv,0.964166667,
15FR,hardcoalPlantProLowStock,,effConv,0.85,
15FR,oilPlantProLowStock,,effConv,0.775,
15FR,bioBoilerProMedStock,,effConv,0.98,
15FR,bioGasEngineProMedStock,,effConv,0.875,
15FR,ccgtGasBackProMedStock,,effConv,0.99,
15FR,coalBoilerProMedStock,,effConv,0.7,
15FR,eBoilerProMed,,effConv,0.930833333,
15FR,gasBoilerProMedStock,,effConv,0.7,
15FR,gasEngineProMedStock,,effConv,1.045,
15FR,oilBoilerProMedStock,,effConv,0.954166667,
15FR,hardcoalPlantProMedStock,,effConv,0.85,
15FR,oilPlantProMedStock,,effConv,0.846002329,
15FR,districtHeatSpace,,effConv,0.8,
15FR,bioBoilerSpaceStock,,effConv,0.622687077,
15FR,gasBoilerSpaceStock,,effConv,0.957726617,
15FR,oilLiquidBoilerSpaceStock,,effConv,0.72,
