region_4,region_4,exchange,timestep_2,distance,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
34DE,44PL,h2Grid,,320.0532054,lossExc,0.01095,,,,
35DE,36DE,h2Grid,,205.7224337,lossExc,0.00704,,,,
35DE,37DE,h2Grid,,239.1816951,lossExc,0.00818,,,,
36DE,37DE,h2Grid,,130.8050302,lossExc,0.00448,,,,
36DE,47CH,h2Grid,,186.4672776,lossExc,0.00638,,,,
37DE,39CZ,h2Grid,,275.0259717,lossExc,0.00941,,,,
37DE,49AT,h2Grid,,221.307682,lossExc,0.00757,,,,
37DE,50AT,h2Grid,,313.9276745,lossExc,0.01074,,,,
38DK,72DK,h2Grid,,167.5531634,lossExc,0.00573,,,,
38DK,79NO,h2Grid,,355.3083325,lossExc,0.01216,,,,
39CZ,40CZ,h2Grid,,161.3899853,lossExc,0.00552,,,,
39CZ,44PL,h2Grid,,299.0205021,lossExc,0.01023,,,,
39CZ,50AT,h2Grid,,265.1770555,lossExc,0.00907,,,,
39CZ,51AT,h2Grid,,240.6050618,lossExc,0.00823,,,,
40CZ,43PL,h2Grid,,198.2194216,lossExc,0.00678,,,,
40CZ,44PL,h2Grid,,307.4527343,lossExc,0.01052,,,,
40CZ,46SK,h2Grid,,241.4773941,lossExc,0.00826,,,,
40CZ,51AT,h2Grid,,190.3007039,lossExc,0.00651,,,,
41PL,42PL,h2Grid,,182.7117625,lossExc,0.00625,,,,
41PL,43PL,h2Grid,,254.8828619,lossExc,0.00872,,,,
41PL,44PL,h2Grid,,290.4179975,lossExc,0.00994,,,,
41PL,45PL,h2Grid,,191.6378897,lossExc,0.00656,,,,
41PL,77LT,h2Grid,,391.6990835,lossExc,0.0134,,,,
42PL,43PL,h2Grid,,204.0086329,lossExc,0.00698,,,,
42PL,46SK,h2Grid,,284.4793059,lossExc,0.00973,,,,
43PL,44PL,h2Grid,,314.4017133,lossExc,0.01076,,,,
43PL,46SK,h2Grid,,162.0806534,lossExc,0.00555,,,,
44PL,45PL,h2Grid,,177.8765898,lossExc,0.00609,,,,
45PL,89SE,h2Grid,,436.2471423,lossExc,0.01493,,,,
46SK,51AT,h2Grid,,299.9877939,lossExc,0.01026,,,,
46SK,58HU,h2Grid,,170.5101981,lossExc,0.00583,,,,
47CH,48CH,h2Grid,,87.07522215,lossExc,0.00298,,,,
47CH,49AT,h2Grid,,302.6629821,lossExc,0.01036,,,,
48CH,49AT,h2Grid,,284.6385828,lossExc,0.00974,,,,
48CH,52IT,h2Grid,,165.0064056,lossExc,0.00565,,,,
49AT,50AT,h2Grid,,183.7739861,lossExc,0.00629,,,,
49AT,52IT,h2Grid,,254.2385298,lossExc,0.0087,,,,
49AT,57SI,h2Grid,,257.6799814,lossExc,0.00882,,,,
50AT,51AT,h2Grid,,110.4340475,lossExc,0.00378,,,,
50AT,57SI,h2Grid,,173.90792,lossExc,0.00595,,,,
51AT,58HU,h2Grid,,268.6601374,lossExc,0.00919,,,,
52IT,53IT,h2Grid,,258.4434312,lossExc,0.00884,,,,
52IT,57SI,h2Grid,,384.7714797,lossExc,0.01316,,,,
53IT,54IT,h2Grid,,275.9884204,lossExc,0.00944,,,,
53IT,99FR,h2Grid,,231.5665447,lossExc,0.00792,,,,
54IT,55IT,h2Grid,,221.6828076,lossExc,0.00758,,,,
54IT,63BA,h2Grid,,438.3305188,lossExc,0.015,,,,
55IT,56IT,h2Grid,,366.763383,lossExc,0.01255,,,,
55IT,70AL,h2Grid,,331.7180726,lossExc,0.01135,,,,
57SI,58HU,h2Grid,,354.8803177,lossExc,0.01214,,,,
57SI,62HR,h2Grid,,191.9854066,lossExc,0.00657,,,,
58HU,59RO,h2Grid,,342.2285586,lossExc,0.01171,,,,
58HU,62HR,h2Grid,,410.210311,lossExc,0.01404,,,,
58HU,65RS,h2Grid,,344.7495811,lossExc,0.0118,,,,
59RO,60RO,h2Grid,,180.938072,lossExc,0.00619,,,,
59RO,61RO,h2Grid,,271.7883694,lossExc,0.0093,,,,
59RO,65RS,h2Grid,,334.276949,lossExc,0.01144,,,,
60RO,61RO,h2Grid,,278.5523998,lossExc,0.00953,,,,
60RO,65RS,h2Grid,,296.3440868,lossExc,0.01014,,,,
60RO,66BG,h2Grid,,274.3865886,lossExc,0.00939,,,,
61RO,66BG,h2Grid,,445.5747307,lossExc,0.01525,,,,
62HR,63BA,h2Grid,,149.466972,lossExc,0.00511,,,,
62HR,65RS,h2Grid,,366.385259,lossExc,0.01254,,,,
63BA,64ME,h2Grid,,197.9540359,lossExc,0.00677,,,,
63BA,65RS,h2Grid,,219.6491038,lossExc,0.00752,,,,
64ME,65RS,h2Grid,,205.4702611,lossExc,0.00703,,,,
64ME,70AL,h2Grid,,189.3868667,lossExc,0.00648,,,,
65RS,66BG,h2Grid,,432.5493662,lossExc,0.0148,,,,
65RS,67MK,h2Grid,,310.3195234,lossExc,0.01062,,,,
65RS,70AL,h2Grid,,355.6206255,lossExc,0.01217,,,,
66BG,67MK,h2Grid,,315.2859964,lossExc,0.01079,,,,
66BG,68GR,h2Grid,,393.8604482,lossExc,0.01348,,,,
67MK,68GR,h2Grid,,181.6802457,lossExc,0.00622,,,,
67MK,70AL,h2Grid,,150.5136201,lossExc,0.00515,,,,
68GR,69GR,h2Grid,,338.6194346,lossExc,0.01159,,,,
68GR,70AL,h2Grid,,206.9275499,lossExc,0.00708,,,,
72DK,89SE,h2Grid,,164.6954858,lossExc,0.00563,,,,
73EE,75FI,h2Grid,,378.2993726,lossExc,0.01294,,,,
73EE,78LV,h2Grid,,199.7861262,lossExc,0.00684,,,,
74FI,75FI,h2Grid,,530.9718836,lossExc,0.01817,,,,
74FI,85NO,h2Grid,,410.6501244,lossExc,0.01405,,,,
74FI,86SE,h2Grid,,263.980813,lossExc,0.00903,,,,
77LT,78LV,h2Grid,,203.5679618,lossExc,0.00696,,,,
79NO,80NO,h2Grid,,177.2002144,lossExc,0.00606,,,,
79NO,81NO,h2Grid,,230.4470793,lossExc,0.00788,,,,
80NO,81NO,h2Grid,,251.4648622,lossExc,0.0086,,,,
80NO,82NO,h2Grid,,223.0004002,lossExc,0.00763,,,,
81NO,82NO,h2Grid,,239.1201576,lossExc,0.00818,,,,
81NO,83NO,h2Grid,,271.6692295,lossExc,0.00929,,,,
82NO,83NO,h2Grid,,241.2628238,lossExc,0.00825,,,,
82NO,88SE,h2Grid,,320.1586636,lossExc,0.01095,,,,
83NO,84NO,h2Grid,,572.1602243,lossExc,0.01958,,,,
83NO,87SE,h2Grid,,429.6816884,lossExc,0.0147,,,,
84NO,85NO,h2Grid,,553.241949,lossExc,0.01893,,,,
84NO,86SE,h2Grid,,270.774259,lossExc,0.00926,,,,
84NO,87SE,h2Grid,,420.1019246,lossExc,0.01437,,,,
86SE,87SE,h2Grid,,412.9328247,lossExc,0.01413,,,,
87SE,88SE,h2Grid,,503.9427541,lossExc,0.01724,,,,
88SE,89SE,h2Grid,,336.7014957,lossExc,0.01152,,,,
90UK,91UK,h2Grid,,269.9501434,lossExc,0.00924,,,,
90UK,92UK,h2Grid,,246.9479978,lossExc,0.00845,,,,
91UK,92UK,h2Grid,,211.0090985,lossExc,0.00722,,,,
92UK,93UK,h2Grid,,246.8552468,lossExc,0.00845,,,,
93UK,94UK,h2Grid,,351.7016062,lossExc,0.01203,,,,
93UK,95UK,h2Grid,,242.5576461,lossExc,0.0083,,,,
95UK,96IE,h2Grid,,195.1596407,lossExc,0.00668,,,,
98IT,99FR,h2Grid,,205.638573,lossExc,0.00704,,,,
,,h2Grid,2040,,lifeExc,50,,,,
