timestep_3,region_1,scenario_1,technology_1,parameter,value
h0244,FR,s1998,solar,avaConv,0.0
h0245,FR,s1998,solar,avaConv,0.0
h0246,FR,s1998,solar,avaConv,0.0
h0247,FR,s1998,solar,avaConv,9.97023197498446e-7
h0248,FR,s1998,solar,avaConv,0.00565049371418966
h0249,FR,s1998,solar,avaConv,0.049911546757885
h0250,FR,s1998,solar,avaConv,0.12374839268033
h0251,FR,s1998,solar,avaConv,0.191332161993361
h0252,FR,s1998,solar,avaConv,0.236554663670933
h0253,FR,s1998,solar,avaConv,0.242138196701139
h0254,FR,s1998,solar,avaConv,0.199831081741838
h0255,FR,s1998,solar,avaConv,0.124379983298983
h0256,FR,s1998,solar,avaConv,0.0393133111928201
h0257,FR,s1998,solar,avaConv,0.000819949369092662
h0258,FR,s1998,solar,avaConv,0.0
h0259,FR,s1998,solar,avaConv,0.0
h0260,FR,s1998,solar,avaConv,0.0
h0261,FR,s1998,solar,avaConv,0.0
h0262,FR,s1998,solar,avaConv,0.0
h0263,FR,s1998,solar,avaConv,0.0
h0264,FR,s1998,solar,avaConv,0.0
h0265,FR,s1998,solar,avaConv,0.0
h0266,FR,s1998,solar,avaConv,0.0
h0267,FR,s1998,solar,avaConv,0.0
h0268,FR,s1998,solar,avaConv,0.0
h0269,FR,s1998,solar,avaConv,0.0
h0270,FR,s1998,solar,avaConv,0.0
h0271,FR,s1998,solar,avaConv,1.12728889984471e-6
h0272,FR,s1998,solar,avaConv,0.00458280122052216
h0273,FR,s1998,solar,avaConv,0.0359381301894674
h0274,FR,s1998,solar,avaConv,0.0851328263003593
h0275,FR,s1998,solar,avaConv,0.14590135812321
h0276,FR,s1998,solar,avaConv,0.185293078430685
h0277,FR,s1998,solar,avaConv,0.186660463498701
h0278,FR,s1998,solar,avaConv,0.146079049269654
h0279,FR,s1998,solar,avaConv,0.086781576282293
h0280,FR,s1998,solar,avaConv,0.0294475149111132
h0281,FR,s1998,solar,avaConv,0.000827519620871627
h0282,FR,s1998,solar,avaConv,0.0
h0283,FR,s1998,solar,avaConv,0.0
h0284,FR,s1998,solar,avaConv,0.0
h0285,FR,s1998,solar,avaConv,0.0
h0286,FR,s1998,solar,avaConv,0.0
h0287,FR,s1998,solar,avaConv,0.0
h0288,FR,s1998,solar,avaConv,0.0
h0289,FR,s1998,solar,avaConv,0.0
h0290,FR,s1998,solar,avaConv,0.0
h0291,FR,s1998,solar,avaConv,0.0
h0292,FR,s1998,solar,avaConv,0.0
