timestep_1,timestep_1,technology_1,technology_2,technology_3,modes,carrier_1,parameter_1,value_1,parameter_2,value_2,source,comment,comparison_source,comparison_value,comparision_comment
,,miscIndHeatHigh,,hydrogenBoiler_ind,,,lifeConv,20,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme),,,
,,miscDistrictHeat,,hydrogenBoiler_dh,,,lifeConv,20,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme),,,
,,miscResiHeating,,hydrogenBoiler_resi,,,lifeConv,20,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme),,,
,,miscIndHeatMed,,hydrogenBoiler_ind_mid,,,costExpConv,641.9,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme); 655 €/kW bezogen auf th. Output; Abweichung +-2%,,,
,,miscIndHeatHigh,,hydrogenBoiler_ind,,,costExpConv,641.9,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme); 655 €/kW bezogen auf th. Output; Abweichung +-2%,,,
,,miscDistrictHeat,,hydrogenBoiler_dh,,,costExpConv,641.9,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme); 655 €/kW bezogen auf th. Output; Abweichung +-2%,,,
,,miscResiHeating,,hydrogenBoiler_resi,,,costExpConv,641.9,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme); 655 €/kW bezogen auf th. Output; Abweichung +-2%,,,
,,miscIndHeatMed,,hydrogenBoiler_ind_mid,,,costOprConv,6.419,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme); 1% Betriebskosten,,,
,,miscIndHeatHigh,,hydrogenBoiler_ind,,,costOprConv,6.419,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme); 1% Betriebskosten,,,
,,miscDistrictHeat,,hydrogenBoiler_dh,,,costOprConv,6.419,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme); 1% Betriebskosten,,,
,,miscResiHeating,,hydrogenBoiler_resi,,,costOprConv,6.419,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Daten für nur eine Technologie (Gasbrennwerttherme); 1% Betriebskosten,,,
,,hydrogenAndMore,,pemElectrolysis,,,effConv,0.7,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",0.7 im Jahr 2050 und 0.65 im Jahr 2020,Dena (2018): dena-Leitstudie. Integrierte Energiewende: Impulse für die Gestaltung des Energiesystems bis 2050. https://www.dena.de/fileadmin/dena/Dokumente/Pdf/9262_dena-Leitstudie_Integrierte_Energiewende_Ergebnisbericht.pdf,0.83,0.82-0.84 2020-2050
all,all(2020:2030,hydrogenAndMore,,pemElectrolysis,,,costExpConv,1344,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","1344 €/kWh bezogen auf el. Input in 2020, Kostenabweichung +/- 30%",,,"2020 800 €/kW, 2050 300-600 €/kW"
all,all(2035:2045),hydrogenAndMore,,pemElectrolysis,,,costExpConv,900,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","interpoliert, Kostenabweichung +/- 30%",,,"2020 800 €/kW, 2050 300-600 €/kW"
all,2050,hydrogenAndMore,,pemElectrolysis,,,costExpConv,500,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","500 €/kWh bezogen auf el. Input in 2020, Kostenabweichung +/- 30%",,,"2020 800 €/kW, 2050 300-600 €/kW"
all,all(2020:2030,hydrogenAndMore,,pemElectrolysis,,,costOprConv,40.32,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Betriebskosten in Anteil Invest.) =3 %,,,5-14 €/kW
all,all(2035:2045),hydrogenAndMore,,pemElectrolysis,,,costOprConv,27,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Betriebskosten in Anteil Invest.) =3 %,,,5-14 €/kW
all,2050,hydrogenAndMore,,pemElectrolysis,,,costOprConv,15,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Betriebskosten in Anteil Invest.) =3 %,,,5-14 €/kW
all,all(2020:2030,hydrogenAndMore,,pemElectrolysis,,,lifeConv,16,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","Lebensdauer in 2050 10 Jahre, in 2020 16 Jahre",,,11-16 Jahre
all,all(2035:2045),hydrogenAndMore,,pemElectrolysis,,,lifeConv,12,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","Lebensdauer in 2050 10 Jahre, in 2020 16 Jahre",,,11-16 Jahre
all,2050,hydrogenAndMore,,pemElectrolysis,,,lifeConv,10,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","Lebensdauer in 2050 10 Jahre, in 2020 16 Jahre",,,11-16 Jahre
all,all(2035:2050),hydrogenAndMore,,fuelCell_dh,,,effConv,0.95,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Annahme der reversiblen Festoxid-Brennstoffzelle (Hochtemperatur),,,
all,all(2020:2030),hydrogenAndMore,,fuelCell_dh,,,effConv,0.95,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Annahme der reversiblen Festoxid-Brennstoffzelle (Hochtemperatur),,,
all,all(2035:2050),hydrogenAndMore,,fuelCell_dh,,electricty,ratioGenFix,0.736842105,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Annahme der reversiblen Festoxid-Brennstoffzelle (Hochtemperatur); nel=0.7; nth=0.25,,,
all,all(2020:2030),hydrogenAndMore,,fuelCell_dh,,electricty,ratioGenFix,0.705263158,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","Annahme der reversiblen Festoxid-Brennstoffzelle (Hochtemperatur), nel=0.67, nth=0.28",,,
all,all(2020:2030,hydrogenAndMore,,fuelCell_dh,,,costExpConv,2281.35,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","Annahme der reversiblen Festoxid-Brennstoffzelle (Hochtemperatur),3405 €/kW in 2020 bezogenauf elek. Output und 1000 €/kW in 2050, Kostenabweichung +/- 20 %",,,
all,all(2035:2045),hydrogenAndMore,,fuelCell_dh,,,costExpConv,1340,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","Annahme der reversiblen Festoxid-Brennstoffzelle (Hochtemperatur),3405 €/kW in 2020 bezogenauf elek. Output und 1000 €/kW in 2050, Kostenabweichung +/- 20 %",,,
all,2050,hydrogenAndMore,,fuelCell_dh,,,costExpConv,670,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","Annahme der reversiblen Festoxid-Brennstoffzelle (Hochtemperatur),3405 €/kW in 2020 bezogenauf elek. Output und 1000 €/kW in 2050, Kostenabweichung +/- 20 %",,,
all,all(2020:2030,hydrogenAndMore,,fuelCell_dh,,,costOprConv,136.881,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Betriebskosten entsprechen 6 % der Investkosten,,,
all,all(2035:2045),hydrogenAndMore,,fuelCell_dh,,,costOprConv,80.4,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Betriebskosten entsprechen 6 % der Investkosten,,,
all,2050,hydrogenAndMore,,fuelCell_dh,,,costOprConv,40.2,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Betriebskosten entsprechen 6 % der Investkosten,,,
,,hydrogenAndMore,,fuelCell_dh,,,lifeConv,20,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",,,,
,,hydrogenAndMore,,fuelCell_resi,,,effConv,0.51,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",kein thermischer Output angegeben,,,
all,all(2020:2030,hydrogenAndMore,,fuelCell_resi,,,costExpConv,1186.77,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","2327 €/kW in 2020, 1210 €/kW in 2050 bezogen auf elek. Output, Kostenabweichung 4 %",,,
all,all(2035:2045),hydrogenAndMore,,fuelCell_resi,,,costExpConv,901.935,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","2327 €/kW in 2020, 1210 €/kW in 2050 bezogen auf elek. Output, Kostenabweichung 4 %",,,
all,2050,hydrogenAndMore,,fuelCell_resi,,,costExpConv,617.1,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf","2327 €/kW in 2020, 1210 €/kW in 2050 bezogen auf elek. Output, Kostenabweichung 4 %",,,
all,all(2020:2030,hydrogenAndMore,,fuelCell_resi,,,costOprConv,11.8677,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Betriebskosten in Anteil der Investitionskosten: 1%,,,
all,all(2035:2045),hydrogenAndMore,,fuelCell_resi,,,costOprConv,9.01935,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Betriebskosten in Anteil der Investitionskosten: 1%,,,
all,2050,hydrogenAndMore,,fuelCell_resi,,,costOprConv,6.171,,,"Robinius, M., et al. (2020): Wege für die Energiewende. Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050. https://juser.fz-juelich.de/record/877960/files/Energie_Umwelt_499.pdf",Betriebskosten in Anteil der Investitionskosten: 1%,,,
