timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0386,FR,s2012,electricity,dem,70.4702682959355
h0387,FR,s2012,electricity,dem,67.7139935706608
h0388,FR,s2012,electricity,dem,66.728328735496
h0389,FR,s2012,electricity,dem,68.5973562080234
h0390,FR,s2012,electricity,dem,72.8664056585729
h0391,FR,s2012,electricity,dem,77.3249111530784
h0392,FR,s2012,electricity,dem,79.3301309332982
h0393,FR,s2012,electricity,dem,80.4802408234081
h0394,FR,s2012,electricity,dem,80.7071364278036
h0395,FR,s2012,electricity,dem,80.7856254387927
h0396,FR,s2012,electricity,dem,80.8484825816498
h0397,FR,s2012,electricity,dem,79.1190649992322
h0398,FR,s2012,electricity,dem,77.0431584058256
h0399,FR,s2012,electricity,dem,75.056317746485
h0400,FR,s2012,electricity,dem,74.4958342300015
h0401,FR,s2012,electricity,dem,76.8436474168147
h0402,FR,s2012,electricity,dem,81.1143122519795
h0403,FR,s2012,electricity,dem,82.0247792849465
h0404,FR,s2012,electricity,dem,78.7221364278037
h0405,FR,s2012,electricity,dem,75.3859496146168
h0406,FR,s2012,electricity,dem,75.7766913728586
h0407,FR,s2012,electricity,dem,76.8732682959356
h0408,FR,s2012,electricity,dem,74.1914660981334
h0409,FR,s2012,electricity,dem,68.0916161565476
h0410,FR,s2012,electricity,dem,66.6022040686355
h0411,FR,s2012,electricity,dem,63.8459293433608
h0412,FR,s2012,electricity,dem,62.860264508196
h0413,FR,s2012,electricity,dem,64.7292919807234
h0414,FR,s2012,electricity,dem,68.9983414312729
h0415,FR,s2012,electricity,dem,73.4568469257784
h0416,FR,s2012,electricity,dem,75.4620667059982
h0417,FR,s2012,electricity,dem,76.6121765961081
h0418,FR,s2012,electricity,dem,76.8390722005036
h0419,FR,s2012,electricity,dem,76.9175612114927
h0420,FR,s2012,electricity,dem,76.9804183543498
h0421,FR,s2012,electricity,dem,75.2510007719322
h0422,FR,s2012,electricity,dem,73.1750941785256
h0423,FR,s2012,electricity,dem,71.188253519185
h0424,FR,s2012,electricity,dem,70.6277700027015
h0425,FR,s2012,electricity,dem,72.9755831895147
h0426,FR,s2012,electricity,dem,77.2462480246795
h0427,FR,s2012,electricity,dem,78.1567150576465
h0428,FR,s2012,electricity,dem,74.8540722005036
h0429,FR,s2012,electricity,dem,71.5178853873168
h0430,FR,s2012,electricity,dem,71.9086271455586
h0431,FR,s2012,electricity,dem,73.0052040686355
h0432,FR,s2012,electricity,dem,70.3234018708334
h0433,FR,s2012,electricity,dem,59.4440755292476
h0434,FR,s2012,electricity,dem,57.9546634413355
h0435,FR,s2012,electricity,dem,55.1983887160608
h0436,FR,s2012,electricity,dem,54.212723880896
h0437,FR,s2012,electricity,dem,56.0817513534234
h0438,FR,s2012,electricity,dem,60.3508008039729
h0439,FR,s2012,electricity,dem,64.8093062984784
h0440,FR,s2012,electricity,dem,66.8145260786982
h0441,FR,s2012,electricity,dem,67.964635968808
h0442,FR,s2012,electricity,dem,68.1915315732036
h0443,FR,s2012,electricity,dem,68.2700205841927
h0444,FR,s2012,electricity,dem,68.3328777270498
h0445,FR,s2012,electricity,dem,66.6034601446322
h0446,FR,s2012,electricity,dem,64.5275535512256
h0447,FR,s2012,electricity,dem,62.540712891885
h0448,FR,s2012,electricity,dem,61.9802293754015
h0449,FR,s2012,electricity,dem,64.3280425622147
h0450,FR,s2012,electricity,dem,68.5987073973795
h0451,FR,s2012,electricity,dem,69.5091744303465
h0452,FR,s2012,electricity,dem,66.2065315732037
h0453,FR,s2012,electricity,dem,62.8703447600168
h0454,FR,s2012,electricity,dem,63.2610865182586
h0455,FR,s2012,electricity,dem,64.3576634413356
h0456,FR,s2012,electricity,dem,61.6758612435334
h0457,FR,s2012,electricity,dem,59.4441077391476
h0458,FR,s2012,electricity,dem,57.9546956512355
h0459,FR,s2012,electricity,dem,55.1984209259608
h0460,FR,s2012,electricity,dem,54.212756090796
h0461,FR,s2012,electricity,dem,56.0817835633234
h0462,FR,s2012,electricity,dem,60.3508330138729
h0463,FR,s2012,electricity,dem,64.8093385083784
h0464,FR,s2012,electricity,dem,66.8145582885982
h0465,FR,s2012,electricity,dem,67.9646681787081
h0466,FR,s2012,electricity,dem,68.1915637831036
h0467,FR,s2012,electricity,dem,68.2700527940927
h0468,FR,s2012,electricity,dem,68.3329099369498
h0469,FR,s2012,electricity,dem,66.6034923545322
h0470,FR,s2012,electricity,dem,64.5275857611256
