timestep_2,region_4,technology_3,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4
all,14FR,bevPsngRoadPub,capaConvResi,1.020519306,capaStInResi,1.020519306,capaStOutResi,1.020519306,capaStSizeResi,5.102596529
all,15FR,bevPsngRoadPub,capaConvResi,0.539541327,capaStInResi,0.539541327,capaStOutResi,0.539541327,capaStSizeResi,2.697706637
all,16FR,bevPsngRoadPub,capaConvResi,0.990239309,capaStInResi,0.990239309,capaStOutResi,0.990239309,capaStSizeResi,4.951196546
all,17FR,bevPsngRoadPub,capaConvResi,0.744137764,capaStInResi,0.744137764,capaStOutResi,0.744137764,capaStSizeResi,3.72068882
all,18FR,bevPsngRoadPub,capaConvResi,0.615681417,capaStInResi,0.615681417,capaStOutResi,0.615681417,capaStSizeResi,3.078407085
all,19FR,bevPsngRoadPub,capaConvResi,0.691271645,capaStInResi,0.691271645,capaStOutResi,0.691271645,capaStSizeResi,3.456358227
all,20FR,bevPsngRoadPub,capaConvResi,0.558679841,capaStInResi,0.558679841,capaStOutResi,0.558679841,capaStSizeResi,2.793399204
all,21FR,bevPsngRoadPub,capaConvResi,0.879915836,capaStInResi,0.879915836,capaStOutResi,0.879915836,capaStSizeResi,4.399579181
all,22FR,bevPsngRoadPub,capaConvResi,0.332197676,capaStInResi,0.332197676,capaStOutResi,0.332197676,capaStSizeResi,1.66098838
all,23FR,bevPsngRoadPub,capaConvResi,1.71391722,capaStInResi,1.71391722,capaStOutResi,1.71391722,capaStSizeResi,8.569586102
all,24FR,bevPsngRoadPub,capaConvResi,0.31233368,capaStInResi,0.31233368,capaStOutResi,0.31233368,capaStSizeResi,1.561668402
all,25FR,bevPsngRoadPub,capaConvResi,0.909188102,capaStInResi,0.909188102,capaStOutResi,0.909188102,capaStSizeResi,4.545940512
all,26FR,bevPsngRoadPub,capaConvResi,1.266102351,capaStInResi,1.266102351,capaStOutResi,1.266102351,capaStSizeResi,6.330511755
all,27FR,bevPsngRoadPub,capaConvResi,0.144902004,capaStInResi,0.144902004,capaStOutResi,0.144902004,capaStSizeResi,0.72451002
