timestep_5,region_4,carrier_1,parameter,value
h0111,03ES,electricity,dem,1.25939260606246
h0112,03ES,electricity,dem,1.12017247453969
h0113,03ES,electricity,dem,1.0766091762137
h0114,03ES,electricity,dem,0.992492698641217
h0115,03ES,electricity,dem,1.17156595263413
h0116,03ES,electricity,dem,1.23813135297585
h0117,03ES,electricity,dem,1.34545625529235
h0118,03ES,electricity,dem,1.30899847204479
h0119,03ES,electricity,dem,1.17164530477041
h0120,03ES,electricity,dem,1.04119264774639
h0001,04ES,electricity,dem,1.874832043255
h0002,04ES,electricity,dem,1.84821819669399
h0003,04ES,electricity,dem,1.73568521519719
h0004,04ES,electricity,dem,1.59175149206559
h0005,04ES,electricity,dem,1.59650297384074
h0006,04ES,electricity,dem,1.59418749905241
h0007,04ES,electricity,dem,1.86956115010855
h0008,04ES,electricity,dem,1.86086622507321
h0009,04ES,electricity,dem,2.34188259568869
h0010,04ES,electricity,dem,2.58609649567622
h0011,04ES,electricity,dem,2.91835083473604
h0012,04ES,electricity,dem,2.92432184567765
h0013,04ES,electricity,dem,2.60954849615777
h0014,04ES,electricity,dem,2.60065188306443
h0015,04ES,electricity,dem,2.38824147232146
h0016,04ES,electricity,dem,2.62804924284717
h0017,04ES,electricity,dem,2.52770261189726
h0018,04ES,electricity,dem,2.64202558705975
h0019,04ES,electricity,dem,2.67372663000924
h0020,04ES,electricity,dem,2.55938081620561
h0021,04ES,electricity,dem,2.69469076390491
h0022,04ES,electricity,dem,2.62336773442701
h0023,04ES,electricity,dem,2.77265087083065
h0024,04ES,electricity,dem,2.55341831879686
h0025,04ES,electricity,dem,2.41710631223111
h0026,04ES,electricity,dem,2.17689235502326
h0027,04ES,electricity,dem,1.90300947054526
h0028,04ES,electricity,dem,1.77245927950191
h0029,04ES,electricity,dem,1.55810237039953
h0030,04ES,electricity,dem,1.63558475247229
h0031,04ES,electricity,dem,1.59032899068181
h0032,04ES,electricity,dem,1.95596482992479
h0033,04ES,electricity,dem,1.89670838080426
h0034,04ES,electricity,dem,1.96281520467248
h0035,04ES,electricity,dem,2.13294243749215
h0036,04ES,electricity,dem,2.2493892032461
h0037,04ES,electricity,dem,2.56702903698089
h0038,04ES,electricity,dem,2.41296422755991
h0039,04ES,electricity,dem,2.63798251811627
h0040,04ES,electricity,dem,2.54623782078137
h0041,04ES,electricity,dem,2.58573125676481
h0042,04ES,electricity,dem,2.56398583235078
h0043,04ES,electricity,dem,2.29912969667644
h0044,04ES,electricity,dem,2.31943264510218
h0045,04ES,electricity,dem,2.14257494578965
h0046,04ES,electricity,dem,2.48139659987167
h0047,04ES,electricity,dem,2.47251348177361
h0048,04ES,electricity,dem,2.53020513924264
h0049,04ES,electricity,dem,2.32915738987179
h0050,04ES,electricity,dem,2.04221562127553
h0051,04ES,electricity,dem,1.8828022704533
h0052,04ES,electricity,dem,1.63726159705194
h0053,04ES,electricity,dem,1.68420200198923
h0054,04ES,electricity,dem,1.61080260769725
h0055,04ES,electricity,dem,1.80994430985887
h0056,04ES,electricity,dem,1.99043738952274
h0057,04ES,electricity,dem,2.25334581779395
h0058,04ES,electricity,dem,2.47375321867414
h0059,04ES,electricity,dem,2.32614239818012
h0060,04ES,electricity,dem,2.44130916280981
h0061,04ES,electricity,dem,2.31388782848735
h0062,04ES,electricity,dem,2.65105441808623
h0063,04ES,electricity,dem,2.6252535915549
h0064,04ES,electricity,dem,2.71650408094392
h0065,04ES,electricity,dem,2.62351831480822
h0066,04ES,electricity,dem,2.25100285513088
h0067,04ES,electricity,dem,2.21485011385435
h0068,04ES,electricity,dem,1.96603552803981
h0069,04ES,electricity,dem,2.29211751953806
h0070,04ES,electricity,dem,2.27475370176249
h0071,04ES,electricity,dem,2.46077016038814
h0072,04ES,electricity,dem,2.36924587516897
h0073,04ES,electricity,dem,2.13514127037982
h0074,04ES,electricity,dem,1.90305174208117
h0075,04ES,electricity,dem,1.61428272372827
h0076,04ES,electricity,dem,1.55789420246682
h0077,04ES,electricity,dem,1.39547796850538
h0078,04ES,electricity,dem,1.51936166713638
h0079,04ES,electricity,dem,1.66371996477775
h0080,04ES,electricity,dem,1.87946960270226
h0081,04ES,electricity,dem,2.16132959598557
h0082,04ES,electricity,dem,2.04498623137059
h0083,04ES,electricity,dem,2.28691972663593
h0084,04ES,electricity,dem,2.20297880020095
h0085,04ES,electricity,dem,2.612886136089
h0086,04ES,electricity,dem,2.62709907240165
h0087,04ES,electricity,dem,2.75943387292071
h0088,04ES,electricity,dem,2.68034656234463
h0089,04ES,electricity,dem,2.32396682205791
h0090,04ES,electricity,dem,2.31405414164547
h0091,04ES,electricity,dem,2.1070256247306
h0092,04ES,electricity,dem,2.43840366581141
h0093,04ES,electricity,dem,2.52656018485432
h0094,04ES,electricity,dem,2.79576358782715
h0095,04ES,electricity,dem,2.76126692647101
h0096,04ES,electricity,dem,2.48301034253153
h0097,04ES,electricity,dem,2.21740607603569
h0098,04ES,electricity,dem,1.91114837318491
h0099,04ES,electricity,dem,1.83752293632742
h0100,04ES,electricity,dem,1.68875169822372
h0101,04ES,electricity,dem,1.6035233294708
h0102,04ES,electricity,dem,1.61627941169295
h0103,04ES,electricity,dem,1.71312967013278
h0104,04ES,electricity,dem,2.07335318958026
h0105,04ES,electricity,dem,1.95812518302537
h0106,04ES,electricity,dem,2.28019768153266
h0107,04ES,electricity,dem,2.2411559836377
h0108,04ES,electricity,dem,2.69424584118299
h0109,04ES,electricity,dem,2.71295957002531
h0110,04ES,electricity,dem,2.85219723406934
h0111,04ES,electricity,dem,2.78650798839822
h0112,04ES,electricity,dem,2.47847218862728
h0113,04ES,electricity,dem,2.38208486810309
h0114,04ES,electricity,dem,2.19597035894737
h0115,04ES,electricity,dem,2.59218441511835
h0116,04ES,electricity,dem,2.73946574653974
h0117,04ES,electricity,dem,2.97693077231437
h0118,04ES,electricity,dem,2.89626497852648
h0119,04ES,electricity,dem,2.5923599881371
h0120,04ES,electricity,dem,2.30372293472312
h0001,05ES,electricity,dem,0.708628202002827
h0002,05ES,electricity,dem,0.698568995736987
h0003,05ES,electricity,dem,0.656035028691254
h0004,05ES,electricity,dem,0.601632557922063
h0005,05ES,electricity,dem,0.603428470254206
h0006,05ES,electricity,dem,0.602553292799275
h0007,05ES,electricity,dem,0.70663596832688
h0008,05ES,electricity,dem,0.703349557089929
h0009,05ES,electricity,dem,0.885158784785537
h0010,05ES,electricity,dem,0.977464043528503
h0011,05ES,electricity,dem,1.10304585003892
h0012,05ES,electricity,dem,1.10530270646663
h0013,05ES,electricity,dem,0.986328170314899
h0014,05ES,electricity,dem,0.982965527264856
h0015,05ES,electricity,dem,0.902680998315724
h0016,05ES,electricity,dem,0.993320877159963
h0017,05ES,electricity,dem,0.955392971605491
h0018,05ES,electricity,dem,0.998603500585123
h0019,05ES,electricity,dem,1.01058550886567
