timestep_3,region_1,scenario_1,technology_1,parameter,value
h0357,NL,s1996,wind,avaConv,0.0911143782538376
h0358,NL,s1996,wind,avaConv,0.0900927012778679
h0359,NL,s1996,wind,avaConv,0.0708597735161452
h0360,NL,s1996,wind,avaConv,0.0557083006557443
h0361,NL,s1996,wind,avaConv,0.0403249758702757
h0362,NL,s1996,wind,avaConv,0.0280665932268238
h0363,NL,s1996,wind,avaConv,0.0232435620779403
h0364,NL,s1996,wind,avaConv,0.0223659341824177
h0365,NL,s1996,wind,avaConv,0.0385739564745217
h0366,NL,s1996,wind,avaConv,0.0493215569020397
h0367,NL,s1996,wind,avaConv,0.0581284178866716
h0368,NL,s1996,wind,avaConv,0.0659292399181135
h0369,NL,s1996,wind,avaConv,0.0796898591533282
h0370,NL,s1996,wind,avaConv,0.086864138269185
h0371,NL,s1996,wind,avaConv,0.0662273748368905
h0372,NL,s1996,wind,avaConv,0.0479276808298185
h0373,NL,s1996,wind,avaConv,0.0303464577344662
h0374,NL,s1996,wind,avaConv,0.0162895897086102
h0375,NL,s1996,wind,avaConv,0.0110939099782527
h0376,NL,s1996,wind,avaConv,0.0124286047560097
h0377,NL,s1996,wind,avaConv,0.0147342856777394
h0378,NL,s1996,wind,avaConv,0.0204787397234025
h0379,NL,s1996,wind,avaConv,0.0275691045340519
h0380,NL,s1996,wind,avaConv,0.0345962347111186
h0381,NL,s1996,wind,avaConv,0.0417339578552847
h0382,NL,s1996,wind,avaConv,0.0476638328637283
h0383,NL,s1996,wind,avaConv,0.0438964077414739
h0384,NL,s1996,wind,avaConv,0.045654833056039
h0385,NL,s1996,wind,avaConv,0.0406666984320365
h0386,NL,s1996,wind,avaConv,0.0371656793779383
h0387,NL,s1996,wind,avaConv,0.0372829694057517
h0388,NL,s1996,wind,avaConv,0.0340247742264525
h0389,NL,s1996,wind,avaConv,0.0431792195351121
h0390,NL,s1996,wind,avaConv,0.0668480781421839
h0391,NL,s1996,wind,avaConv,0.0961493637391068
h0392,NL,s1996,wind,avaConv,0.127495358079785
h0393,NL,s1996,wind,avaConv,0.157325610808321
h0394,NL,s1996,wind,avaConv,0.186345617448948
h0395,NL,s1996,wind,avaConv,0.195984682992078
h0396,NL,s1996,wind,avaConv,0.184674241038614
