timestep_2,region_4,technology_3,carrier_1,parameter,value
2030,92UK,bioPlantStock,,capaConvResi,0.53
2035,92UK,bioPlantStock,,capaConvResi,0.5
2040,92UK,bioPlantStock,,capaConvResi,0.43
2045,92UK,bioPlantStock,,capaConvResi,0.39
2050,92UK,bioPlantStock,,capaConvResi,0.34
2020,93UK,bioPlantStock,,capaConvResi,16.08
2025,93UK,bioPlantStock,,capaConvResi,16.07
2030,93UK,bioPlantStock,,capaConvResi,15.96
2035,93UK,bioPlantStock,,capaConvResi,15.22
2040,93UK,bioPlantStock,,capaConvResi,13.22
2045,93UK,bioPlantStock,,capaConvResi,12.02
2050,93UK,bioPlantStock,,capaConvResi,10.32
2020,94UK,bioPlantStock,,capaConvResi,0.06
2025,94UK,bioPlantStock,,capaConvResi,0.06
2030,94UK,bioPlantStock,,capaConvResi,0.06
2035,94UK,bioPlantStock,,capaConvResi,0.06
2040,94UK,bioPlantStock,,capaConvResi,0.05
2045,94UK,bioPlantStock,,capaConvResi,0.04
2050,94UK,bioPlantStock,,capaConvResi,0.04
2020,01ES,cspOpenspace_a,,capaConvResi,0.02
2025,01ES,cspOpenspace_a,,capaConvResi,0.02
2030,01ES,cspOpenspace_a,,capaConvResi,0.02
2035,01ES,cspOpenspace_a,,capaConvResi,0.02
2040,01ES,cspOpenspace_a,,capaConvResi,0.01
2020,02ES,cspOpenspace_a,,capaConvResi,0.03
2025,02ES,cspOpenspace_a,,capaConvResi,0.03
2030,02ES,cspOpenspace_a,,capaConvResi,0.03
2035,02ES,cspOpenspace_a,,capaConvResi,0.03
2040,02ES,cspOpenspace_a,,capaConvResi,0.02
