timestep_3,region_4,carrier_1,parameter,value
d008,36DE,psngRoadPub,mustOut,0.5444055773782557
d001,37DE,psngRoadPub,mustOut,0.5844037746496814
d002,37DE,psngRoadPub,mustOut,0.5230999582646564
d003,37DE,psngRoadPub,mustOut,0.6314836024999999
d004,37DE,psngRoadPub,mustOut,0.5037631413056586
d005,37DE,psngRoadPub,mustOut,0.5346822701459116
d006,37DE,psngRoadPub,mustOut,0.4682740456565975
d007,37DE,psngRoadPub,mustOut,0.5062205098433871
d008,37DE,psngRoadPub,mustOut,0.5444055773782557
d001,38DK,psngRoadPub,mustOut,0.5844037746496814
d002,38DK,psngRoadPub,mustOut,0.5230999582646564
d003,38DK,psngRoadPub,mustOut,0.6314836024999999
d004,38DK,psngRoadPub,mustOut,0.5037631413056586
d005,38DK,psngRoadPub,mustOut,0.5346822701459116
d006,38DK,psngRoadPub,mustOut,0.4682740456565975
d007,38DK,psngRoadPub,mustOut,0.5062205098433871
d008,38DK,psngRoadPub,mustOut,0.5444055773782557
d001,39CZ,psngRoadPub,mustOut,0.5844037746496814
d002,39CZ,psngRoadPub,mustOut,0.5230999582646564
d003,39CZ,psngRoadPub,mustOut,0.6314836024999999
d004,39CZ,psngRoadPub,mustOut,0.5037631413056586
d005,39CZ,psngRoadPub,mustOut,0.5346822701459116
d006,39CZ,psngRoadPub,mustOut,0.4682740456565975
d007,39CZ,psngRoadPub,mustOut,0.5062205098433871
d008,39CZ,psngRoadPub,mustOut,0.5444055773782557
d001,40CZ,psngRoadPub,mustOut,0.5844037746496814
d002,40CZ,psngRoadPub,mustOut,0.5230999582646564
d003,40CZ,psngRoadPub,mustOut,0.6314836024999999
d004,40CZ,psngRoadPub,mustOut,0.5037631413056586
d005,40CZ,psngRoadPub,mustOut,0.5346822701459116
d006,40CZ,psngRoadPub,mustOut,0.4682740456565975
d007,40CZ,psngRoadPub,mustOut,0.5062205098433871
d008,40CZ,psngRoadPub,mustOut,0.5444055773782557
d001,41PL,psngRoadPub,mustOut,0.5844037746496814
d002,41PL,psngRoadPub,mustOut,0.5230999582646564
d003,41PL,psngRoadPub,mustOut,0.6314836024999999
d004,41PL,psngRoadPub,mustOut,0.5037631413056586
d005,41PL,psngRoadPub,mustOut,0.5346822701459116
d006,41PL,psngRoadPub,mustOut,0.4682740456565975
d007,41PL,psngRoadPub,mustOut,0.5062205098433871
d008,41PL,psngRoadPub,mustOut,0.5444055773782557
d001,42PL,psngRoadPub,mustOut,0.5844037746496814
d002,42PL,psngRoadPub,mustOut,0.5230999582646564
d003,42PL,psngRoadPub,mustOut,0.6314836024999999
d004,42PL,psngRoadPub,mustOut,0.5037631413056586
d005,42PL,psngRoadPub,mustOut,0.5346822701459116
d006,42PL,psngRoadPub,mustOut,0.4682740456565975
d007,42PL,psngRoadPub,mustOut,0.5062205098433871
d008,42PL,psngRoadPub,mustOut,0.5444055773782557
d001,43PL,psngRoadPub,mustOut,0.5844037746496814
d002,43PL,psngRoadPub,mustOut,0.5230999582646564
d003,43PL,psngRoadPub,mustOut,0.6314836024999999
d004,43PL,psngRoadPub,mustOut,0.5037631413056586
d005,43PL,psngRoadPub,mustOut,0.5346822701459116
d006,43PL,psngRoadPub,mustOut,0.4682740456565975
d007,43PL,psngRoadPub,mustOut,0.5062205098433871
d008,43PL,psngRoadPub,mustOut,0.5444055773782557
d001,44PL,psngRoadPub,mustOut,0.5844037746496814
d002,44PL,psngRoadPub,mustOut,0.5230999582646564
d003,44PL,psngRoadPub,mustOut,0.6314836024999999
d004,44PL,psngRoadPub,mustOut,0.5037631413056586
d005,44PL,psngRoadPub,mustOut,0.5346822701459116
d006,44PL,psngRoadPub,mustOut,0.4682740456565975
d007,44PL,psngRoadPub,mustOut,0.5062205098433871
d008,44PL,psngRoadPub,mustOut,0.5444055773782557
d001,45PL,psngRoadPub,mustOut,0.5844037746496814
d002,45PL,psngRoadPub,mustOut,0.5230999582646564
d003,45PL,psngRoadPub,mustOut,0.6314836024999999
d004,45PL,psngRoadPub,mustOut,0.5037631413056586
d005,45PL,psngRoadPub,mustOut,0.5346822701459116
d006,45PL,psngRoadPub,mustOut,0.4682740456565975
d007,45PL,psngRoadPub,mustOut,0.5062205098433871
d008,45PL,psngRoadPub,mustOut,0.5444055773782557
d001,46SK,psngRoadPub,mustOut,0.5844037746496814
d002,46SK,psngRoadPub,mustOut,0.5230999582646564
d003,46SK,psngRoadPub,mustOut,0.6314836024999999
d004,46SK,psngRoadPub,mustOut,0.5037631413056586
d005,46SK,psngRoadPub,mustOut,0.5346822701459116
d006,46SK,psngRoadPub,mustOut,0.4682740456565975
d007,46SK,psngRoadPub,mustOut,0.5062205098433871
d008,46SK,psngRoadPub,mustOut,0.5444055773782557
d001,47CH,psngRoadPub,mustOut,0.5844037746496814
d002,47CH,psngRoadPub,mustOut,0.5230999582646564
d003,47CH,psngRoadPub,mustOut,0.6314836024999999
d004,47CH,psngRoadPub,mustOut,0.5037631413056586
d005,47CH,psngRoadPub,mustOut,0.5346822701459116
d006,47CH,psngRoadPub,mustOut,0.4682740456565975
d007,47CH,psngRoadPub,mustOut,0.5062205098433871
d008,47CH,psngRoadPub,mustOut,0.5444055773782557
d001,48CH,psngRoadPub,mustOut,0.5844037746496814
d002,48CH,psngRoadPub,mustOut,0.5230999582646564
d003,48CH,psngRoadPub,mustOut,0.6314836024999999
d004,48CH,psngRoadPub,mustOut,0.5037631413056586
d005,48CH,psngRoadPub,mustOut,0.5346822701459116
d006,48CH,psngRoadPub,mustOut,0.4682740456565975
d007,48CH,psngRoadPub,mustOut,0.5062205098433871
d008,48CH,psngRoadPub,mustOut,0.5444055773782557
d001,49AT,psngRoadPub,mustOut,0.5844037746496814
d002,49AT,psngRoadPub,mustOut,0.5230999582646564
d003,49AT,psngRoadPub,mustOut,0.6314836024999999
d004,49AT,psngRoadPub,mustOut,0.5037631413056586
d005,49AT,psngRoadPub,mustOut,0.5346822701459116
d006,49AT,psngRoadPub,mustOut,0.4682740456565975
d007,49AT,psngRoadPub,mustOut,0.5062205098433871
d008,49AT,psngRoadPub,mustOut,0.5444055773782557
d001,50AT,psngRoadPub,mustOut,0.5844037746496814
d002,50AT,psngRoadPub,mustOut,0.5230999582646564
d003,50AT,psngRoadPub,mustOut,0.6314836024999999
d004,50AT,psngRoadPub,mustOut,0.5037631413056586
d005,50AT,psngRoadPub,mustOut,0.5346822701459116
d006,50AT,psngRoadPub,mustOut,0.4682740456565975
d007,50AT,psngRoadPub,mustOut,0.5062205098433871
