timestep_3,timestep_5,region_4,technology_3,parameter,value
d002,h0042,02ES,bevPsngRoadPub,avaConv,0.120787948117228
d002,h0043,02ES,bevPsngRoadPub,avaConv,0.190981089887507
d002,h0044,02ES,bevPsngRoadPub,avaConv,0.293888246243358
d002,h0045,02ES,bevPsngRoadPub,avaConv,0.345017652374507
d002,h0046,02ES,bevPsngRoadPub,avaConv,0.342963094546153
d002,h0047,02ES,bevPsngRoadPub,avaConv,0.334938891405517
d002,h0048,02ES,bevPsngRoadPub,avaConv,0.361723495614597
d003,h0049,02ES,bevPsngRoadPub,avaConv,0.437592038550183
d003,h0050,02ES,bevPsngRoadPub,avaConv,0.494892708806075
d003,h0051,02ES,bevPsngRoadPub,avaConv,0.528081960717909
d003,h0052,02ES,bevPsngRoadPub,avaConv,0.527750654945286
d003,h0053,02ES,bevPsngRoadPub,avaConv,0.516715841426685
d003,h0054,02ES,bevPsngRoadPub,avaConv,0.499658985413054
d003,h0055,02ES,bevPsngRoadPub,avaConv,0.479924790654543
d003,h0056,02ES,bevPsngRoadPub,avaConv,0.460054715648665
d003,h0057,02ES,bevPsngRoadPub,avaConv,0.436948495277084
d003,h0058,02ES,bevPsngRoadPub,avaConv,0.417515222870369
d003,h0059,02ES,bevPsngRoadPub,avaConv,0.394333976268995
d003,h0060,02ES,bevPsngRoadPub,avaConv,0.404107261766302
d003,h0061,02ES,bevPsngRoadPub,avaConv,0.414892646842269
d003,h0062,02ES,bevPsngRoadPub,avaConv,0.415947725056209
d003,h0063,02ES,bevPsngRoadPub,avaConv,0.390106315607373
d003,h0064,02ES,bevPsngRoadPub,avaConv,0.368256594416729
d003,h0065,02ES,bevPsngRoadPub,avaConv,0.360458929356156
d003,h0066,02ES,bevPsngRoadPub,avaConv,0.329325574959589
d003,h0067,02ES,bevPsngRoadPub,avaConv,0.335555340563809
d003,h0068,02ES,bevPsngRoadPub,avaConv,0.333902993150996
d003,h0069,02ES,bevPsngRoadPub,avaConv,0.34702694510664
d003,h0070,02ES,bevPsngRoadPub,avaConv,0.293418453869411
